Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR, ARCTIC_SHIP, NONARC_SHIP
1750,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1751,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1752,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1753,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1754,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1755,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1756,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1757,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1758,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1759,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1760,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1761,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1762,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1763,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1764,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1765,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1766,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1767,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1768,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1769,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1770,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1771,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1772,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1773,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1774,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1775,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1776,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1777,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1778,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1779,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1780,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1781,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1782,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1783,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1784,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1785,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1786,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1787,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1788,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1789,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1790,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1791,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1792,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1793,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1794,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1795,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1796,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1797,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
1798,.303E+03,.384E+01,.122E+03,.656E+02,.335E+03,.660E+00,.231E+04,.147E+01,.309E+04,.761E+02,.387E+00,.421E+02
