Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,.184E+02,.000E+00,.820E+02,.000E+00,.806E+02,.000E+00,.332E+03,.000E+00,.268E+03,.000E+00,.000E+00,.000E+00
1751,.187E+02,.000E+00,.778E+02,.000E+00,.799E+02,.000E+00,.332E+03,.000E+00,.266E+03,.000E+00,.000E+00,.000E+00
1752,.188E+02,.000E+00,.776E+02,.000E+00,.807E+02,.000E+00,.333E+03,.000E+00,.264E+03,.000E+00,.000E+00,.000E+00
1753,.189E+02,.000E+00,.810E+02,.000E+00,.812E+02,.000E+00,.334E+03,.000E+00,.265E+03,.000E+00,.000E+00,.000E+00
1754,.192E+02,.000E+00,.893E+02,.000E+00,.819E+02,.000E+00,.335E+03,.000E+00,.266E+03,.000E+00,.000E+00,.000E+00
1755,.193E+02,.000E+00,.805E+02,.000E+00,.812E+02,.000E+00,.335E+03,.000E+00,.270E+03,.000E+00,.000E+00,.000E+00
1756,.196E+02,.000E+00,.831E+02,.000E+00,.821E+02,.000E+00,.336E+03,.000E+00,.267E+03,.000E+00,.000E+00,.000E+00
1757,.197E+02,.000E+00,.852E+02,.000E+00,.839E+02,.000E+00,.341E+03,.000E+00,.272E+03,.000E+00,.000E+00,.000E+00
1758,.198E+02,.000E+00,.812E+02,.000E+00,.819E+02,.000E+00,.338E+03,.000E+00,.268E+03,.000E+00,.000E+00,.000E+00
1759,.201E+02,.000E+00,.844E+02,.000E+00,.826E+02,.000E+00,.340E+03,.000E+00,.272E+03,.000E+00,.000E+00,.000E+00
1760,.202E+02,.000E+00,.897E+02,.000E+00,.830E+02,.000E+00,.341E+03,.000E+00,.271E+03,.000E+00,.000E+00,.000E+00
1761,.204E+02,.000E+00,.855E+02,.000E+00,.840E+02,.000E+00,.341E+03,.000E+00,.272E+03,.000E+00,.000E+00,.000E+00
1762,.206E+02,.000E+00,.899E+02,.000E+00,.849E+02,.000E+00,.343E+03,.000E+00,.268E+03,.000E+00,.000E+00,.000E+00
1763,.208E+02,.000E+00,.896E+02,.000E+00,.850E+02,.000E+00,.342E+03,.000E+00,.267E+03,.000E+00,.000E+00,.000E+00
1764,.209E+02,.000E+00,.768E+02,.000E+00,.833E+02,.000E+00,.340E+03,.000E+00,.269E+03,.000E+00,.000E+00,.000E+00
1765,.212E+02,.000E+00,.874E+02,.000E+00,.842E+02,.000E+00,.342E+03,.000E+00,.271E+03,.000E+00,.000E+00,.000E+00
1766,.214E+02,.000E+00,.823E+02,.000E+00,.849E+02,.000E+00,.342E+03,.000E+00,.274E+03,.000E+00,.000E+00,.000E+00
1767,.216E+02,.000E+00,.833E+02,.000E+00,.855E+02,.000E+00,.343E+03,.000E+00,.272E+03,.000E+00,.000E+00,.000E+00
1768,.217E+02,.000E+00,.862E+02,.000E+00,.851E+02,.000E+00,.344E+03,.000E+00,.276E+03,.000E+00,.000E+00,.000E+00
1769,.219E+02,.000E+00,.900E+02,.000E+00,.864E+02,.000E+00,.345E+03,.000E+00,.272E+03,.000E+00,.000E+00,.000E+00
1770,.221E+02,.000E+00,.861E+02,.000E+00,.851E+02,.000E+00,.343E+03,.000E+00,.273E+03,.000E+00,.000E+00,.000E+00
1771,.223E+02,.000E+00,.806E+02,.000E+00,.852E+02,.000E+00,.346E+03,.000E+00,.269E+03,.000E+00,.000E+00,.000E+00
1772,.226E+02,.000E+00,.807E+02,.000E+00,.863E+02,.000E+00,.352E+03,.000E+00,.267E+03,.000E+00,.000E+00,.000E+00
1773,.228E+02,.000E+00,.820E+02,.000E+00,.863E+02,.000E+00,.356E+03,.000E+00,.268E+03,.000E+00,.000E+00,.000E+00
1774,.231E+02,.000E+00,.934E+02,.000E+00,.874E+02,.000E+00,.361E+03,.000E+00,.271E+03,.000E+00,.000E+00,.000E+00
1775,.232E+02,.000E+00,.824E+02,.000E+00,.861E+02,.000E+00,.364E+03,.000E+00,.274E+03,.000E+00,.000E+00,.000E+00
1776,.234E+02,.000E+00,.859E+02,.000E+00,.879E+02,.000E+00,.369E+03,.000E+00,.270E+03,.000E+00,.000E+00,.000E+00
1777,.237E+02,.000E+00,.857E+02,.000E+00,.892E+02,.000E+00,.376E+03,.000E+00,.274E+03,.000E+00,.000E+00,.000E+00
1778,.239E+02,.000E+00,.847E+02,.000E+00,.880E+02,.000E+00,.378E+03,.000E+00,.272E+03,.000E+00,.000E+00,.000E+00
1779,.242E+02,.000E+00,.845E+02,.000E+00,.881E+02,.000E+00,.383E+03,.000E+00,.275E+03,.000E+00,.000E+00,.000E+00
1780,.243E+02,.000E+00,.945E+02,.000E+00,.907E+02,.000E+00,.390E+03,.000E+00,.274E+03,.000E+00,.000E+00,.000E+00
1781,.246E+02,.000E+00,.901E+02,.000E+00,.925E+02,.000E+00,.391E+03,.000E+00,.275E+03,.000E+00,.000E+00,.000E+00
1782,.248E+02,.000E+00,.929E+02,.000E+00,.925E+02,.000E+00,.393E+03,.000E+00,.271E+03,.000E+00,.000E+00,.000E+00
1783,.251E+02,.000E+00,.931E+02,.000E+00,.928E+02,.000E+00,.392E+03,.000E+00,.269E+03,.000E+00,.000E+00,.000E+00
1784,.253E+02,.000E+00,.816E+02,.000E+00,.916E+02,.000E+00,.392E+03,.000E+00,.273E+03,.000E+00,.000E+00,.000E+00
1785,.254E+02,.000E+00,.891E+02,.000E+00,.916E+02,.000E+00,.393E+03,.000E+00,.272E+03,.000E+00,.000E+00,.000E+00
1786,.257E+02,.000E+00,.867E+02,.000E+00,.940E+02,.000E+00,.395E+03,.000E+00,.275E+03,.000E+00,.000E+00,.000E+00
1787,.259E+02,.000E+00,.882E+02,.000E+00,.945E+02,.000E+00,.397E+03,.000E+00,.275E+03,.000E+00,.000E+00,.000E+00
1788,.262E+02,.000E+00,.912E+02,.000E+00,.956E+02,.000E+00,.399E+03,.000E+00,.279E+03,.000E+00,.000E+00,.000E+00
1789,.264E+02,.000E+00,.934E+02,.000E+00,.964E+02,.000E+00,.399E+03,.000E+00,.275E+03,.000E+00,.000E+00,.000E+00
1790,.266E+02,.000E+00,.900E+02,.000E+00,.955E+02,.000E+00,.399E+03,.000E+00,.276E+03,.000E+00,.000E+00,.000E+00
1791,.272E+02,.000E+00,.850E+02,.000E+00,.967E+02,.000E+00,.397E+03,.000E+00,.273E+03,.000E+00,.000E+00,.000E+00
1792,.278E+02,.000E+00,.838E+02,.000E+00,.976E+02,.000E+00,.396E+03,.000E+00,.271E+03,.000E+00,.000E+00,.000E+00
1793,.283E+02,.000E+00,.862E+02,.000E+00,.980E+02,.000E+00,.395E+03,.000E+00,.271E+03,.000E+00,.000E+00,.000E+00
1794,.289E+02,.000E+00,.976E+02,.000E+00,.993E+02,.000E+00,.395E+03,.000E+00,.274E+03,.000E+00,.000E+00,.000E+00
1795,.294E+02,.000E+00,.874E+02,.000E+00,.985E+02,.000E+00,.393E+03,.000E+00,.278E+03,.000E+00,.000E+00,.000E+00
1796,.300E+02,.000E+00,.923E+02,.000E+00,.100E+03,.000E+00,.393E+03,.000E+00,.273E+03,.000E+00,.000E+00,.000E+00
