Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,6.25E+01,8.83E+01,2.94E+00,4.26E+01,1.16E+03
1751,6.23E+01,8.19E+01,2.88E+00,4.20E+01,1.15E+03
1752,6.22E+01,7.47E+01,2.93E+00,4.19E+01,1.15E+03
1753,6.21E+01,8.28E+01,2.94E+00,4.24E+01,1.14E+03
1754,6.20E+01,1.04E+02,2.98E+00,4.09E+01,1.14E+03
1755,6.18E+01,8.29E+01,2.92E+00,4.15E+01,1.16E+03
1756,6.17E+01,8.78E+01,2.94E+00,4.20E+01,1.13E+03
1757,6.16E+01,8.10E+01,3.05E+00,4.75E+01,1.19E+03
1758,6.14E+01,8.44E+01,2.91E+00,4.27E+01,1.18E+03
1759,6.13E+01,8.96E+01,2.95E+00,4.52E+01,1.16E+03
1760,6.12E+01,1.04E+02,2.96E+00,4.55E+01,1.15E+03
1761,6.11E+01,8.82E+01,2.98E+00,4.42E+01,1.18E+03
1762,6.10E+01,9.63E+01,3.02E+00,4.68E+01,1.13E+03
1763,6.09E+01,9.53E+01,3.01E+00,4.33E+01,1.14E+03
1764,6.08E+01,6.86E+01,2.89E+00,4.07E+01,1.15E+03
1765,6.08E+01,9.55E+01,2.94E+00,4.38E+01,1.16E+03
1766,6.07E+01,8.11E+01,2.92E+00,4.18E+01,1.16E+03
1767,6.06E+01,7.97E+01,2.96E+00,4.40E+01,1.16E+03
1768,6.05E+01,9.29E+01,2.92E+00,4.53E+01,1.21E+03
1769,6.04E+01,9.53E+01,2.99E+00,4.36E+01,1.16E+03
1770,6.03E+01,9.40E+01,2.90E+00,4.19E+01,1.17E+03
1771,6.02E+01,8.38E+01,2.83E+00,4.12E+01,1.15E+03
1772,6.01E+01,7.62E+01,2.90E+00,4.15E+01,1.14E+03
1773,6.00E+01,8.14E+01,2.88E+00,4.10E+01,1.13E+03
1774,5.99E+01,1.09E+02,2.95E+00,4.03E+01,1.15E+03
1775,5.98E+01,8.51E+01,2.86E+00,4.01E+01,1.17E+03
1776,5.97E+01,9.07E+01,2.90E+00,4.07E+01,1.12E+03
1777,5.96E+01,8.03E+01,2.98E+00,4.54E+01,1.18E+03
1778,5.95E+01,8.73E+01,2.89E+00,4.23E+01,1.20E+03
1779,5.94E+01,8.69E+01,2.89E+00,4.32E+01,1.15E+03
1780,5.92E+01,1.05E+02,2.96E+00,4.46E+01,1.15E+03
1781,5.94E+01,8.78E+01,2.99E+00,4.33E+01,1.17E+03
1782,5.96E+01,9.76E+01,2.98E+00,4.54E+01,1.13E+03
1783,5.98E+01,9.67E+01,2.99E+00,4.16E+01,1.12E+03
1784,5.99E+01,7.08E+01,2.91E+00,3.98E+01,1.15E+03
1785,6.01E+01,9.50E+01,2.90E+00,4.12E+01,1.14E+03
1786,6.03E+01,8.22E+01,2.95E+00,4.07E+01,1.14E+03
1787,6.04E+01,8.35E+01,2.98E+00,4.26E+01,1.16E+03
