Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR, ARCTIC_SHIP, NONARC_SHIP
1750,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1850,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1860,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1870,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1880,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1890,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1900,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1910,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1920,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1930,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1940,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1950,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1960,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1970,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1971,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
