Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1850,.480E+04,.000E+00,.372E+04,.000E+00,.754E+04,.000E+00,.827E+04,.000E+00,.550E+04,.000E+00,.000E+00,.000E+00
1860,.651E+04,.000E+00,.422E+04,.000E+00,.818E+04,.000E+00,.816E+04,.000E+00,.678E+04,.000E+00,.000E+00,.000E+00
1870,.734E+04,.000E+00,.443E+04,.000E+00,.983E+04,.000E+00,.112E+05,.000E+00,.984E+04,.000E+00,.000E+00,.000E+00
1880,.830E+04,.000E+00,.469E+04,.000E+00,.115E+05,.000E+00,.145E+05,.000E+00,.130E+05,.000E+00,.000E+00,.000E+00
1890,.925E+04,.000E+00,.497E+04,.000E+00,.132E+05,.000E+00,.179E+05,.000E+00,.163E+05,.000E+00,.000E+00,.000E+00
1900,.112E+05,.000E+00,.643E+04,.000E+00,.177E+05,.000E+00,.187E+05,.000E+00,.178E+05,.000E+00,.000E+00,.000E+00
1910,.148E+05,.000E+00,.704E+04,.000E+00,.188E+05,.000E+00,.189E+05,.000E+00,.214E+05,.000E+00,.000E+00,.000E+00
1920,.181E+05,.000E+00,.763E+04,.000E+00,.190E+05,.000E+00,.216E+05,.000E+00,.249E+05,.000E+00,.000E+00,.000E+00
1930,.167E+05,.000E+00,.104E+05,.000E+00,.234E+05,.000E+00,.229E+05,.000E+00,.289E+05,.000E+00,.000E+00,.000E+00
1940,.172E+05,.000E+00,.156E+05,.000E+00,.242E+05,.000E+00,.249E+05,.000E+00,.331E+05,.000E+00,.000E+00,.000E+00
1950,.287E+04,.166E+05,.189E+05,.000E+00,.252E+05,.000E+00,.265E+05,.000E+00,.362E+05,.101E+05,.000E+00,.000E+00
1960,.752E+04,.129E+05,.333E+05,.000E+00,.295E+05,.000E+00,.383E+05,.000E+00,.375E+05,.267E+05,.510E-01,.456E+01
1970,.132E+05,.120E+05,.482E+05,.000E+00,.305E+05,.482E+03,.401E+05,.655E+03,.217E+05,.692E+05,.906E-01,.804E+01
1971,.180E+05,.765E+04,.356E+05,.151E+05,.299E+05,.140E+04,.409E+05,.101E+04,.260E+05,.658E+05,.161E+00,.142E+02
