Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,4.80E+03,0.00E+00,3.72E+03,0.00E+00,7.54E+03,0.00E+00,8.27E+03,0.00E+00,5.50E+03,0.00E+00,0.00E+00,0.00E+00
1850,4.80E+03,0.00E+00,3.72E+03,0.00E+00,7.54E+03,0.00E+00,8.27E+03,0.00E+00,5.50E+03,0.00E+00,0.00E+00,0.00E+00
1860,6.51E+03,0.00E+00,4.22E+03,0.00E+00,8.18E+03,0.00E+00,8.16E+03,0.00E+00,6.78E+03,0.00E+00,0.00E+00,0.00E+00
1870,7.34E+03,0.00E+00,4.43E+03,0.00E+00,9.83E+03,0.00E+00,1.12E+04,0.00E+00,9.84E+03,0.00E+00,0.00E+00,0.00E+00
1880,8.30E+03,0.00E+00,4.69E+03,0.00E+00,1.15E+04,0.00E+00,1.45E+04,0.00E+00,1.30E+04,0.00E+00,0.00E+00,0.00E+00
1890,9.25E+03,0.00E+00,4.97E+03,0.00E+00,1.32E+04,0.00E+00,1.79E+04,0.00E+00,1.63E+04,0.00E+00,0.00E+00,0.00E+00
1900,1.12E+04,0.00E+00,6.43E+03,0.00E+00,1.77E+04,0.00E+00,1.87E+04,0.00E+00,1.78E+04,0.00E+00,0.00E+00,0.00E+00
1910,1.48E+04,0.00E+00,7.04E+03,0.00E+00,1.88E+04,0.00E+00,1.89E+04,0.00E+00,2.14E+04,0.00E+00,0.00E+00,0.00E+00
1920,1.81E+04,0.00E+00,7.63E+03,0.00E+00,1.90E+04,0.00E+00,2.16E+04,0.00E+00,2.49E+04,0.00E+00,0.00E+00,0.00E+00
1930,1.67E+04,0.00E+00,1.04E+04,0.00E+00,2.34E+04,0.00E+00,2.29E+04,0.00E+00,2.89E+04,0.00E+00,0.00E+00,0.00E+00
1940,1.72E+04,0.00E+00,1.56E+04,0.00E+00,2.42E+04,0.00E+00,2.49E+04,0.00E+00,3.31E+04,0.00E+00,0.00E+00,0.00E+00
