Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,7.88E+02,1.06E+03,1.72E+01,3.12E+02,7.39E+03
1751,7.86E+02,9.87E+02,1.68E+01,3.08E+02,7.32E+03
1752,7.84E+02,8.96E+02,1.71E+01,3.07E+02,7.28E+03
1753,7.83E+02,9.95E+02,1.72E+01,3.11E+02,7.27E+03
1754,7.81E+02,1.25E+03,1.75E+01,3.02E+02,7.23E+03
1755,7.79E+02,9.97E+02,1.71E+01,3.04E+02,7.40E+03
1756,7.78E+02,1.06E+03,1.72E+01,3.08E+02,7.18E+03
1757,7.76E+02,9.69E+02,1.79E+01,3.48E+02,7.59E+03
1758,7.75E+02,1.02E+03,1.70E+01,3.13E+02,7.48E+03
1759,7.73E+02,1.08E+03,1.72E+01,3.31E+02,7.41E+03
1760,7.71E+02,1.25E+03,1.73E+01,3.34E+02,7.36E+03
1761,7.70E+02,1.06E+03,1.74E+01,3.25E+02,7.50E+03
1762,7.69E+02,1.16E+03,1.77E+01,3.44E+02,7.24E+03
1763,7.68E+02,1.15E+03,1.77E+01,3.19E+02,7.26E+03
1764,7.68E+02,8.21E+02,1.69E+01,2.98E+02,7.30E+03
1765,7.67E+02,1.15E+03,1.72E+01,3.22E+02,7.38E+03
1766,7.66E+02,9.74E+02,1.71E+01,3.07E+02,7.39E+03
1767,7.65E+02,9.56E+02,1.73E+01,3.23E+02,7.40E+03
1768,7.64E+02,1.12E+03,1.71E+01,3.32E+02,7.70E+03
1769,7.63E+02,1.15E+03,1.75E+01,3.21E+02,7.39E+03
1770,7.62E+02,1.13E+03,1.69E+01,3.08E+02,7.45E+03
1771,7.61E+02,1.01E+03,1.65E+01,3.02E+02,7.32E+03
1772,7.59E+02,9.14E+02,1.69E+01,3.04E+02,7.23E+03
1773,7.58E+02,9.78E+02,1.69E+01,3.01E+02,7.22E+03
1774,7.57E+02,1.32E+03,1.73E+01,2.97E+02,7.29E+03
1775,7.56E+02,1.02E+03,1.67E+01,2.94E+02,7.45E+03
1776,7.55E+02,1.09E+03,1.70E+01,2.99E+02,7.16E+03
1777,7.53E+02,9.62E+02,1.75E+01,3.33E+02,7.47E+03
1778,7.52E+02,1.05E+03,1.69E+01,3.10E+02,7.59E+03
1779,7.51E+02,1.05E+03,1.69E+01,3.16E+02,7.37E+03
1780,7.50E+02,1.27E+03,1.73E+01,3.28E+02,7.34E+03
1781,7.53E+02,1.06E+03,1.75E+01,3.19E+02,7.42E+03
1782,7.55E+02,1.18E+03,1.74E+01,3.33E+02,7.21E+03
1783,7.58E+02,1.17E+03,1.75E+01,3.07E+02,7.14E+03
1784,7.61E+02,8.48E+02,1.70E+01,2.92E+02,7.29E+03
1785,7.64E+02,1.15E+03,1.70E+01,3.03E+02,7.27E+03
1786,7.67E+02,9.87E+02,1.72E+01,2.99E+02,7.27E+03
1787,7.69E+02,1.00E+03,1.74E+01,3.13E+02,7.38E+03
1788,7.72E+02,1.14E+03,1.73E+01,3.25E+02,7.67E+03
1789,7.75E+02,1.17E+03,1.76E+01,3.06E+02,7.36E+03
1790,7.78E+02,1.15E+03,1.71E+01,2.97E+02,7.46E+03
1791,7.82E+02,1.02E+03,1.68E+01,2.93E+02,7.31E+03
1792,7.87E+02,9.16E+02,1.71E+01,2.90E+02,7.28E+03
1793,7.92E+02,9.89E+02,1.71E+01,2.91E+02,7.20E+03
1794,7.97E+02,1.32E+03,1.76E+01,2.91E+02,7.29E+03
1795,8.01E+02,1.04E+03,1.71E+01,2.89E+02,7.43E+03
1796,8.06E+02,1.14E+03,1.74E+01,2.96E+02,7.07E+03
1797,8.11E+02,9.73E+02,1.78E+01,3.25E+02,7.45E+03
1798,8.16E+02,1.04E+03,1.73E+01,3.03E+02,7.55E+03
1799,8.21E+02,1.12E+03,1.73E+01,3.13E+02,7.36E+03
1800,8.25E+02,1.27E+03,1.77E+01,3.21E+02,7.30E+03
1801,8.30E+02,1.06E+03,1.78E+01,3.09E+02,7.39E+03
1802,8.35E+02,1.22E+03,1.77E+01,3.24E+02,7.20E+03
1803,8.40E+02,1.16E+03,1.77E+01,2.95E+02,7.09E+03
1804,8.44E+02,8.81E+02,1.75E+01,2.91E+02,7.31E+03
1805,8.49E+02,1.14E+03,1.72E+01,2.96E+02,7.28E+03
1806,8.54E+02,1.00E+03,1.76E+01,2.98E+02,7.32E+03
1807,8.59E+02,1.02E+03,1.77E+01,3.06E+02,7.38E+03
1808,8.63E+02,1.11E+03,1.77E+01,3.18E+02,7.70E+03
1809,8.68E+02,1.18E+03,1.78E+01,2.98E+02,7.37E+03
1810,8.73E+02,1.18E+03,1.73E+01,2.89E+02,7.46E+03
1811,8.79E+02,1.03E+03,1.71E+01,2.88E+02,7.39E+03
1812,8.85E+02,9.34E+02,1.72E+01,2.81E+02,7.28E+03
1813,8.92E+02,1.02E+03,1.74E+01,2.89E+02,7.24E+03
1814,8.98E+02,1.34E+03,1.78E+01,2.86E+02,7.33E+03
1815,9.04E+02,1.06E+03,1.74E+01,2.84E+02,7.48E+03
1816,9.10E+02,1.16E+03,1.76E+01,2.91E+02,7.25E+03
1817,9.16E+02,9.86E+02,1.80E+01,3.20E+02,7.47E+03
1818,9.23E+02,1.06E+03,1.75E+01,2.98E+02,7.66E+03
1819,9.29E+02,1.08E+03,1.77E+01,3.11E+02,7.46E+03
1820,9.35E+02,1.27E+03,1.79E+01,3.18E+02,7.42E+03
1821,9.40E+02,1.06E+03,1.80E+01,3.09E+02,7.55E+03
1822,9.44E+02,1.25E+03,1.81E+01,3.24E+02,7.26E+03
1823,9.49E+02,1.17E+03,1.77E+01,2.82E+02,7.17E+03
1824,9.54E+02,9.07E+02,1.80E+01,2.93E+02,7.40E+03
1825,9.58E+02,1.14E+03,1.74E+01,2.88E+02,7.36E+03
1826,9.63E+02,1.02E+03,1.79E+01,2.94E+02,7.33E+03
1827,9.67E+02,9.94E+02,1.79E+01,3.04E+02,7.44E+03
1828,9.72E+02,1.15E+03,1.80E+01,3.20E+02,7.72E+03
1829,9.77E+02,1.19E+03,1.81E+01,2.96E+02,7.43E+03
1830,9.81E+02,1.19E+03,1.74E+01,2.84E+02,7.53E+03
1831,9.83E+02,1.05E+03,1.74E+01,2.83E+02,7.37E+03
1832,9.85E+02,9.48E+02,1.76E+01,2.81E+02,7.34E+03
1833,9.87E+02,1.04E+03,1.78E+01,2.87E+02,7.27E+03
1834,9.89E+02,1.34E+03,1.78E+01,2.76E+02,7.35E+03
1835,9.90E+02,1.06E+03,1.76E+01,2.76E+02,7.45E+03
1836,9.92E+02,1.19E+03,1.79E+01,2.92E+02,7.26E+03
1837,9.94E+02,1.01E+03,1.80E+01,3.08E+02,7.51E+03
1838,9.96E+02,1.08E+03,1.79E+01,2.98E+02,7.64E+03
1839,9.98E+02,1.10E+03,1.80E+01,3.06E+02,7.47E+03
1840,1.00E+03,1.28E+03,1.82E+01,3.09E+02,7.26E+03
1841,1.00E+03,1.11E+03,1.83E+01,3.03E+02,7.55E+03
1842,1.00E+03,1.23E+03,1.81E+01,3.12E+02,7.29E+03
1843,1.01E+03,1.19E+03,1.78E+01,2.76E+02,7.08E+03
1844,1.01E+03,9.25E+02,1.80E+01,2.83E+02,7.31E+03
1845,1.01E+03,1.16E+03,1.74E+01,2.80E+02,7.31E+03
1846,1.01E+03,1.04E+03,1.78E+01,2.83E+02,7.28E+03
1847,1.01E+03,1.05E+03,1.78E+01,2.98E+02,7.46E+03
1848,1.02E+03,1.18E+03,1.78E+01,3.12E+02,7.68E+03
1849,1.02E+03,1.18E+03,1.79E+01,2.90E+02,7.48E+03
1850,1.02E+03,1.24E+03,1.73E+01,2.79E+02,7.53E+03
1851,1.02E+03,1.06E+03,1.72E+01,2.74E+02,7.37E+03
1852,1.02E+03,9.64E+02,1.74E+01,2.74E+02,7.24E+03
1853,1.02E+03,1.03E+03,1.75E+01,2.72E+02,7.26E+03
1854,1.01E+03,1.32E+03,1.75E+01,2.67E+02,7.39E+03
1855,1.01E+03,1.04E+03,1.74E+01,2.67E+02,7.43E+03
1856,1.01E+03,1.19E+03,1.78E+01,2.84E+02,7.14E+03
1857,1.01E+03,1.03E+03,1.77E+01,2.94E+02,7.56E+03
1858,1.01E+03,1.06E+03,1.76E+01,2.83E+02,7.66E+03
1859,1.00E+03,1.13E+03,1.79E+01,3.00E+02,7.47E+03
1860,1.00E+03,1.28E+03,1.80E+01,3.01E+02,7.31E+03
1861,1.00E+03,1.06E+03,1.81E+01,2.93E+02,7.48E+03
1862,9.99E+02,1.21E+03,1.81E+01,3.05E+02,7.27E+03
1863,9.98E+02,1.17E+03,1.76E+01,2.64E+02,7.08E+03
1864,9.97E+02,9.41E+02,1.80E+01,2.75E+02,7.28E+03
1865,9.96E+02,1.17E+03,1.75E+01,2.76E+02,7.42E+03
1866,9.95E+02,1.04E+03,1.80E+01,2.76E+02,7.33E+03
1867,9.93E+02,1.09E+03,1.80E+01,2.93E+02,7.51E+03
1868,9.92E+02,1.20E+03,1.82E+01,3.07E+02,7.73E+03
1869,9.91E+02,1.17E+03,1.84E+01,2.86E+02,7.42E+03
1870,9.90E+02,1.26E+03,1.77E+01,2.74E+02,7.60E+03
1871,9.88E+02,1.05E+03,1.77E+01,2.71E+02,7.46E+03
1872,9.85E+02,9.57E+02,1.79E+01,2.69E+02,7.22E+03
1873,9.83E+02,1.12E+03,1.80E+01,2.75E+02,7.43E+03
1874,9.80E+02,1.30E+03,1.79E+01,2.63E+02,7.52E+03
1875,9.78E+02,1.00E+03,1.79E+01,2.64E+02,7.44E+03
1876,9.76E+02,1.19E+03,1.85E+01,2.89E+02,7.31E+03
1877,9.73E+02,1.04E+03,1.82E+01,2.90E+02,7.57E+03
1878,9.71E+02,1.04E+03,1.81E+01,2.81E+02,7.68E+03
1879,9.69E+02,1.23E+03,1.87E+01,3.04E+02,7.56E+03
1880,9.66E+02,1.29E+03,1.85E+01,2.93E+02,7.34E+03
