Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,.286E-41,.000E+00,.455E+02,.000E+00,.939E+04,.000E+00,.128E+01,.000E+00,.344E+02,.000E+00,.000E+00,.000E+00
1751,.287E-41,.000E+00,.458E+02,.000E+00,.939E+04,.000E+00,.128E+01,.000E+00,.345E+02,.000E+00,.000E+00,.000E+00
1752,.289E-41,.000E+00,.461E+02,.000E+00,.939E+04,.000E+00,.128E+01,.000E+00,.345E+02,.000E+00,.000E+00,.000E+00
1753,.290E-41,.000E+00,.463E+02,.000E+00,.939E+04,.000E+00,.129E+01,.000E+00,.346E+02,.000E+00,.000E+00,.000E+00
1754,.291E-41,.000E+00,.466E+02,.000E+00,.939E+04,.000E+00,.129E+01,.000E+00,.347E+02,.000E+00,.000E+00,.000E+00
1755,.293E-41,.000E+00,.468E+02,.000E+00,.940E+04,.000E+00,.129E+01,.000E+00,.348E+02,.000E+00,.000E+00,.000E+00
1756,.294E-41,.000E+00,.471E+02,.000E+00,.100E+05,.000E+00,.129E+01,.000E+00,.353E+02,.000E+00,.000E+00,.000E+00
1757,.000E+00,.000E+00,.474E+02,.000E+00,.100E+05,.000E+00,.130E+01,.000E+00,.354E+02,.000E+00,.000E+00,.000E+00
1758,.000E+00,.000E+00,.476E+02,.000E+00,.101E+05,.000E+00,.130E+01,.000E+00,.355E+02,.000E+00,.000E+00,.000E+00
1759,.000E+00,.000E+00,.479E+02,.000E+00,.101E+05,.000E+00,.130E+01,.000E+00,.356E+02,.000E+00,.000E+00,.000E+00
1760,.000E+00,.000E+00,.481E+02,.000E+00,.101E+05,.000E+00,.130E+01,.000E+00,.356E+02,.000E+00,.000E+00,.000E+00
1761,.000E+00,.000E+00,.484E+02,.000E+00,.110E+05,.000E+00,.131E+01,.000E+00,.364E+02,.000E+00,.000E+00,.000E+00
1762,.000E+00,.000E+00,.487E+02,.000E+00,.110E+05,.000E+00,.131E+01,.000E+00,.365E+02,.000E+00,.000E+00,.000E+00
1763,.000E+00,.000E+00,.490E+02,.000E+00,.110E+05,.000E+00,.131E+01,.000E+00,.366E+02,.000E+00,.000E+00,.000E+00
1764,.000E+00,.000E+00,.492E+02,.000E+00,.110E+05,.000E+00,.131E+01,.000E+00,.367E+02,.000E+00,.000E+00,.000E+00
1765,.000E+00,.000E+00,.495E+02,.000E+00,.110E+05,.000E+00,.132E+01,.000E+00,.368E+02,.000E+00,.000E+00,.000E+00
1766,.000E+00,.000E+00,.498E+02,.000E+00,.123E+05,.000E+00,.132E+01,.000E+00,.378E+02,.000E+00,.000E+00,.000E+00
1767,.000E+00,.000E+00,.501E+02,.000E+00,.123E+05,.000E+00,.132E+01,.000E+00,.379E+02,.000E+00,.000E+00,.000E+00
1768,.000E+00,.000E+00,.503E+02,.000E+00,.123E+05,.000E+00,.132E+01,.000E+00,.379E+02,.000E+00,.000E+00,.000E+00
1769,.000E+00,.000E+00,.506E+02,.000E+00,.123E+05,.000E+00,.133E+01,.000E+00,.380E+02,.000E+00,.000E+00,.000E+00
1770,.000E+00,.000E+00,.509E+02,.000E+00,.123E+05,.000E+00,.133E+01,.000E+00,.381E+02,.000E+00,.000E+00,.000E+00
1771,.000E+00,.000E+00,.512E+02,.000E+00,.137E+05,.000E+00,.133E+01,.000E+00,.392E+02,.000E+00,.000E+00,.000E+00
1772,.000E+00,.000E+00,.515E+02,.000E+00,.137E+05,.000E+00,.133E+01,.000E+00,.393E+02,.000E+00,.000E+00,.000E+00
1773,.000E+00,.000E+00,.518E+02,.000E+00,.137E+05,.000E+00,.134E+01,.000E+00,.393E+02,.000E+00,.000E+00,.000E+00
1774,.000E+00,.000E+00,.520E+02,.000E+00,.137E+05,.000E+00,.134E+01,.000E+00,.394E+02,.000E+00,.000E+00,.000E+00
1775,.000E+00,.000E+00,.523E+02,.000E+00,.137E+05,.000E+00,.134E+01,.000E+00,.395E+02,.000E+00,.000E+00,.000E+00
1776,.000E+00,.000E+00,.526E+02,.000E+00,.151E+05,.000E+00,.134E+01,.000E+00,.406E+02,.000E+00,.000E+00,.000E+00
1777,.000E+00,.000E+00,.529E+02,.000E+00,.151E+05,.000E+00,.135E+01,.000E+00,.407E+02,.000E+00,.000E+00,.000E+00
1778,.000E+00,.000E+00,.532E+02,.000E+00,.151E+05,.000E+00,.135E+01,.000E+00,.408E+02,.000E+00,.000E+00,.000E+00
1779,.000E+00,.000E+00,.535E+02,.000E+00,.151E+05,.000E+00,.135E+01,.000E+00,.409E+02,.000E+00,.000E+00,.000E+00
1780,.000E+00,.000E+00,.538E+02,.000E+00,.151E+05,.000E+00,.135E+01,.000E+00,.410E+02,.000E+00,.000E+00,.000E+00
1781,.000E+00,.000E+00,.541E+02,.000E+00,.169E+05,.000E+00,.136E+01,.000E+00,.424E+02,.000E+00,.000E+00,.000E+00
1782,.000E+00,.000E+00,.544E+02,.000E+00,.169E+05,.000E+00,.136E+01,.000E+00,.425E+02,.000E+00,.000E+00,.000E+00
1783,.000E+00,.000E+00,.547E+02,.000E+00,.169E+05,.000E+00,.136E+01,.000E+00,.426E+02,.000E+00,.000E+00,.000E+00
1784,.000E+00,.000E+00,.550E+02,.000E+00,.169E+05,.000E+00,.136E+01,.000E+00,.427E+02,.000E+00,.000E+00,.000E+00
1785,.397E+01,.000E+00,.553E+02,.000E+00,.169E+05,.000E+00,.137E+01,.000E+00,.428E+02,.000E+00,.000E+00,.000E+00
1786,.397E+01,.000E+00,.556E+02,.000E+00,.192E+05,.000E+00,.137E+01,.000E+00,.445E+02,.000E+00,.000E+00,.000E+00
1787,.397E+01,.000E+00,.559E+02,.000E+00,.192E+05,.000E+00,.137E+01,.000E+00,.446E+02,.000E+00,.000E+00,.000E+00
