Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR, ARCTIC_SHIP, NONARC_SHIP
1750,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1751,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1752,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1753,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1754,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1755,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1756,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1757,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1758,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1759,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1760,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1761,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1762,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1763,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1764,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1765,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1766,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1767,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1768,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1769,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1770,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1771,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1772,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1773,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1774,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1775,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1776,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1777,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
