Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,.242E+04,.000E+00,.103E+05,.000E+00,.229E+05,.000E+00,.273E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1751,.244E+04,.000E+00,.992E+04,.000E+00,.229E+05,.000E+00,.272E+05,.000E+00,.238E+05,.000E+00,.000E+00,.000E+00
1752,.248E+04,.000E+00,.992E+04,.000E+00,.230E+05,.000E+00,.274E+05,.000E+00,.236E+05,.000E+00,.000E+00,.000E+00
1753,.251E+04,.000E+00,.102E+05,.000E+00,.231E+05,.000E+00,.275E+05,.000E+00,.237E+05,.000E+00,.000E+00,.000E+00
1754,.253E+04,.000E+00,.110E+05,.000E+00,.232E+05,.000E+00,.275E+05,.000E+00,.239E+05,.000E+00,.000E+00,.000E+00
1755,.256E+04,.000E+00,.102E+05,.000E+00,.231E+05,.000E+00,.275E+05,.000E+00,.243E+05,.000E+00,.000E+00,.000E+00
1756,.259E+04,.000E+00,.105E+05,.000E+00,.232E+05,.000E+00,.276E+05,.000E+00,.240E+05,.000E+00,.000E+00,.000E+00
1757,.262E+04,.000E+00,.106E+05,.000E+00,.234E+05,.000E+00,.281E+05,.000E+00,.245E+05,.000E+00,.000E+00,.000E+00
1758,.265E+04,.000E+00,.103E+05,.000E+00,.232E+05,.000E+00,.277E+05,.000E+00,.240E+05,.000E+00,.000E+00,.000E+00
1759,.268E+04,.000E+00,.106E+05,.000E+00,.233E+05,.000E+00,.280E+05,.000E+00,.245E+05,.000E+00,.000E+00,.000E+00
1760,.270E+04,.000E+00,.112E+05,.000E+00,.234E+05,.000E+00,.281E+05,.000E+00,.243E+05,.000E+00,.000E+00,.000E+00
1761,.274E+04,.000E+00,.107E+05,.000E+00,.235E+05,.000E+00,.280E+05,.000E+00,.245E+05,.000E+00,.000E+00,.000E+00
1762,.278E+04,.000E+00,.112E+05,.000E+00,.236E+05,.000E+00,.283E+05,.000E+00,.241E+05,.000E+00,.000E+00,.000E+00
1763,.281E+04,.000E+00,.112E+05,.000E+00,.237E+05,.000E+00,.282E+05,.000E+00,.239E+05,.000E+00,.000E+00,.000E+00
1764,.284E+04,.000E+00,.992E+04,.000E+00,.235E+05,.000E+00,.279E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1765,.288E+04,.000E+00,.110E+05,.000E+00,.236E+05,.000E+00,.281E+05,.000E+00,.243E+05,.000E+00,.000E+00,.000E+00
1766,.291E+04,.000E+00,.105E+05,.000E+00,.237E+05,.000E+00,.280E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1767,.294E+04,.000E+00,.106E+05,.000E+00,.238E+05,.000E+00,.282E+05,.000E+00,.244E+05,.000E+00,.000E+00,.000E+00
1768,.297E+04,.000E+00,.109E+05,.000E+00,.237E+05,.000E+00,.283E+05,.000E+00,.249E+05,.000E+00,.000E+00,.000E+00
1769,.301E+04,.000E+00,.113E+05,.000E+00,.238E+05,.000E+00,.284E+05,.000E+00,.244E+05,.000E+00,.000E+00,.000E+00
1770,.304E+04,.000E+00,.109E+05,.000E+00,.238E+05,.000E+00,.281E+05,.000E+00,.245E+05,.000E+00,.000E+00,.000E+00
1771,.308E+04,.000E+00,.104E+05,.000E+00,.237E+05,.000E+00,.285E+05,.000E+00,.241E+05,.000E+00,.000E+00,.000E+00
1772,.312E+04,.000E+00,.104E+05,.000E+00,.238E+05,.000E+00,.290E+05,.000E+00,.238E+05,.000E+00,.000E+00,.000E+00
1773,.316E+04,.000E+00,.106E+05,.000E+00,.238E+05,.000E+00,.293E+05,.000E+00,.239E+05,.000E+00,.000E+00,.000E+00
1774,.320E+04,.000E+00,.117E+05,.000E+00,.240E+05,.000E+00,.298E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1775,.324E+04,.000E+00,.106E+05,.000E+00,.238E+05,.000E+00,.301E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1776,.328E+04,.000E+00,.109E+05,.000E+00,.240E+05,.000E+00,.306E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1777,.332E+04,.000E+00,.109E+05,.000E+00,.242E+05,.000E+00,.314E+05,.000E+00,.246E+05,.000E+00,.000E+00,.000E+00
1778,.336E+04,.000E+00,.108E+05,.000E+00,.241E+05,.000E+00,.314E+05,.000E+00,.244E+05,.000E+00,.000E+00,.000E+00
1779,.341E+04,.000E+00,.108E+05,.000E+00,.241E+05,.000E+00,.319E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1780,.345E+04,.000E+00,.117E+05,.000E+00,.243E+05,.000E+00,.325E+05,.000E+00,.246E+05,.000E+00,.000E+00,.000E+00
1781,.349E+04,.000E+00,.113E+05,.000E+00,.244E+05,.000E+00,.326E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1782,.353E+04,.000E+00,.116E+05,.000E+00,.245E+05,.000E+00,.327E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1783,.358E+04,.000E+00,.116E+05,.000E+00,.245E+05,.000E+00,.327E+05,.000E+00,.240E+05,.000E+00,.000E+00,.000E+00
1784,.363E+04,.000E+00,.105E+05,.000E+00,.244E+05,.000E+00,.326E+05,.000E+00,.243E+05,.000E+00,.000E+00,.000E+00
1785,.368E+04,.000E+00,.112E+05,.000E+00,.244E+05,.000E+00,.327E+05,.000E+00,.243E+05,.000E+00,.000E+00,.000E+00
1786,.372E+04,.000E+00,.109E+05,.000E+00,.246E+05,.000E+00,.329E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1787,.376E+04,.000E+00,.111E+05,.000E+00,.247E+05,.000E+00,.331E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1788,.381E+04,.000E+00,.115E+05,.000E+00,.247E+05,.000E+00,.332E+05,.000E+00,.251E+05,.000E+00,.000E+00,.000E+00
1789,.386E+04,.000E+00,.117E+05,.000E+00,.248E+05,.000E+00,.333E+05,.000E+00,.246E+05,.000E+00,.000E+00,.000E+00
1790,.390E+04,.000E+00,.113E+05,.000E+00,.247E+05,.000E+00,.332E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1791,.400E+04,.000E+00,.108E+05,.000E+00,.248E+05,.000E+00,.330E+05,.000E+00,.243E+05,.000E+00,.000E+00,.000E+00
1792,.410E+04,.000E+00,.107E+05,.000E+00,.249E+05,.000E+00,.329E+05,.000E+00,.241E+05,.000E+00,.000E+00,.000E+00
1793,.421E+04,.000E+00,.110E+05,.000E+00,.249E+05,.000E+00,.328E+05,.000E+00,.241E+05,.000E+00,.000E+00,.000E+00
1794,.430E+04,.000E+00,.121E+05,.000E+00,.251E+05,.000E+00,.329E+05,.000E+00,.245E+05,.000E+00,.000E+00,.000E+00
1795,.440E+04,.000E+00,.111E+05,.000E+00,.250E+05,.000E+00,.326E+05,.000E+00,.249E+05,.000E+00,.000E+00,.000E+00
1796,.451E+04,.000E+00,.117E+05,.000E+00,.252E+05,.000E+00,.326E+05,.000E+00,.243E+05,.000E+00,.000E+00,.000E+00
1797,.460E+04,.000E+00,.115E+05,.000E+00,.253E+05,.000E+00,.328E+05,.000E+00,.248E+05,.000E+00,.000E+00,.000E+00
1798,.471E+04,.000E+00,.114E+05,.000E+00,.253E+05,.000E+00,.325E+05,.000E+00,.246E+05,.000E+00,.000E+00,.000E+00
1799,.480E+04,.000E+00,.116E+05,.000E+00,.254E+05,.000E+00,.325E+05,.000E+00,.249E+05,.000E+00,.000E+00,.000E+00
1800,.490E+04,.000E+00,.122E+05,.000E+00,.255E+05,.000E+00,.325E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1801,.505E+04,.000E+00,.117E+05,.000E+00,.256E+05,.000E+00,.326E+05,.000E+00,.248E+05,.000E+00,.000E+00,.000E+00
1802,.520E+04,.000E+00,.121E+05,.000E+00,.258E+05,.000E+00,.331E+05,.000E+00,.245E+05,.000E+00,.000E+00,.000E+00
1803,.534E+04,.000E+00,.119E+05,.000E+00,.258E+05,.000E+00,.331E+05,.000E+00,.242E+05,.000E+00,.000E+00,.000E+00
1804,.548E+04,.000E+00,.111E+05,.000E+00,.259E+05,.000E+00,.332E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1805,.562E+04,.000E+00,.117E+05,.000E+00,.259E+05,.000E+00,.335E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1806,.576E+04,.000E+00,.116E+05,.000E+00,.261E+05,.000E+00,.338E+05,.000E+00,.251E+05,.000E+00,.000E+00,.000E+00
1807,.591E+04,.000E+00,.117E+05,.000E+00,.262E+05,.000E+00,.342E+05,.000E+00,.249E+05,.000E+00,.000E+00,.000E+00
1808,.605E+04,.000E+00,.118E+05,.000E+00,.263E+05,.000E+00,.345E+05,.000E+00,.255E+05,.000E+00,.000E+00,.000E+00
1809,.619E+04,.000E+00,.122E+05,.000E+00,.264E+05,.000E+00,.347E+05,.000E+00,.249E+05,.000E+00,.000E+00,.000E+00
1810,.633E+04,.000E+00,.118E+05,.000E+00,.263E+05,.000E+00,.347E+05,.000E+00,.251E+05,.000E+00,.000E+00,.000E+00
1811,.653E+04,.000E+00,.114E+05,.000E+00,.265E+05,.000E+00,.347E+05,.000E+00,.247E+05,.000E+00,.000E+00,.000E+00
1812,.673E+04,.000E+00,.112E+05,.000E+00,.266E+05,.000E+00,.346E+05,.000E+00,.244E+05,.000E+00,.000E+00,.000E+00
1813,.693E+04,.000E+00,.116E+05,.000E+00,.268E+05,.000E+00,.347E+05,.000E+00,.246E+05,.000E+00,.000E+00,.000E+00
1814,.713E+04,.000E+00,.127E+05,.000E+00,.270E+05,.000E+00,.348E+05,.000E+00,.249E+05,.000E+00,.000E+00,.000E+00
