Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,2.42E+03,0.00E+00,1.03E+04,0.00E+00,2.29E+04,0.00E+00,2.73E+04,0.00E+00,2.42E+04,0.00E+00,0.00E+00,0.00E+00
1751,2.44E+03,0.00E+00,9.92E+03,0.00E+00,2.29E+04,0.00E+00,2.72E+04,0.00E+00,2.38E+04,0.00E+00,0.00E+00,0.00E+00
1752,2.48E+03,0.00E+00,9.92E+03,0.00E+00,2.30E+04,0.00E+00,2.74E+04,0.00E+00,2.36E+04,0.00E+00,0.00E+00,0.00E+00
1753,2.51E+03,0.00E+00,1.02E+04,0.00E+00,2.31E+04,0.00E+00,2.75E+04,0.00E+00,2.37E+04,0.00E+00,0.00E+00,0.00E+00
1754,2.53E+03,0.00E+00,1.10E+04,0.00E+00,2.32E+04,0.00E+00,2.75E+04,0.00E+00,2.39E+04,0.00E+00,0.00E+00,0.00E+00
1755,2.56E+03,0.00E+00,1.02E+04,0.00E+00,2.31E+04,0.00E+00,2.75E+04,0.00E+00,2.43E+04,0.00E+00,0.00E+00,0.00E+00
1756,2.59E+03,0.00E+00,1.05E+04,0.00E+00,2.32E+04,0.00E+00,2.76E+04,0.00E+00,2.40E+04,0.00E+00,0.00E+00,0.00E+00
1757,2.62E+03,0.00E+00,1.06E+04,0.00E+00,2.34E+04,0.00E+00,2.81E+04,0.00E+00,2.45E+04,0.00E+00,0.00E+00,0.00E+00
1758,2.65E+03,0.00E+00,1.03E+04,0.00E+00,2.32E+04,0.00E+00,2.77E+04,0.00E+00,2.40E+04,0.00E+00,0.00E+00,0.00E+00
1759,2.68E+03,0.00E+00,1.06E+04,0.00E+00,2.33E+04,0.00E+00,2.80E+04,0.00E+00,2.45E+04,0.00E+00,0.00E+00,0.00E+00
1760,2.70E+03,0.00E+00,1.12E+04,0.00E+00,2.34E+04,0.00E+00,2.81E+04,0.00E+00,2.43E+04,0.00E+00,0.00E+00,0.00E+00
1761,2.74E+03,0.00E+00,1.07E+04,0.00E+00,2.35E+04,0.00E+00,2.80E+04,0.00E+00,2.45E+04,0.00E+00,0.00E+00,0.00E+00
1762,2.78E+03,0.00E+00,1.12E+04,0.00E+00,2.36E+04,0.00E+00,2.83E+04,0.00E+00,2.41E+04,0.00E+00,0.00E+00,0.00E+00
1763,2.81E+03,0.00E+00,1.12E+04,0.00E+00,2.37E+04,0.00E+00,2.82E+04,0.00E+00,2.39E+04,0.00E+00,0.00E+00,0.00E+00
1764,2.84E+03,0.00E+00,9.92E+03,0.00E+00,2.35E+04,0.00E+00,2.79E+04,0.00E+00,2.42E+04,0.00E+00,0.00E+00,0.00E+00
1765,2.88E+03,0.00E+00,1.10E+04,0.00E+00,2.36E+04,0.00E+00,2.81E+04,0.00E+00,2.43E+04,0.00E+00,0.00E+00,0.00E+00
1766,2.91E+03,0.00E+00,1.05E+04,0.00E+00,2.37E+04,0.00E+00,2.80E+04,0.00E+00,2.47E+04,0.00E+00,0.00E+00,0.00E+00
1767,2.94E+03,0.00E+00,1.06E+04,0.00E+00,2.38E+04,0.00E+00,2.82E+04,0.00E+00,2.44E+04,0.00E+00,0.00E+00,0.00E+00
