Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1751,1.59E+04,2.08E+04,4.96E+02,7.62E+03,2.02E+05
1752,1.59E+04,1.89E+04,5.05E+02,7.61E+03,2.01E+05
1753,1.58E+04,2.09E+04,5.07E+02,7.72E+03,2.00E+05
1754,1.58E+04,2.63E+04,5.15E+02,7.47E+03,2.00E+05
1755,1.58E+04,2.10E+04,5.04E+02,7.54E+03,2.04E+05
1756,1.57E+04,2.22E+04,5.08E+02,7.64E+03,1.98E+05
1757,1.57E+04,2.04E+04,5.26E+02,8.63E+03,2.10E+05
1758,1.57E+04,2.14E+04,5.02E+02,7.75E+03,2.07E+05
1759,1.56E+04,2.27E+04,5.08E+02,8.21E+03,2.04E+05
1760,1.56E+04,2.64E+04,5.11E+02,8.27E+03,2.02E+05
1761,1.56E+04,2.23E+04,5.14E+02,8.05E+03,2.07E+05
1762,1.55E+04,2.44E+04,5.21E+02,8.52E+03,1.99E+05
1763,1.55E+04,2.41E+04,5.20E+02,7.91E+03,2.01E+05
1764,1.55E+04,1.73E+04,5.00E+02,7.39E+03,2.02E+05
1765,1.55E+04,2.42E+04,5.08E+02,7.97E+03,2.03E+05
1766,1.55E+04,2.05E+04,5.05E+02,7.61E+03,2.04E+05
1767,1.54E+04,2.01E+04,5.10E+02,8.01E+03,2.04E+05
1768,1.54E+04,2.35E+04,5.03E+02,8.23E+03,2.12E+05
1769,1.54E+04,2.41E+04,5.16E+02,7.94E+03,2.04E+05
1770,1.54E+04,2.38E+04,5.00E+02,7.63E+03,2.06E+05
1771,1.54E+04,2.12E+04,4.88E+02,7.48E+03,2.02E+05
1772,1.53E+04,1.93E+04,5.00E+02,7.54E+03,2.00E+05
1773,1.53E+04,2.06E+04,4.97E+02,7.45E+03,1.99E+05
1774,1.53E+04,2.78E+04,5.09E+02,7.36E+03,2.02E+05
1775,1.53E+04,2.16E+04,4.94E+02,7.29E+03,2.06E+05
1776,1.52E+04,2.30E+04,5.01E+02,7.41E+03,1.97E+05
1777,1.52E+04,2.03E+04,5.15E+02,8.26E+03,2.06E+05
1778,1.52E+04,2.21E+04,4.99E+02,7.68E+03,2.11E+05
1779,1.52E+04,2.20E+04,4.99E+02,7.84E+03,2.03E+05
