Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR, ARCTIC_SHIP, NONARC_SHIP
1750,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1751,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1752,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1753,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1754,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1755,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1756,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1757,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1758,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1759,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1760,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1761,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1762,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1763,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1764,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1765,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1766,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1767,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1768,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1769,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1770,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1771,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1772,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1773,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1774,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1775,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1776,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1777,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1778,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1779,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1780,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1781,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1782,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1783,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1784,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1785,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1786,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1787,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1788,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1789,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1790,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1791,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1792,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1793,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1794,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1795,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1796,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1797,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1798,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1799,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1800,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1801,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1802,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1803,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1804,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1805,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1806,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1807,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1808,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1809,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
