Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,.383E+02,.000E+00,.229E+03,.000E+00,.154E+03,.000E+00,.139E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1751,.384E+02,.000E+00,.213E+03,.000E+00,.151E+03,.000E+00,.136E+03,.000E+00,.626E+03,.000E+00,.000E+00,.000E+00
1752,.385E+02,.000E+00,.212E+03,.000E+00,.154E+03,.000E+00,.137E+03,.000E+00,.616E+03,.000E+00,.000E+00,.000E+00
1753,.387E+02,.000E+00,.224E+03,.000E+00,.155E+03,.000E+00,.139E+03,.000E+00,.621E+03,.000E+00,.000E+00,.000E+00
1754,.388E+02,.000E+00,.256E+03,.000E+00,.159E+03,.000E+00,.139E+03,.000E+00,.627E+03,.000E+00,.000E+00,.000E+00
1755,.389E+02,.000E+00,.221E+03,.000E+00,.155E+03,.000E+00,.137E+03,.000E+00,.644E+03,.000E+00,.000E+00,.000E+00
1756,.391E+02,.000E+00,.231E+03,.000E+00,.158E+03,.000E+00,.139E+03,.000E+00,.630E+03,.000E+00,.000E+00,.000E+00
1757,.392E+02,.000E+00,.238E+03,.000E+00,.164E+03,.000E+00,.151E+03,.000E+00,.650E+03,.000E+00,.000E+00,.000E+00
1758,.394E+02,.000E+00,.223E+03,.000E+00,.157E+03,.000E+00,.139E+03,.000E+00,.629E+03,.000E+00,.000E+00,.000E+00
1759,.395E+02,.000E+00,.235E+03,.000E+00,.159E+03,.000E+00,.144E+03,.000E+00,.649E+03,.000E+00,.000E+00,.000E+00
1760,.396E+02,.000E+00,.254E+03,.000E+00,.160E+03,.000E+00,.145E+03,.000E+00,.641E+03,.000E+00,.000E+00,.000E+00
1761,.397E+02,.000E+00,.238E+03,.000E+00,.162E+03,.000E+00,.145E+03,.000E+00,.649E+03,.000E+00,.000E+00,.000E+00
1762,.398E+02,.000E+00,.254E+03,.000E+00,.165E+03,.000E+00,.150E+03,.000E+00,.630E+03,.000E+00,.000E+00,.000E+00
1763,.398E+02,.000E+00,.253E+03,.000E+00,.165E+03,.000E+00,.145E+03,.000E+00,.625E+03,.000E+00,.000E+00,.000E+00
1764,.399E+02,.000E+00,.204E+03,.000E+00,.159E+03,.000E+00,.136E+03,.000E+00,.632E+03,.000E+00,.000E+00,.000E+00
1765,.401E+02,.000E+00,.244E+03,.000E+00,.162E+03,.000E+00,.143E+03,.000E+00,.638E+03,.000E+00,.000E+00,.000E+00
1766,.402E+02,.000E+00,.223E+03,.000E+00,.162E+03,.000E+00,.140E+03,.000E+00,.651E+03,.000E+00,.000E+00,.000E+00
1767,.402E+02,.000E+00,.227E+03,.000E+00,.164E+03,.000E+00,.144E+03,.000E+00,.642E+03,.000E+00,.000E+00,.000E+00
1768,.403E+02,.000E+00,.237E+03,.000E+00,.162E+03,.000E+00,.145E+03,.000E+00,.662E+03,.000E+00,.000E+00,.000E+00
1769,.404E+02,.000E+00,.251E+03,.000E+00,.168E+03,.000E+00,.145E+03,.000E+00,.640E+03,.000E+00,.000E+00,.000E+00
1770,.404E+02,.000E+00,.236E+03,.000E+00,.162E+03,.000E+00,.139E+03,.000E+00,.643E+03,.000E+00,.000E+00,.000E+00
1771,.405E+02,.000E+00,.215E+03,.000E+00,.160E+03,.000E+00,.136E+03,.000E+00,.627E+03,.000E+00,.000E+00,.000E+00
1772,.405E+02,.000E+00,.215E+03,.000E+00,.164E+03,.000E+00,.140E+03,.000E+00,.616E+03,.000E+00,.000E+00,.000E+00
1773,.406E+02,.000E+00,.220E+03,.000E+00,.163E+03,.000E+00,.139E+03,.000E+00,.618E+03,.000E+00,.000E+00,.000E+00
1774,.406E+02,.000E+00,.263E+03,.000E+00,.168E+03,.000E+00,.142E+03,.000E+00,.632E+03,.000E+00,.000E+00,.000E+00
1775,.407E+02,.000E+00,.220E+03,.000E+00,.162E+03,.000E+00,.138E+03,.000E+00,.648E+03,.000E+00,.000E+00,.000E+00
1776,.408E+02,.000E+00,.232E+03,.000E+00,.166E+03,.000E+00,.141E+03,.000E+00,.629E+03,.000E+00,.000E+00,.000E+00
1777,.408E+02,.000E+00,.231E+03,.000E+00,.172E+03,.000E+00,.151E+03,.000E+00,.644E+03,.000E+00,.000E+00,.000E+00
1778,.408E+02,.000E+00,.228E+03,.000E+00,.166E+03,.000E+00,.144E+03,.000E+00,.637E+03,.000E+00,.000E+00,.000E+00
1779,.409E+02,.000E+00,.227E+03,.000E+00,.166E+03,.000E+00,.145E+03,.000E+00,.647E+03,.000E+00,.000E+00,.000E+00
1780,.410E+02,.000E+00,.257E+03,.000E+00,.171E+03,.000E+00,.151E+03,.000E+00,.641E+03,.000E+00,.000E+00,.000E+00
1781,.409E+02,.000E+00,.241E+03,.000E+00,.175E+03,.000E+00,.151E+03,.000E+00,.644E+03,.000E+00,.000E+00,.000E+00
1782,.408E+02,.000E+00,.250E+03,.000E+00,.174E+03,.000E+00,.153E+03,.000E+00,.629E+03,.000E+00,.000E+00,.000E+00
1783,.407E+02,.000E+00,.250E+03,.000E+00,.175E+03,.000E+00,.148E+03,.000E+00,.619E+03,.000E+00,.000E+00,.000E+00
1784,.406E+02,.000E+00,.207E+03,.000E+00,.170E+03,.000E+00,.142E+03,.000E+00,.632E+03,.000E+00,.000E+00,.000E+00
1785,.405E+02,.000E+00,.234E+03,.000E+00,.170E+03,.000E+00,.144E+03,.000E+00,.630E+03,.000E+00,.000E+00,.000E+00
1786,.404E+02,.000E+00,.224E+03,.000E+00,.175E+03,.000E+00,.145E+03,.000E+00,.643E+03,.000E+00,.000E+00,.000E+00
1787,.403E+02,.000E+00,.229E+03,.000E+00,.177E+03,.000E+00,.148E+03,.000E+00,.643E+03,.000E+00,.000E+00,.000E+00
1788,.402E+02,.000E+00,.241E+03,.000E+00,.176E+03,.000E+00,.150E+03,.000E+00,.661E+03,.000E+00,.000E+00,.000E+00
1789,.401E+02,.000E+00,.248E+03,.000E+00,.179E+03,.000E+00,.148E+03,.000E+00,.639E+03,.000E+00,.000E+00,.000E+00
1790,.399E+02,.000E+00,.234E+03,.000E+00,.174E+03,.000E+00,.143E+03,.000E+00,.644E+03,.000E+00,.000E+00,.000E+00
1791,.402E+02,.000E+00,.214E+03,.000E+00,.174E+03,.000E+00,.140E+03,.000E+00,.628E+03,.000E+00,.000E+00,.000E+00
