Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1751,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1752,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1753,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1754,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1755,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1756,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1757,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1758,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1759,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1760,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1761,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1762,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1763,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1764,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1765,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1766,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1767,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1768,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1769,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1770,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1771,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1772,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1773,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1774,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1775,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1776,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1777,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1778,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1779,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1780,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1781,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1782,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1783,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1784,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1785,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1786,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1787,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1788,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1789,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1790,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1791,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1792,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1793,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1794,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1795,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1796,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1797,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1798,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1799,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1800,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1801,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1802,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1803,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1804,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1805,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1806,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1807,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1808,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1809,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1810,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1811,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1812,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1813,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1814,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1815,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1816,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1817,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1818,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1819,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1820,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1821,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1822,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1823,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1824,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1825,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1826,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1827,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1828,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1829,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1830,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1831,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1832,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1833,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1834,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1835,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1836,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1837,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1838,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1839,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1840,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1841,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1842,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1843,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1844,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1845,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1846,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1847,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1848,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1849,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1850,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1851,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1852,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1853,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1854,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1855,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1856,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1857,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1858,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1859,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1860,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1861,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1862,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1863,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1864,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1865,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1866,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1867,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1868,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1869,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1870,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1871,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1872,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1873,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1874,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1875,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1876,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1877,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1878,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1879,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1880,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1881,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1882,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1883,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1884,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1885,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1886,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1887,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1888,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1889,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1890,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1891,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1892,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1893,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1894,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1895,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1896,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1897,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1898,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1899,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1900,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1901,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1902,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1903,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1904,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1905,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1906,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1907,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1908,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1909,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1910,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1911,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1912,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1913,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1914,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1915,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1916,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1917,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1918,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1919,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1920,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
