Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,1.81E+02,2.03E+02,2.29E+01,2.46E+02,1.10E+04
1751,1.81E+02,1.88E+02,2.25E+01,2.44E+02,1.09E+04
1752,1.81E+02,1.75E+02,2.28E+01,2.42E+02,1.09E+04
1753,1.80E+02,1.92E+02,2.29E+01,2.45E+02,1.08E+04
1754,1.80E+02,2.36E+02,2.32E+01,2.34E+02,1.08E+04
1755,1.80E+02,1.92E+02,2.28E+01,2.40E+02,1.10E+04
1756,1.79E+02,2.03E+02,2.29E+01,2.42E+02,1.07E+04
1757,1.79E+02,1.92E+02,2.36E+01,2.74E+02,1.13E+04
1758,1.79E+02,1.95E+02,2.26E+01,2.47E+02,1.12E+04
1759,1.78E+02,2.07E+02,2.29E+01,2.62E+02,1.09E+04
1760,1.78E+02,2.36E+02,2.30E+01,2.63E+02,1.09E+04
1761,1.78E+02,2.05E+02,2.31E+01,2.55E+02,1.12E+04
1762,1.77E+02,2.22E+02,2.34E+01,2.70E+02,1.06E+04
1763,1.77E+02,2.20E+02,2.34E+01,2.48E+02,1.08E+04
1764,1.77E+02,1.63E+02,2.26E+01,2.35E+02,1.09E+04
1765,1.77E+02,2.19E+02,2.29E+01,2.53E+02,1.09E+04
1766,1.76E+02,1.89E+02,2.28E+01,2.41E+02,1.10E+04
1767,1.76E+02,1.87E+02,2.30E+01,2.54E+02,1.10E+04
1768,1.76E+02,2.13E+02,2.27E+01,2.63E+02,1.14E+04
1769,1.75E+02,2.20E+02,2.32E+01,2.50E+02,1.10E+04
1770,1.75E+02,2.15E+02,2.26E+01,2.42E+02,1.11E+04
1771,1.75E+02,1.92E+02,2.21E+01,2.39E+02,1.09E+04
1772,1.74E+02,1.78E+02,2.26E+01,2.39E+02,1.08E+04
1773,1.74E+02,1.88E+02,2.25E+01,2.37E+02,1.07E+04
1774,1.74E+02,2.47E+02,2.29E+01,2.31E+02,1.10E+04
1775,1.73E+02,1.95E+02,2.23E+01,2.32E+02,1.11E+04
1776,1.73E+02,2.08E+02,2.26E+01,2.35E+02,1.06E+04
1777,1.73E+02,1.89E+02,2.32E+01,2.62E+02,1.11E+04
1778,1.72E+02,2.01E+02,2.25E+01,2.45E+02,1.14E+04
1779,1.72E+02,2.00E+02,2.25E+01,2.50E+02,1.09E+04
1780,1.71E+02,2.38E+02,2.30E+01,2.58E+02,1.08E+04
1781,1.72E+02,2.04E+02,2.32E+01,2.49E+02,1.11E+04
1782,1.72E+02,2.24E+02,2.32E+01,2.62E+02,1.06E+04
1783,1.72E+02,2.22E+02,2.33E+01,2.38E+02,1.06E+04
1784,1.72E+02,1.67E+02,2.27E+01,2.30E+02,1.09E+04
1785,1.72E+02,2.16E+02,2.26E+01,2.39E+02,1.08E+04
1786,1.73E+02,1.91E+02,2.30E+01,2.35E+02,1.08E+04
1787,1.73E+02,1.94E+02,2.32E+01,2.46E+02,1.10E+04
1788,1.73E+02,2.16E+02,2.31E+01,2.57E+02,1.14E+04
1789,1.73E+02,2.22E+02,2.33E+01,2.39E+02,1.10E+04
1790,1.73E+02,2.16E+02,2.29E+01,2.34E+02,1.11E+04
1791,1.74E+02,1.93E+02,2.25E+01,2.32E+02,1.09E+04
1792,1.75E+02,1.77E+02,2.28E+01,2.28E+02,1.09E+04
1793,1.76E+02,1.89E+02,2.28E+01,2.29E+02,1.07E+04
1794,1.77E+02,2.47E+02,2.34E+01,2.26E+02,1.10E+04
1795,1.78E+02,1.98E+02,2.28E+01,2.27E+02,1.11E+04
1796,1.79E+02,2.15E+02,2.33E+01,2.31E+02,1.05E+04
1797,1.80E+02,1.90E+02,2.36E+01,2.55E+02,1.11E+04
1798,1.81E+02,1.99E+02,2.30E+01,2.39E+02,1.14E+04
1799,1.82E+02,2.12E+02,2.31E+01,2.47E+02,1.09E+04
1800,1.83E+02,2.38E+02,2.35E+01,2.52E+02,1.08E+04
1801,1.85E+02,2.04E+02,2.36E+01,2.42E+02,1.10E+04
1802,1.86E+02,2.30E+02,2.36E+01,2.55E+02,1.06E+04
1803,1.88E+02,2.19E+02,2.35E+01,2.30E+02,1.06E+04
1804,1.89E+02,1.73E+02,2.33E+01,2.28E+02,1.09E+04
1805,1.91E+02,2.13E+02,2.30E+01,2.33E+02,1.08E+04
1806,1.93E+02,1.93E+02,2.35E+01,2.33E+02,1.09E+04
1807,1.94E+02,1.95E+02,2.36E+01,2.41E+02,1.10E+04
1808,1.96E+02,2.11E+02,2.36E+01,2.51E+02,1.15E+04
1809,1.97E+02,2.24E+02,2.38E+01,2.32E+02,1.11E+04
1810,1.99E+02,2.20E+02,2.32E+01,2.27E+02,1.12E+04
1811,2.01E+02,1.95E+02,2.30E+01,2.28E+02,1.11E+04
1812,2.03E+02,1.79E+02,2.31E+01,2.22E+02,1.10E+04
1813,2.05E+02,1.94E+02,2.33E+01,2.27E+02,1.08E+04
1814,2.07E+02,2.49E+02,2.38E+01,2.22E+02,1.10E+04
1815,2.09E+02,2.00E+02,2.33E+01,2.24E+02,1.12E+04
1816,2.11E+02,2.17E+02,2.35E+01,2.28E+02,1.08E+04
1817,2.13E+02,1.91E+02,2.40E+01,2.52E+02,1.12E+04
1818,2.15E+02,2.01E+02,2.34E+01,2.35E+02,1.16E+04
1819,2.18E+02,2.04E+02,2.37E+01,2.46E+02,1.11E+04
1820,2.20E+02,2.37E+02,2.39E+01,2.50E+02,1.10E+04
1821,2.21E+02,2.04E+02,2.40E+01,2.42E+02,1.13E+04
1822,2.22E+02,2.34E+02,2.41E+01,2.55E+02,1.07E+04
1823,2.24E+02,2.19E+02,2.37E+01,2.21E+02,1.07E+04
1824,2.25E+02,1.77E+02,2.40E+01,2.30E+02,1.11E+04
1825,2.26E+02,2.12E+02,2.34E+01,2.27E+02,1.09E+04
1826,2.28E+02,1.95E+02,2.40E+01,2.31E+02,1.09E+04
1827,2.29E+02,1.91E+02,2.39E+01,2.40E+02,1.11E+04
1828,2.30E+02,2.16E+02,2.40E+01,2.53E+02,1.15E+04
1829,2.31E+02,2.24E+02,2.41E+01,2.32E+02,1.11E+04
1830,2.33E+02,2.20E+02,2.34E+01,2.25E+02,1.13E+04
1831,2.33E+02,1.96E+02,2.34E+01,2.24E+02,1.10E+04
1832,2.34E+02,1.81E+02,2.36E+01,2.22E+02,1.10E+04
1833,2.34E+02,1.98E+02,2.38E+01,2.26E+02,1.09E+04
1834,2.35E+02,2.47E+02,2.38E+01,2.15E+02,1.11E+04
1835,2.36E+02,1.98E+02,2.36E+01,2.18E+02,1.12E+04
1836,2.36E+02,2.22E+02,2.40E+01,2.30E+02,1.08E+04
1837,2.37E+02,1.94E+02,2.41E+01,2.44E+02,1.12E+04
1838,2.37E+02,2.04E+02,2.40E+01,2.35E+02,1.16E+04
1839,2.38E+02,2.07E+02,2.41E+01,2.42E+02,1.11E+04
1840,2.38E+02,2.38E+02,2.44E+01,2.43E+02,1.07E+04
1841,2.39E+02,2.11E+02,2.44E+01,2.38E+02,1.13E+04
1842,2.39E+02,2.30E+02,2.42E+01,2.46E+02,1.08E+04
1843,2.40E+02,2.21E+02,2.38E+01,2.16E+02,1.06E+04
1844,2.40E+02,1.79E+02,2.41E+01,2.22E+02,1.10E+04
1845,2.41E+02,2.14E+02,2.34E+01,2.21E+02,1.09E+04
