Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,.123E+03,.000E+00,.264E+03,.000E+00,.573E+03,.000E+00,.105E+04,.000E+00,.679E+03,.000E+00,.000E+00,.000E+00
1751,.125E+03,.000E+00,.258E+03,.000E+00,.572E+03,.000E+00,.105E+04,.000E+00,.673E+03,.000E+00,.000E+00,.000E+00
1752,.126E+03,.000E+00,.258E+03,.000E+00,.576E+03,.000E+00,.105E+04,.000E+00,.668E+03,.000E+00,.000E+00,.000E+00
1753,.128E+03,.000E+00,.264E+03,.000E+00,.578E+03,.000E+00,.105E+04,.000E+00,.671E+03,.000E+00,.000E+00,.000E+00
1754,.130E+03,.000E+00,.280E+03,.000E+00,.581E+03,.000E+00,.106E+04,.000E+00,.674E+03,.000E+00,.000E+00,.000E+00
1755,.132E+03,.000E+00,.264E+03,.000E+00,.579E+03,.000E+00,.106E+04,.000E+00,.684E+03,.000E+00,.000E+00,.000E+00
1756,.134E+03,.000E+00,.270E+03,.000E+00,.582E+03,.000E+00,.106E+04,.000E+00,.677E+03,.000E+00,.000E+00,.000E+00
1757,.135E+03,.000E+00,.274E+03,.000E+00,.587E+03,.000E+00,.107E+04,.000E+00,.688E+03,.000E+00,.000E+00,.000E+00
1758,.137E+03,.000E+00,.268E+03,.000E+00,.584E+03,.000E+00,.106E+04,.000E+00,.677E+03,.000E+00,.000E+00,.000E+00
1759,.139E+03,.000E+00,.274E+03,.000E+00,.586E+03,.000E+00,.107E+04,.000E+00,.688E+03,.000E+00,.000E+00,.000E+00
1760,.141E+03,.000E+00,.285E+03,.000E+00,.587E+03,.000E+00,.107E+04,.000E+00,.685E+03,.000E+00,.000E+00,.000E+00
1761,.143E+03,.000E+00,.277E+03,.000E+00,.590E+03,.000E+00,.107E+04,.000E+00,.690E+03,.000E+00,.000E+00,.000E+00
1762,.145E+03,.000E+00,.286E+03,.000E+00,.593E+03,.000E+00,.108E+04,.000E+00,.680E+03,.000E+00,.000E+00,.000E+00
1763,.147E+03,.000E+00,.286E+03,.000E+00,.595E+03,.000E+00,.107E+04,.000E+00,.678E+03,.000E+00,.000E+00,.000E+00
1764,.149E+03,.000E+00,.264E+03,.000E+00,.591E+03,.000E+00,.107E+04,.000E+00,.682E+03,.000E+00,.000E+00,.000E+00
1765,.151E+03,.000E+00,.283E+03,.000E+00,.594E+03,.000E+00,.107E+04,.000E+00,.686E+03,.000E+00,.000E+00,.000E+00
1766,.153E+03,.000E+00,.275E+03,.000E+00,.596E+03,.000E+00,.107E+04,.000E+00,.693E+03,.000E+00,.000E+00,.000E+00
1767,.155E+03,.000E+00,.277E+03,.000E+00,.599E+03,.000E+00,.108E+04,.000E+00,.690E+03,.000E+00,.000E+00,.000E+00
1768,.157E+03,.000E+00,.283E+03,.000E+00,.598E+03,.000E+00,.108E+04,.000E+00,.700E+03,.000E+00,.000E+00,.000E+00
1769,.160E+03,.000E+00,.291E+03,.000E+00,.603E+03,.000E+00,.108E+04,.000E+00,.689E+03,.000E+00,.000E+00,.000E+00
1770,.162E+03,.000E+00,.284E+03,.000E+00,.600E+03,.000E+00,.108E+04,.000E+00,.691E+03,.000E+00,.000E+00,.000E+00
1771,.164E+03,.000E+00,.275E+03,.000E+00,.600E+03,.000E+00,.108E+04,.000E+00,.683E+03,.000E+00,.000E+00,.000E+00
1772,.167E+03,.000E+00,.276E+03,.000E+00,.604E+03,.000E+00,.111E+04,.000E+00,.678E+03,.000E+00,.000E+00,.000E+00
1773,.169E+03,.000E+00,.279E+03,.000E+00,.605E+03,.000E+00,.112E+04,.000E+00,.680E+03,.000E+00,.000E+00,.000E+00
1774,.172E+03,.000E+00,.300E+03,.000E+00,.609E+03,.000E+00,.113E+04,.000E+00,.687E+03,.000E+00,.000E+00,.000E+00
1775,.174E+03,.000E+00,.280E+03,.000E+00,.606E+03,.000E+00,.114E+04,.000E+00,.696E+03,.000E+00,.000E+00,.000E+00
1776,.177E+03,.000E+00,.288E+03,.000E+00,.611E+03,.000E+00,.116E+04,.000E+00,.687E+03,.000E+00,.000E+00,.000E+00
1777,.180E+03,.000E+00,.288E+03,.000E+00,.615E+03,.000E+00,.118E+04,.000E+00,.695E+03,.000E+00,.000E+00,.000E+00
1778,.182E+03,.000E+00,.286E+03,.000E+00,.612E+03,.000E+00,.118E+04,.000E+00,.691E+03,.000E+00,.000E+00,.000E+00
1779,.185E+03,.000E+00,.287E+03,.000E+00,.613E+03,.000E+00,.119E+04,.000E+00,.697E+03,.000E+00,.000E+00,.000E+00
1780,.187E+03,.000E+00,.304E+03,.000E+00,.620E+03,.000E+00,.121E+04,.000E+00,.695E+03,.000E+00,.000E+00,.000E+00
1781,.190E+03,.000E+00,.297E+03,.000E+00,.624E+03,.000E+00,.121E+04,.000E+00,.697E+03,.000E+00,.000E+00,.000E+00
1782,.193E+03,.000E+00,.303E+03,.000E+00,.625E+03,.000E+00,.122E+04,.000E+00,.690E+03,.000E+00,.000E+00,.000E+00
1783,.196E+03,.000E+00,.303E+03,.000E+00,.627E+03,.000E+00,.122E+04,.000E+00,.685E+03,.000E+00,.000E+00,.000E+00
1784,.199E+03,.000E+00,.283E+03,.000E+00,.624E+03,.000E+00,.121E+04,.000E+00,.693E+03,.000E+00,.000E+00,.000E+00
1785,.202E+03,.000E+00,.297E+03,.000E+00,.626E+03,.000E+00,.122E+04,.000E+00,.692E+03,.000E+00,.000E+00,.000E+00
1786,.205E+03,.000E+00,.294E+03,.000E+00,.631E+03,.000E+00,.122E+04,.000E+00,.700E+03,.000E+00,.000E+00,.000E+00
1787,.209E+03,.000E+00,.297E+03,.000E+00,.633E+03,.000E+00,.124E+04,.000E+00,.700E+03,.000E+00,.000E+00,.000E+00
1788,.212E+03,.000E+00,.303E+03,.000E+00,.636E+03,.000E+00,.124E+04,.000E+00,.710E+03,.000E+00,.000E+00,.000E+00
1789,.215E+03,.000E+00,.308E+03,.000E+00,.638E+03,.000E+00,.124E+04,.000E+00,.698E+03,.000E+00,.000E+00,.000E+00
1790,.218E+03,.000E+00,.302E+03,.000E+00,.637E+03,.000E+00,.124E+04,.000E+00,.702E+03,.000E+00,.000E+00,.000E+00
1791,.224E+03,.000E+00,.294E+03,.000E+00,.638E+03,.000E+00,.124E+04,.000E+00,.694E+03,.000E+00,.000E+00,.000E+00
1792,.230E+03,.000E+00,.292E+03,.000E+00,.641E+03,.000E+00,.124E+04,.000E+00,.689E+03,.000E+00,.000E+00,.000E+00
1793,.237E+03,.000E+00,.297E+03,.000E+00,.643E+03,.000E+00,.122E+04,.000E+00,.690E+03,.000E+00,.000E+00,.000E+00
1794,.243E+03,.000E+00,.319E+03,.000E+00,.647E+03,.000E+00,.124E+04,.000E+00,.698E+03,.000E+00,.000E+00,.000E+00
1795,.249E+03,.000E+00,.301E+03,.000E+00,.646E+03,.000E+00,.122E+04,.000E+00,.708E+03,.000E+00,.000E+00,.000E+00
1796,.255E+03,.000E+00,.311E+03,.000E+00,.650E+03,.000E+00,.122E+04,.000E+00,.696E+03,.000E+00,.000E+00,.000E+00
1797,.262E+03,.000E+00,.308E+03,.000E+00,.655E+03,.000E+00,.124E+04,.000E+00,.706E+03,.000E+00,.000E+00,.000E+00
1798,.268E+03,.000E+00,.306E+03,.000E+00,.654E+03,.000E+00,.122E+04,.000E+00,.702E+03,.000E+00,.000E+00,.000E+00
1799,.274E+03,.000E+00,.312E+03,.000E+00,.658E+03,.000E+00,.122E+04,.000E+00,.709E+03,.000E+00,.000E+00,.000E+00
1800,.280E+03,.000E+00,.324E+03,.000E+00,.663E+03,.000E+00,.122E+04,.000E+00,.706E+03,.000E+00,.000E+00,.000E+00
1801,.289E+03,.000E+00,.315E+03,.000E+00,.664E+03,.000E+00,.122E+04,.000E+00,.708E+03,.000E+00,.000E+00,.000E+00
1802,.298E+03,.000E+00,.323E+03,.000E+00,.668E+03,.000E+00,.124E+04,.000E+00,.701E+03,.000E+00,.000E+00,.000E+00
1803,.306E+03,.000E+00,.320E+03,.000E+00,.671E+03,.000E+00,.124E+04,.000E+00,.696E+03,.000E+00,.000E+00,.000E+00
