Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,1.23E+02,0.00E+00,2.64E+02,0.00E+00,5.73E+02,0.00E+00,1.05E+03,0.00E+00,6.79E+02,0.00E+00,0.00E+00,0.00E+00
1751,1.25E+02,0.00E+00,2.58E+02,0.00E+00,5.72E+02,0.00E+00,1.05E+03,0.00E+00,6.73E+02,0.00E+00,0.00E+00,0.00E+00
1752,1.26E+02,0.00E+00,2.58E+02,0.00E+00,5.76E+02,0.00E+00,1.05E+03,0.00E+00,6.68E+02,0.00E+00,0.00E+00,0.00E+00
1753,1.28E+02,0.00E+00,2.64E+02,0.00E+00,5.78E+02,0.00E+00,1.05E+03,0.00E+00,6.71E+02,0.00E+00,0.00E+00,0.00E+00
1754,1.30E+02,0.00E+00,2.80E+02,0.00E+00,5.81E+02,0.00E+00,1.06E+03,0.00E+00,6.74E+02,0.00E+00,0.00E+00,0.00E+00
1755,1.32E+02,0.00E+00,2.64E+02,0.00E+00,5.79E+02,0.00E+00,1.06E+03,0.00E+00,6.84E+02,0.00E+00,0.00E+00,0.00E+00
1756,1.34E+02,0.00E+00,2.70E+02,0.00E+00,5.82E+02,0.00E+00,1.06E+03,0.00E+00,6.77E+02,0.00E+00,0.00E+00,0.00E+00
1757,1.35E+02,0.00E+00,2.74E+02,0.00E+00,5.87E+02,0.00E+00,1.07E+03,0.00E+00,6.88E+02,0.00E+00,0.00E+00,0.00E+00
1758,1.37E+02,0.00E+00,2.68E+02,0.00E+00,5.84E+02,0.00E+00,1.06E+03,0.00E+00,6.77E+02,0.00E+00,0.00E+00,0.00E+00
1759,1.39E+02,0.00E+00,2.74E+02,0.00E+00,5.86E+02,0.00E+00,1.07E+03,0.00E+00,6.88E+02,0.00E+00,0.00E+00,0.00E+00
1760,1.41E+02,0.00E+00,2.85E+02,0.00E+00,5.87E+02,0.00E+00,1.07E+03,0.00E+00,6.85E+02,0.00E+00,0.00E+00,0.00E+00
1761,1.43E+02,0.00E+00,2.77E+02,0.00E+00,5.90E+02,0.00E+00,1.07E+03,0.00E+00,6.90E+02,0.00E+00,0.00E+00,0.00E+00
1762,1.45E+02,0.00E+00,2.86E+02,0.00E+00,5.93E+02,0.00E+00,1.08E+03,0.00E+00,6.80E+02,0.00E+00,0.00E+00,0.00E+00
1763,1.47E+02,0.00E+00,2.86E+02,0.00E+00,5.95E+02,0.00E+00,1.07E+03,0.00E+00,6.78E+02,0.00E+00,0.00E+00,0.00E+00
1764,1.49E+02,0.00E+00,2.64E+02,0.00E+00,5.91E+02,0.00E+00,1.07E+03,0.00E+00,6.82E+02,0.00E+00,0.00E+00,0.00E+00
1765,1.51E+02,0.00E+00,2.83E+02,0.00E+00,5.94E+02,0.00E+00,1.07E+03,0.00E+00,6.86E+02,0.00E+00,0.00E+00,0.00E+00
1766,1.53E+02,0.00E+00,2.75E+02,0.00E+00,5.96E+02,0.00E+00,1.07E+03,0.00E+00,6.93E+02,0.00E+00,0.00E+00,0.00E+00
1767,1.55E+02,0.00E+00,2.77E+02,0.00E+00,5.99E+02,0.00E+00,1.08E+03,0.00E+00,6.90E+02,0.00E+00,0.00E+00,0.00E+00
1768,1.57E+02,0.00E+00,2.83E+02,0.00E+00,5.98E+02,0.00E+00,1.08E+03,0.00E+00,7.00E+02,0.00E+00,0.00E+00,0.00E+00
1769,1.60E+02,0.00E+00,2.91E+02,0.00E+00,6.03E+02,0.00E+00,1.08E+03,0.00E+00,6.89E+02,0.00E+00,0.00E+00,0.00E+00
