Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1751,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1752,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1753,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1754,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1755,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1756,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1757,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1758,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1759,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1760,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1761,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1762,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1763,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1764,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1765,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1766,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1767,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1768,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1769,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1770,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1771,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1772,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1773,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1774,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1775,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1776,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1777,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1778,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1779,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1780,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1781,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1782,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1783,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1784,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1785,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1786,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1787,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1788,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1789,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1790,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1791,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1792,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
1793,2.92E+03,1.83E+03,5.22E+01,2.43E+02,1.32E+04
