Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,1.18E+03,1.66E+03,3.54E+01,5.89E+02,9.08E+03
1751,1.17E+03,1.54E+03,3.46E+01,5.79E+02,8.97E+03
1752,1.17E+03,1.40E+03,3.53E+01,5.79E+02,8.95E+03
1753,1.17E+03,1.56E+03,3.55E+01,5.88E+02,8.92E+03
1754,1.17E+03,1.96E+03,3.60E+01,5.71E+02,8.88E+03
1755,1.16E+03,1.56E+03,3.52E+01,5.74E+02,9.09E+03
1756,1.16E+03,1.65E+03,3.55E+01,5.82E+02,8.82E+03
1757,1.16E+03,1.52E+03,3.70E+01,6.58E+02,9.35E+03
1758,1.16E+03,1.59E+03,3.50E+01,5.90E+02,9.20E+03
1759,1.15E+03,1.69E+03,3.56E+01,6.24E+02,9.09E+03
1760,1.15E+03,1.96E+03,3.58E+01,6.29E+02,9.04E+03
1761,1.15E+03,1.66E+03,3.60E+01,6.13E+02,9.23E+03
1762,1.15E+03,1.81E+03,3.66E+01,6.49E+02,8.87E+03
1763,1.15E+03,1.79E+03,3.65E+01,6.04E+02,8.94E+03
1764,1.14E+03,1.29E+03,3.49E+01,5.63E+02,8.95E+03
1765,1.14E+03,1.80E+03,3.55E+01,6.07E+02,9.07E+03
1766,1.14E+03,1.52E+03,3.53E+01,5.80E+02,9.06E+03
1767,1.14E+03,1.50E+03,3.57E+01,6.10E+02,9.09E+03
1768,1.14E+03,1.75E+03,3.52E+01,6.25E+02,9.46E+03
1769,1.14E+03,1.79E+03,3.62E+01,6.06E+02,9.10E+03
1770,1.13E+03,1.77E+03,3.49E+01,5.81E+02,9.17E+03
1771,1.13E+03,1.58E+03,3.40E+01,5.68E+02,8.97E+03
1772,1.13E+03,1.43E+03,3.49E+01,5.74E+02,8.89E+03
1773,1.13E+03,1.53E+03,3.47E+01,5.67E+02,8.87E+03
1774,1.13E+03,2.06E+03,3.56E+01,5.63E+02,8.96E+03
1775,1.12E+03,1.60E+03,3.44E+01,5.55E+02,9.15E+03
1776,1.12E+03,1.71E+03,3.50E+01,5.65E+02,8.80E+03
1777,1.12E+03,1.51E+03,3.61E+01,6.29E+02,9.20E+03
