Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,3.27E+00,0.00E+00,1.88E+01,0.00E+00,1.60E+02,0.00E+00,3.82E+01,0.00E+00,5.08E+01,0.00E+00,0.00E+00,0.00E+00
1751,3.30E+00,0.00E+00,1.81E+01,0.00E+00,1.61E+02,0.00E+00,3.81E+01,0.00E+00,5.03E+01,0.00E+00,0.00E+00,0.00E+00
1752,3.32E+00,0.00E+00,1.82E+01,0.00E+00,1.62E+02,0.00E+00,3.83E+01,0.00E+00,4.98E+01,0.00E+00,0.00E+00,0.00E+00
1753,3.34E+00,0.00E+00,1.89E+01,0.00E+00,1.63E+02,0.00E+00,3.85E+01,0.00E+00,5.01E+01,0.00E+00,0.00E+00,0.00E+00
1754,3.38E+00,0.00E+00,2.05E+01,0.00E+00,1.65E+02,0.00E+00,3.86E+01,0.00E+00,5.04E+01,0.00E+00,0.00E+00,0.00E+00
1755,3.40E+00,0.00E+00,1.90E+01,0.00E+00,1.65E+02,0.00E+00,3.85E+01,0.00E+00,5.14E+01,0.00E+00,0.00E+00,0.00E+00
1756,3.42E+00,0.00E+00,1.95E+01,0.00E+00,1.70E+02,0.00E+00,3.87E+01,0.00E+00,5.07E+01,0.00E+00,0.00E+00,0.00E+00
1757,3.45E+00,0.00E+00,2.01E+01,0.00E+00,1.71E+02,0.00E+00,3.96E+01,0.00E+00,5.17E+01,0.00E+00,0.00E+00,0.00E+00
1758,3.47E+00,0.00E+00,1.94E+01,0.00E+00,1.69E+02,0.00E+00,3.87E+01,0.00E+00,5.08E+01,0.00E+00,0.00E+00,0.00E+00
1759,3.49E+00,0.00E+00,2.01E+01,0.00E+00,1.71E+02,0.00E+00,3.93E+01,0.00E+00,5.18E+01,0.00E+00,0.00E+00,0.00E+00
1760,3.52E+00,0.00E+00,2.12E+01,0.00E+00,1.71E+02,0.00E+00,3.94E+01,0.00E+00,5.15E+01,0.00E+00,0.00E+00,0.00E+00
1761,3.54E+00,0.00E+00,2.05E+01,0.00E+00,1.76E+02,0.00E+00,3.93E+01,0.00E+00,5.19E+01,0.00E+00,0.00E+00,0.00E+00
1762,3.57E+00,0.00E+00,2.14E+01,0.00E+00,1.75E+02,0.00E+00,3.98E+01,0.00E+00,5.10E+01,0.00E+00,0.00E+00,0.00E+00
1763,3.59E+00,0.00E+00,2.14E+01,0.00E+00,1.77E+02,0.00E+00,3.95E+01,0.00E+00,5.09E+01,0.00E+00,0.00E+00,0.00E+00
1764,3.62E+00,0.00E+00,1.91E+01,0.00E+00,1.80E+02,0.00E+00,3.89E+01,0.00E+00,5.12E+01,0.00E+00,0.00E+00,0.00E+00
1765,3.64E+00,0.00E+00,2.11E+01,0.00E+00,1.76E+02,0.00E+00,3.94E+01,0.00E+00,5.16E+01,0.00E+00,0.00E+00,0.00E+00
1766,3.66E+00,0.00E+00,2.02E+01,0.00E+00,1.86E+02,0.00E+00,3.93E+01,0.00E+00,5.23E+01,0.00E+00,0.00E+00,0.00E+00
1767,3.68E+00,0.00E+00,2.05E+01,0.00E+00,1.84E+02,0.00E+00,3.96E+01,0.00E+00,5.20E+01,0.00E+00,0.00E+00,0.00E+00
1768,3.71E+00,0.00E+00,2.11E+01,0.00E+00,1.89E+02,0.00E+00,3.97E+01,0.00E+00,5.30E+01,0.00E+00,0.00E+00,0.00E+00
1769,3.73E+00,0.00E+00,2.19E+01,0.00E+00,1.91E+02,0.00E+00,3.98E+01,0.00E+00,5.19E+01,0.00E+00,0.00E+00,0.00E+00
1770,3.77E+00,0.00E+00,2.13E+01,0.00E+00,1.95E+02,0.00E+00,3.93E+01,0.00E+00,5.22E+01,0.00E+00,0.00E+00,0.00E+00
1771,3.79E+00,0.00E+00,2.04E+01,0.00E+00,1.78E+02,0.00E+00,3.95E+01,0.00E+00,5.14E+01,0.00E+00,0.00E+00,0.00E+00
1772,3.82E+00,0.00E+00,2.05E+01,0.00E+00,1.78E+02,0.00E+00,4.01E+01,0.00E+00,5.09E+01,0.00E+00,0.00E+00,0.00E+00
1773,3.85E+00,0.00E+00,2.08E+01,0.00E+00,1.78E+02,0.00E+00,4.04E+01,0.00E+00,5.11E+01,0.00E+00,0.00E+00,0.00E+00
1774,3.87E+00,0.00E+00,2.30E+01,0.00E+00,1.79E+02,0.00E+00,4.10E+01,0.00E+00,5.18E+01,0.00E+00,0.00E+00,0.00E+00
1775,3.90E+00,0.00E+00,2.10E+01,0.00E+00,1.79E+02,0.00E+00,4.10E+01,0.00E+00,5.27E+01,0.00E+00,0.00E+00,0.00E+00
1776,3.92E+00,0.00E+00,2.17E+01,0.00E+00,1.86E+02,0.00E+00,4.16E+01,0.00E+00,5.18E+01,0.00E+00,0.00E+00,0.00E+00
1777,3.96E+00,0.00E+00,2.18E+01,0.00E+00,1.87E+02,0.00E+00,4.27E+01,0.00E+00,5.26E+01,0.00E+00,0.00E+00,0.00E+00
1778,3.99E+00,0.00E+00,2.17E+01,0.00E+00,1.86E+02,0.00E+00,4.25E+01,0.00E+00,5.23E+01,0.00E+00,0.00E+00,0.00E+00
1779,4.01E+00,0.00E+00,2.17E+01,0.00E+00,1.87E+02,0.00E+00,4.29E+01,0.00E+00,5.29E+01,0.00E+00,0.00E+00,0.00E+00
1780,4.04E+00,0.00E+00,2.34E+01,0.00E+00,1.87E+02,0.00E+00,4.37E+01,0.00E+00,5.27E+01,0.00E+00,0.00E+00,0.00E+00
1781,4.06E+00,0.00E+00,2.26E+01,0.00E+00,1.95E+02,0.00E+00,4.38E+01,0.00E+00,5.29E+01,0.00E+00,0.00E+00,0.00E+00
1782,4.08E+00,0.00E+00,2.33E+01,0.00E+00,1.95E+02,0.00E+00,4.40E+01,0.00E+00,5.22E+01,0.00E+00,0.00E+00,0.00E+00
1783,4.11E+00,0.00E+00,2.34E+01,0.00E+00,1.96E+02,0.00E+00,4.38E+01,0.00E+00,5.17E+01,0.00E+00,0.00E+00,0.00E+00
1784,4.14E+00,0.00E+00,2.13E+01,0.00E+00,1.96E+02,0.00E+00,4.34E+01,0.00E+00,5.25E+01,0.00E+00,0.00E+00,0.00E+00
1785,4.18E+00,0.00E+00,2.28E+01,0.00E+00,1.97E+02,0.00E+00,4.37E+01,0.00E+00,5.24E+01,0.00E+00,0.00E+00,0.00E+00
1786,4.20E+00,0.00E+00,2.24E+01,0.00E+00,2.07E+02,0.00E+00,4.39E+01,0.00E+00,5.32E+01,0.00E+00,0.00E+00,0.00E+00
1787,4.22E+00,0.00E+00,2.27E+01,0.00E+00,2.08E+02,0.00E+00,4.42E+01,0.00E+00,5.32E+01,0.00E+00,0.00E+00,0.00E+00
1788,4.24E+00,0.00E+00,2.34E+01,0.00E+00,2.08E+02,0.00E+00,4.45E+01,0.00E+00,5.42E+01,0.00E+00,0.00E+00,0.00E+00
1789,4.27E+00,0.00E+00,2.39E+01,0.00E+00,2.08E+02,0.00E+00,4.44E+01,0.00E+00,5.31E+01,0.00E+00,0.00E+00,0.00E+00
1790,4.28E+00,0.00E+00,2.34E+01,0.00E+00,2.08E+02,0.00E+00,4.41E+01,0.00E+00,5.35E+01,0.00E+00,0.00E+00,0.00E+00
1791,4.37E+00,0.00E+00,2.25E+01,0.00E+00,2.19E+02,0.00E+00,4.39E+01,0.00E+00,5.27E+01,0.00E+00,0.00E+00,0.00E+00
