Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,.327E+01,.000E+00,.188E+02,.000E+00,.160E+03,.000E+00,.382E+02,.000E+00,.508E+02,.000E+00,.000E+00,.000E+00
1751,.330E+01,.000E+00,.181E+02,.000E+00,.161E+03,.000E+00,.381E+02,.000E+00,.503E+02,.000E+00,.000E+00,.000E+00
1752,.332E+01,.000E+00,.182E+02,.000E+00,.162E+03,.000E+00,.383E+02,.000E+00,.498E+02,.000E+00,.000E+00,.000E+00
1753,.334E+01,.000E+00,.189E+02,.000E+00,.163E+03,.000E+00,.385E+02,.000E+00,.501E+02,.000E+00,.000E+00,.000E+00
1754,.338E+01,.000E+00,.205E+02,.000E+00,.165E+03,.000E+00,.386E+02,.000E+00,.504E+02,.000E+00,.000E+00,.000E+00
1755,.340E+01,.000E+00,.190E+02,.000E+00,.165E+03,.000E+00,.385E+02,.000E+00,.514E+02,.000E+00,.000E+00,.000E+00
1756,.342E+01,.000E+00,.195E+02,.000E+00,.170E+03,.000E+00,.387E+02,.000E+00,.507E+02,.000E+00,.000E+00,.000E+00
1757,.345E+01,.000E+00,.201E+02,.000E+00,.171E+03,.000E+00,.396E+02,.000E+00,.517E+02,.000E+00,.000E+00,.000E+00
1758,.347E+01,.000E+00,.194E+02,.000E+00,.169E+03,.000E+00,.387E+02,.000E+00,.508E+02,.000E+00,.000E+00,.000E+00
1759,.349E+01,.000E+00,.201E+02,.000E+00,.171E+03,.000E+00,.393E+02,.000E+00,.518E+02,.000E+00,.000E+00,.000E+00
1760,.352E+01,.000E+00,.212E+02,.000E+00,.171E+03,.000E+00,.394E+02,.000E+00,.515E+02,.000E+00,.000E+00,.000E+00
1761,.354E+01,.000E+00,.205E+02,.000E+00,.176E+03,.000E+00,.393E+02,.000E+00,.519E+02,.000E+00,.000E+00,.000E+00
1762,.357E+01,.000E+00,.214E+02,.000E+00,.175E+03,.000E+00,.398E+02,.000E+00,.510E+02,.000E+00,.000E+00,.000E+00
1763,.359E+01,.000E+00,.214E+02,.000E+00,.177E+03,.000E+00,.395E+02,.000E+00,.509E+02,.000E+00,.000E+00,.000E+00
1764,.362E+01,.000E+00,.191E+02,.000E+00,.180E+03,.000E+00,.389E+02,.000E+00,.512E+02,.000E+00,.000E+00,.000E+00
1765,.364E+01,.000E+00,.211E+02,.000E+00,.176E+03,.000E+00,.394E+02,.000E+00,.516E+02,.000E+00,.000E+00,.000E+00
