Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1751,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1752,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1753,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1754,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1755,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1756,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1757,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1758,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1759,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1760,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1761,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1762,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1763,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1764,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1765,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1766,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1767,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1768,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1769,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1770,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1771,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1772,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1773,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1774,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1775,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1776,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1777,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1778,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1779,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1780,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
