Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,6.76E+01,9.58E+01,2.45E+00,3.56E+01,7.22E+02
1751,6.74E+01,8.89E+01,2.40E+00,3.50E+01,7.14E+02
1752,6.73E+01,8.09E+01,2.44E+00,3.50E+01,7.15E+02
1753,6.72E+01,8.98E+01,2.45E+00,3.55E+01,7.10E+02
1754,6.70E+01,1.13E+02,2.49E+00,3.45E+01,7.10E+02
1755,6.69E+01,8.99E+01,2.44E+00,3.47E+01,7.24E+02
1756,6.67E+01,9.52E+01,2.46E+00,3.52E+01,7.01E+02
1757,6.66E+01,8.76E+01,2.55E+00,3.98E+01,7.44E+02
1758,6.64E+01,9.15E+01,2.42E+00,3.57E+01,7.36E+02
1759,6.63E+01,9.72E+01,2.46E+00,3.78E+01,7.21E+02
1760,6.62E+01,1.13E+02,2.47E+00,3.80E+01,7.16E+02
1761,6.61E+01,9.56E+01,2.49E+00,3.71E+01,7.35E+02
1762,6.60E+01,1.04E+02,2.53E+00,3.92E+01,7.02E+02
1763,6.59E+01,1.03E+02,2.52E+00,3.65E+01,7.12E+02
1764,6.58E+01,7.42E+01,2.41E+00,3.40E+01,7.14E+02
1765,6.57E+01,1.04E+02,2.46E+00,3.67E+01,7.20E+02
1766,6.56E+01,8.79E+01,2.44E+00,3.51E+01,7.22E+02
1767,6.55E+01,8.63E+01,2.47E+00,3.69E+01,7.22E+02
1768,6.54E+01,1.01E+02,2.44E+00,3.78E+01,7.52E+02
1769,6.53E+01,1.03E+02,2.50E+00,3.67E+01,7.26E+02
1770,6.52E+01,1.02E+02,2.42E+00,3.51E+01,7.31E+02
1771,6.51E+01,9.09E+01,2.36E+00,3.43E+01,7.15E+02
1772,6.50E+01,8.25E+01,2.42E+00,3.47E+01,7.10E+02
1773,6.49E+01,8.82E+01,2.40E+00,3.43E+01,7.07E+02
1774,6.48E+01,1.19E+02,2.46E+00,3.40E+01,7.17E+02
1775,6.47E+01,9.23E+01,2.38E+00,3.35E+01,7.30E+02
1776,6.45E+01,9.85E+01,2.42E+00,3.42E+01,7.00E+02
1777,6.44E+01,8.69E+01,2.49E+00,3.81E+01,7.33E+02
1778,6.43E+01,9.47E+01,2.41E+00,3.53E+01,7.49E+02
1779,6.42E+01,9.43E+01,2.41E+00,3.60E+01,7.18E+02
1780,6.41E+01,1.14E+02,2.47E+00,3.74E+01,7.15E+02
1781,6.43E+01,9.52E+01,2.50E+00,3.64E+01,7.29E+02
1782,6.45E+01,1.06E+02,2.49E+00,3.80E+01,6.99E+02
1783,6.47E+01,1.05E+02,2.50E+00,3.51E+01,7.00E+02
1784,6.49E+01,7.66E+01,2.43E+00,3.34E+01,7.14E+02
1785,6.51E+01,1.03E+02,2.42E+00,3.45E+01,7.10E+02
1786,6.53E+01,8.91E+01,2.46E+00,3.42E+01,7.09E+02
1787,6.55E+01,9.05E+01,2.48E+00,3.57E+01,7.22E+02
1788,6.57E+01,1.03E+02,2.47E+00,3.70E+01,7.50E+02
1789,6.59E+01,1.06E+02,2.51E+00,3.50E+01,7.25E+02
1790,6.61E+01,1.04E+02,2.44E+00,3.39E+01,7.32E+02
1791,6.65E+01,9.22E+01,2.39E+00,3.33E+01,7.15E+02
1792,6.69E+01,8.26E+01,2.43E+00,3.31E+01,7.17E+02
1793,6.73E+01,8.91E+01,2.43E+00,3.31E+01,7.06E+02
1794,6.77E+01,1.19E+02,2.50E+00,3.33E+01,7.18E+02
1795,6.81E+01,9.39E+01,2.43E+00,3.29E+01,7.28E+02
1796,6.85E+01,1.02E+02,2.49E+00,3.38E+01,6.92E+02
1797,6.89E+01,8.78E+01,2.53E+00,3.71E+01,7.31E+02
1798,6.93E+01,9.40E+01,2.46E+00,3.45E+01,7.46E+02
1799,6.97E+01,1.01E+02,2.47E+00,3.56E+01,7.18E+02
1800,7.01E+01,1.14E+02,2.52E+00,3.66E+01,7.12E+02
1801,7.06E+01,9.53E+01,2.54E+00,3.54E+01,7.27E+02
1802,7.10E+01,1.10E+02,2.53E+00,3.69E+01,7.00E+02
1803,7.15E+01,1.04E+02,2.52E+00,3.37E+01,6.95E+02
1804,7.19E+01,7.96E+01,2.49E+00,3.32E+01,7.18E+02
1805,7.24E+01,1.03E+02,2.45E+00,3.36E+01,7.12E+02
1806,7.28E+01,9.06E+01,2.52E+00,3.40E+01,7.15E+02
