Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR, ARCTIC_SHIP, NONARC_SHIP
1750,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1751,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1752,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1753,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1754,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1755,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1756,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1757,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1758,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1759,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1760,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1761,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1762,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1763,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1764,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1765,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1766,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1767,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1768,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1769,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1770,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1771,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1772,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1773,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1774,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1775,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1776,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1777,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
