Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,2.97E+02,0.00E+00,1.36E+03,0.00E+00,1.74E+03,0.00E+00,2.41E+03,0.00E+00,3.23E+03,0.00E+00,0.00E+00,0.00E+00
1751,2.99E+02,0.00E+00,1.29E+03,0.00E+00,1.72E+03,0.00E+00,2.39E+03,0.00E+00,3.18E+03,0.00E+00,0.00E+00,0.00E+00
1752,3.02E+02,0.00E+00,1.28E+03,0.00E+00,1.74E+03,0.00E+00,2.41E+03,0.00E+00,3.15E+03,0.00E+00,0.00E+00,0.00E+00
1753,3.05E+02,0.00E+00,1.34E+03,0.00E+00,1.75E+03,0.00E+00,2.43E+03,0.00E+00,3.16E+03,0.00E+00,0.00E+00,0.00E+00
1754,3.07E+02,0.00E+00,1.49E+03,0.00E+00,1.77E+03,0.00E+00,2.43E+03,0.00E+00,3.19E+03,0.00E+00,0.00E+00,0.00E+00
1755,3.10E+02,0.00E+00,1.33E+03,0.00E+00,1.74E+03,0.00E+00,2.42E+03,0.00E+00,3.26E+03,0.00E+00,0.00E+00,0.00E+00
1756,3.13E+02,0.00E+00,1.38E+03,0.00E+00,1.76E+03,0.00E+00,2.43E+03,0.00E+00,3.20E+03,0.00E+00,0.00E+00,0.00E+00
1757,3.15E+02,0.00E+00,1.41E+03,0.00E+00,1.79E+03,0.00E+00,2.52E+03,0.00E+00,3.29E+03,0.00E+00,0.00E+00,0.00E+00
1758,3.18E+02,0.00E+00,1.34E+03,0.00E+00,1.75E+03,0.00E+00,2.44E+03,0.00E+00,3.21E+03,0.00E+00,0.00E+00,0.00E+00
1759,3.20E+02,0.00E+00,1.40E+03,0.00E+00,1.77E+03,0.00E+00,2.48E+03,0.00E+00,3.27E+03,0.00E+00,0.00E+00,0.00E+00
