Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,.297E+03,.000E+00,.136E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.323E+04,.000E+00,.000E+00,.000E+00
1751,.299E+03,.000E+00,.129E+04,.000E+00,.172E+04,.000E+00,.239E+04,.000E+00,.318E+04,.000E+00,.000E+00,.000E+00
1752,.302E+03,.000E+00,.128E+04,.000E+00,.174E+04,.000E+00,.241E+04,.000E+00,.315E+04,.000E+00,.000E+00,.000E+00
1753,.305E+03,.000E+00,.134E+04,.000E+00,.175E+04,.000E+00,.243E+04,.000E+00,.316E+04,.000E+00,.000E+00,.000E+00
1754,.307E+03,.000E+00,.149E+04,.000E+00,.177E+04,.000E+00,.243E+04,.000E+00,.319E+04,.000E+00,.000E+00,.000E+00
1755,.310E+03,.000E+00,.133E+04,.000E+00,.174E+04,.000E+00,.242E+04,.000E+00,.326E+04,.000E+00,.000E+00,.000E+00
1756,.313E+03,.000E+00,.138E+04,.000E+00,.176E+04,.000E+00,.243E+04,.000E+00,.320E+04,.000E+00,.000E+00,.000E+00
1757,.315E+03,.000E+00,.141E+04,.000E+00,.179E+04,.000E+00,.252E+04,.000E+00,.329E+04,.000E+00,.000E+00,.000E+00
1758,.318E+03,.000E+00,.134E+04,.000E+00,.175E+04,.000E+00,.244E+04,.000E+00,.321E+04,.000E+00,.000E+00,.000E+00
1759,.320E+03,.000E+00,.140E+04,.000E+00,.177E+04,.000E+00,.248E+04,.000E+00,.327E+04,.000E+00,.000E+00,.000E+00
1760,.323E+03,.000E+00,.150E+04,.000E+00,.177E+04,.000E+00,.249E+04,.000E+00,.325E+04,.000E+00,.000E+00,.000E+00
1761,.326E+03,.000E+00,.141E+04,.000E+00,.178E+04,.000E+00,.248E+04,.000E+00,.328E+04,.000E+00,.000E+00,.000E+00
1762,.329E+03,.000E+00,.150E+04,.000E+00,.180E+04,.000E+00,.252E+04,.000E+00,.320E+04,.000E+00,.000E+00,.000E+00
