Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1751,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1752,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1753,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1754,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1755,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1756,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1757,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1758,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1759,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1760,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1761,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1762,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1763,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1764,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1765,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1766,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1767,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1768,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1769,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1770,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1771,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1772,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1773,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1774,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1775,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1776,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1777,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1778,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1779,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1780,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
1781,1.59E+04,2.24E+04,5.07E+02,7.74E+03,2.04E+05
