Year, AWEST_FIRE, AEAST_FIRE, ROEUR_FIRE, ASIA_FIRE, ROW_FIRE
1750,3.24E+03,4.49E+03,8.41E+01,1.42E+03,3.69E+04
1751,3.23E+03,4.17E+03,8.24E+01,1.40E+03,3.65E+04
1752,3.23E+03,3.79E+03,8.37E+01,1.40E+03,3.65E+04
1753,3.22E+03,4.20E+03,8.41E+01,1.42E+03,3.63E+04
1754,3.21E+03,5.29E+03,8.53E+01,1.37E+03,3.62E+04
1755,3.21E+03,4.21E+03,8.36E+01,1.38E+03,3.70E+04
1756,3.20E+03,4.46E+03,8.42E+01,1.40E+03,3.58E+04
1757,3.19E+03,4.10E+03,8.70E+01,1.58E+03,3.80E+04
1758,3.19E+03,4.29E+03,8.32E+01,1.42E+03,3.75E+04
1759,3.18E+03,4.56E+03,8.42E+01,1.51E+03,3.69E+04
1760,3.17E+03,5.30E+03,8.47E+01,1.52E+03,3.66E+04
1761,3.17E+03,4.48E+03,8.51E+01,1.47E+03,3.75E+04
1762,3.16E+03,4.90E+03,8.62E+01,1.56E+03,3.60E+04
1763,3.16E+03,4.84E+03,8.61E+01,1.45E+03,3.63E+04
1764,3.16E+03,3.47E+03,8.28E+01,1.35E+03,3.65E+04
1765,3.15E+03,4.86E+03,8.41E+01,1.46E+03,3.68E+04
1766,3.15E+03,4.11E+03,8.36E+01,1.40E+03,3.69E+04
1767,3.14E+03,4.04E+03,8.45E+01,1.47E+03,3.69E+04
1768,3.14E+03,4.73E+03,8.34E+01,1.51E+03,3.84E+04
1769,3.14E+03,4.85E+03,8.54E+01,1.46E+03,3.70E+04
1770,3.13E+03,4.79E+03,8.29E+01,1.40E+03,3.73E+04
1771,3.13E+03,4.27E+03,8.11E+01,1.37E+03,3.65E+04
1772,3.12E+03,3.86E+03,8.29E+01,1.38E+03,3.62E+04
1773,3.12E+03,4.13E+03,8.25E+01,1.37E+03,3.61E+04
1774,3.11E+03,5.58E+03,8.43E+01,1.35E+03,3.66E+04
1775,3.11E+03,4.33E+03,8.19E+01,1.34E+03,3.72E+04
1776,3.10E+03,4.62E+03,8.31E+01,1.36E+03,3.57E+04
1777,3.10E+03,4.07E+03,8.52E+01,1.51E+03,3.74E+04
1778,3.09E+03,4.44E+03,8.28E+01,1.41E+03,3.81E+04
1779,3.09E+03,4.42E+03,8.27E+01,1.44E+03,3.67E+04
1780,3.08E+03,5.35E+03,8.46E+01,1.49E+03,3.66E+04
1781,3.09E+03,4.46E+03,8.55E+01,1.45E+03,3.71E+04
1782,3.10E+03,4.97E+03,8.52E+01,1.51E+03,3.59E+04
1783,3.11E+03,4.92E+03,8.56E+01,1.39E+03,3.57E+04
1784,3.12E+03,3.58E+03,8.33E+01,1.33E+03,3.65E+04
1785,3.14E+03,4.84E+03,8.30E+01,1.38E+03,3.62E+04
1786,3.15E+03,4.17E+03,8.44E+01,1.36E+03,3.62E+04
1787,3.16E+03,4.24E+03,8.51E+01,1.42E+03,3.69E+04
1788,3.17E+03,4.82E+03,8.49E+01,1.48E+03,3.83E+04
1789,3.18E+03,4.95E+03,8.58E+01,1.39E+03,3.69E+04
1790,3.19E+03,4.87E+03,8.38E+01,1.35E+03,3.73E+04
1791,3.21E+03,4.32E+03,8.24E+01,1.33E+03,3.65E+04
1792,3.23E+03,3.87E+03,8.37E+01,1.32E+03,3.65E+04
1793,3.25E+03,4.18E+03,8.37E+01,1.32E+03,3.60E+04
1794,3.27E+03,5.58E+03,8.58E+01,1.32E+03,3.66E+04
1795,3.29E+03,4.40E+03,8.37E+01,1.31E+03,3.72E+04
1796,3.31E+03,4.80E+03,8.54E+01,1.34E+03,3.53E+04
1797,3.33E+03,4.11E+03,8.67E+01,1.48E+03,3.73E+04
1798,3.35E+03,4.41E+03,8.45E+01,1.38E+03,3.80E+04
1799,3.37E+03,4.74E+03,8.48E+01,1.42E+03,3.67E+04
1800,3.38E+03,5.35E+03,8.64E+01,1.46E+03,3.64E+04
1801,3.40E+03,4.47E+03,8.69E+01,1.40E+03,3.70E+04
1802,3.43E+03,5.14E+03,8.67E+01,1.47E+03,3.59E+04
1803,3.45E+03,4.88E+03,8.64E+01,1.34E+03,3.54E+04
1804,3.47E+03,3.72E+03,8.56E+01,1.32E+03,3.66E+04
1805,3.49E+03,4.81E+03,8.42E+01,1.34E+03,3.63E+04
1806,3.51E+03,4.24E+03,8.64E+01,1.35E+03,3.65E+04
1807,3.53E+03,4.29E+03,8.66E+01,1.39E+03,3.69E+04
1808,3.55E+03,4.71E+03,8.66E+01,1.45E+03,3.85E+04
1809,3.57E+03,4.99E+03,8.73E+01,1.35E+03,3.70E+04
1810,3.59E+03,4.98E+03,8.48E+01,1.31E+03,3.73E+04
1811,3.61E+03,4.37E+03,8.41E+01,1.31E+03,3.70E+04
1812,3.64E+03,3.95E+03,8.45E+01,1.28E+03,3.65E+04
1813,3.67E+03,4.32E+03,8.54E+01,1.31E+03,3.62E+04
1814,3.69E+03,5.65E+03,8.72E+01,1.30E+03,3.68E+04
1815,3.72E+03,4.48E+03,8.52E+01,1.29E+03,3.75E+04
1816,3.75E+03,4.88E+03,8.62E+01,1.32E+03,3.62E+04
1817,3.77E+03,4.17E+03,8.81E+01,1.45E+03,3.74E+04
1818,3.80E+03,4.49E+03,8.58E+01,1.35E+03,3.86E+04
1819,3.82E+03,4.55E+03,8.67E+01,1.41E+03,3.72E+04
1820,3.85E+03,5.36E+03,8.77E+01,1.45E+03,3.70E+04
1821,3.87E+03,4.49E+03,8.82E+01,1.40E+03,3.78E+04
1822,3.89E+03,5.26E+03,8.85E+01,1.47E+03,3.61E+04
1823,3.91E+03,4.95E+03,8.67E+01,1.28E+03,3.59E+04
1824,3.93E+03,3.83E+03,8.80E+01,1.33E+03,3.71E+04
1825,3.95E+03,4.79E+03,8.55E+01,1.31E+03,3.67E+04
1826,3.97E+03,4.30E+03,8.78E+01,1.34E+03,3.66E+04
1827,3.99E+03,4.20E+03,8.77E+01,1.38E+03,3.71E+04
1828,4.00E+03,4.85E+03,8.80E+01,1.45E+03,3.86E+04
1829,4.02E+03,5.02E+03,8.85E+01,1.35E+03,3.72E+04
1830,4.04E+03,5.02E+03,8.56E+01,1.29E+03,3.77E+04
1831,4.05E+03,4.43E+03,8.54E+01,1.29E+03,3.69E+04
1832,4.06E+03,4.01E+03,8.63E+01,1.28E+03,3.68E+04
1833,4.07E+03,4.41E+03,8.72E+01,1.31E+03,3.64E+04
1834,4.07E+03,5.67E+03,8.72E+01,1.25E+03,3.69E+04
1835,4.08E+03,4.46E+03,8.64E+01,1.26E+03,3.73E+04
1836,4.09E+03,5.02E+03,8.79E+01,1.33E+03,3.63E+04
1837,4.10E+03,4.29E+03,8.83E+01,1.40E+03,3.76E+04
1838,4.11E+03,4.56E+03,8.79E+01,1.35E+03,3.84E+04
1839,4.11E+03,4.64E+03,8.82E+01,1.39E+03,3.73E+04
1840,4.12E+03,5.40E+03,8.93E+01,1.40E+03,3.62E+04
1841,4.13E+03,4.70E+03,8.95E+01,1.38E+03,3.78E+04
1842,4.14E+03,5.20E+03,8.87E+01,1.42E+03,3.63E+04
1843,4.15E+03,5.01E+03,8.72E+01,1.25E+03,3.54E+04
1844,4.16E+03,3.91E+03,8.82E+01,1.29E+03,3.66E+04
1845,4.17E+03,4.88E+03,8.56E+01,1.27E+03,3.65E+04
1846,4.17E+03,4.39E+03,8.74E+01,1.28E+03,3.63E+04
1847,4.18E+03,4.45E+03,8.74E+01,1.36E+03,3.73E+04
1848,4.19E+03,4.97E+03,8.74E+01,1.42E+03,3.84E+04
1849,4.20E+03,4.97E+03,8.79E+01,1.32E+03,3.75E+04
1850,4.21E+03,5.25E+03,8.50E+01,1.27E+03,3.77E+04
1851,4.20E+03,4.47E+03,8.46E+01,1.25E+03,3.69E+04
1852,4.19E+03,4.07E+03,8.57E+01,1.25E+03,3.63E+04
1853,4.19E+03,4.35E+03,8.58E+01,1.23E+03,3.64E+04
1854,4.18E+03,5.59E+03,8.59E+01,1.21E+03,3.71E+04
1855,4.17E+03,4.40E+03,8.54E+01,1.21E+03,3.72E+04
1856,4.16E+03,5.03E+03,8.74E+01,1.29E+03,3.57E+04
1857,4.15E+03,4.36E+03,8.67E+01,1.34E+03,3.79E+04
1858,4.15E+03,4.47E+03,8.63E+01,1.29E+03,3.86E+04
1859,4.14E+03,4.78E+03,8.78E+01,1.36E+03,3.73E+04
1860,4.13E+03,5.41E+03,8.84E+01,1.37E+03,3.65E+04
1861,4.13E+03,4.48E+03,8.87E+01,1.33E+03,3.75E+04
1862,4.12E+03,5.12E+03,8.86E+01,1.38E+03,3.62E+04
1863,4.12E+03,4.94E+03,8.66E+01,1.20E+03,3.54E+04
1864,4.11E+03,3.98E+03,8.85E+01,1.25E+03,3.65E+04
1865,4.11E+03,4.92E+03,8.62E+01,1.26E+03,3.71E+04
1866,4.10E+03,4.41E+03,8.83E+01,1.25E+03,3.67E+04
1867,4.10E+03,4.59E+03,8.85E+01,1.33E+03,3.76E+04
1868,4.09E+03,5.05E+03,8.92E+01,1.39E+03,3.87E+04
1869,4.09E+03,4.92E+03,9.01E+01,1.30E+03,3.73E+04
1870,4.09E+03,5.30E+03,8.70E+01,1.24E+03,3.81E+04
1871,4.08E+03,4.43E+03,8.71E+01,1.23E+03,3.75E+04
1872,4.07E+03,4.04E+03,8.80E+01,1.22E+03,3.63E+04
1873,4.06E+03,4.73E+03,8.85E+01,1.25E+03,3.73E+04
1874,4.05E+03,5.48E+03,8.81E+01,1.20E+03,3.78E+04
1875,4.04E+03,4.24E+03,8.79E+01,1.20E+03,3.73E+04
1876,4.03E+03,5.04E+03,9.09E+01,1.31E+03,3.66E+04
1877,4.02E+03,4.38E+03,8.93E+01,1.32E+03,3.80E+04
1878,4.01E+03,4.40E+03,8.90E+01,1.28E+03,3.87E+04
1879,4.00E+03,5.20E+03,9.15E+01,1.38E+03,3.78E+04
1880,3.99E+03,5.45E+03,9.07E+01,1.33E+03,3.67E+04
1881,3.97E+03,4.60E+03,9.09E+01,1.30E+03,3.80E+04
1882,3.94E+03,5.00E+03,9.09E+01,1.36E+03,3.66E+04
1883,3.92E+03,4.62E+03,8.89E+01,1.18E+03,3.57E+04
1884,3.90E+03,4.34E+03,9.02E+01,1.23E+03,3.72E+04
1885,3.88E+03,4.89E+03,8.79E+01,1.22E+03,3.71E+04
1886,3.86E+03,4.44E+03,8.96E+01,1.21E+03,3.72E+04
1887,3.83E+03,4.62E+03,8.95E+01,1.28E+03,3.77E+04
1888,3.81E+03,5.29E+03,9.01E+01,1.32E+03,3.82E+04
1889,3.79E+03,5.02E+03,9.04E+01,1.23E+03,3.79E+04
1890,3.77E+03,5.35E+03,8.76E+01,1.19E+03,3.82E+04
1891,3.74E+03,4.43E+03,8.71E+01,1.17E+03,3.74E+04
1892,3.71E+03,4.14E+03,8.88E+01,1.20E+03,3.68E+04
1893,3.69E+03,4.63E+03,8.83E+01,1.18E+03,3.70E+04
1894,3.66E+03,5.63E+03,8.78E+01,1.14E+03,3.82E+04
1895,3.64E+03,4.64E+03,8.81E+01,1.17E+03,3.82E+04
1896,3.61E+03,5.05E+03,8.99E+01,1.23E+03,3.59E+04
1897,3.58E+03,4.44E+03,8.85E+01,1.25E+03,3.85E+04
1898,3.56E+03,4.14E+03,8.82E+01,1.22E+03,3.87E+04
1899,3.53E+03,5.32E+03,9.08E+01,1.32E+03,3.76E+04
1900,3.51E+03,5.45E+03,8.92E+01,1.26E+03,3.69E+04
1901,3.46E+03,4.24E+03,8.96E+01,1.26E+03,3.76E+04
1902,3.41E+03,4.51E+03,8.91E+01,1.27E+03,3.67E+04
1903,3.36E+03,4.42E+03,8.69E+01,1.14E+03,3.56E+04
1904,3.31E+03,5.11E+03,8.76E+01,1.17E+03,3.69E+04
1905,3.26E+03,4.54E+03,8.58E+01,1.18E+03,3.78E+04
1906,3.21E+03,4.49E+03,8.74E+01,1.18E+03,3.72E+04
1907,3.16E+03,4.98E+03,8.67E+01,1.24E+03,3.80E+04
1908,3.11E+03,5.08E+03,8.81E+01,1.26E+03,3.86E+04
1909,3.06E+03,4.62E+03,8.65E+01,1.20E+03,3.84E+04
1910,3.01E+03,5.45E+03,8.50E+01,1.17E+03,3.89E+04
1911,2.98E+03,4.39E+03,8.48E+01,1.16E+03,3.82E+04
1912,2.94E+03,4.10E+03,8.60E+01,1.16E+03,3.72E+04
1913,2.90E+03,4.55E+03,8.58E+01,1.16E+03,3.75E+04
1914,2.86E+03,5.85E+03,8.49E+01,1.14E+03,3.85E+04
1915,2.82E+03,4.98E+03,8.59E+01,1.15E+03,3.77E+04
1916,2.79E+03,5.12E+03,8.73E+01,1.26E+03,3.65E+04
1917,2.75E+03,4.48E+03,8.62E+01,1.25E+03,3.87E+04
1918,2.71E+03,5.23E+03,8.63E+01,1.20E+03,3.89E+04
1919,2.67E+03,5.82E+03,8.82E+01,1.28E+03,3.83E+04
1920,2.64E+03,5.90E+03,8.82E+01,1.26E+03,3.80E+04
1921,2.62E+03,4.67E+03,8.55E+01,1.16E+03,3.85E+04
1922,2.60E+03,4.58E+03,8.58E+01,1.09E+03,3.71E+04
1923,2.59E+03,4.53E+03,9.00E+01,1.36E+03,3.96E+04
1924,2.57E+03,4.70E+03,8.53E+01,1.16E+03,3.73E+04
1925,2.56E+03,4.12E+03,8.48E+01,1.17E+03,3.80E+04
