Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,7.14e+00,0.00e+00,1.95e+01,0.00e+00,5.75e+01,0.00e+00,2.99e+02,0.00e+00,1.34e+02,0.00e+00,0.00e+00,0.00e+00
1751,7.26e+00,0.00e+00,1.96e+01,0.00e+00,5.76e+01,0.00e+00,3.00e+02,0.00e+00,1.34e+02,0.00e+00,0.00e+00,0.00e+00
1752,7.38e+00,0.00e+00,1.97e+01,0.00e+00,5.78e+01,0.00e+00,3.00e+02,0.00e+00,1.35e+02,0.00e+00,0.00e+00,0.00e+00
1753,7.50e+00,0.00e+00,1.98e+01,0.00e+00,5.79e+01,0.00e+00,3.01e+02,0.00e+00,1.35e+02,0.00e+00,0.00e+00,0.00e+00
1754,7.62e+00,0.00e+00,1.99e+01,0.00e+00,5.80e+01,0.00e+00,3.02e+02,0.00e+00,1.35e+02,0.00e+00,0.00e+00,0.00e+00
1755,7.74e+00,0.00e+00,2.00e+01,0.00e+00,5.81e+01,0.00e+00,3.02e+02,0.00e+00,1.35e+02,0.00e+00,0.00e+00,0.00e+00
1756,7.86e+00,0.00e+00,2.01e+01,0.00e+00,5.87e+01,0.00e+00,3.03e+02,0.00e+00,1.35e+02,0.00e+00,0.00e+00,0.00e+00
1757,7.99e+00,0.00e+00,2.02e+01,0.00e+00,5.88e+01,0.00e+00,3.04e+02,0.00e+00,1.36e+02,0.00e+00,0.00e+00,0.00e+00
1758,8.11e+00,0.00e+00,2.03e+01,0.00e+00,5.89e+01,0.00e+00,3.04e+02,0.00e+00,1.36e+02,0.00e+00,0.00e+00,0.00e+00
1759,8.23e+00,0.00e+00,2.04e+01,0.00e+00,5.90e+01,0.00e+00,3.05e+02,0.00e+00,1.36e+02,0.00e+00,0.00e+00,0.00e+00
1760,8.35e+00,0.00e+00,2.05e+01,0.00e+00,5.91e+01,0.00e+00,3.06e+02,0.00e+00,1.36e+02,0.00e+00,0.00e+00,0.00e+00
1761,8.50e+00,0.00e+00,2.06e+01,0.00e+00,5.99e+01,0.00e+00,3.06e+02,0.00e+00,1.36e+02,0.00e+00,0.00e+00,0.00e+00
1762,8.65e+00,0.00e+00,2.07e+01,0.00e+00,6.00e+01,0.00e+00,3.07e+02,0.00e+00,1.36e+02,0.00e+00,0.00e+00,0.00e+00
1763,8.80e+00,0.00e+00,2.08e+01,0.00e+00,6.01e+01,0.00e+00,3.07e+02,0.00e+00,1.37e+02,0.00e+00,0.00e+00,0.00e+00
1764,8.94e+00,0.00e+00,2.09e+01,0.00e+00,6.02e+01,0.00e+00,3.08e+02,0.00e+00,1.37e+02,0.00e+00,0.00e+00,0.00e+00
1765,9.10e+00,0.00e+00,2.10e+01,0.00e+00,6.04e+01,0.00e+00,3.08e+02,0.00e+00,1.37e+02,0.00e+00,0.00e+00,0.00e+00
1766,9.25e+00,0.00e+00,2.11e+01,0.00e+00,6.13e+01,0.00e+00,3.08e+02,0.00e+00,1.37e+02,0.00e+00,0.00e+00,0.00e+00
1767,9.39e+00,0.00e+00,2.12e+01,0.00e+00,6.14e+01,0.00e+00,3.09e+02,0.00e+00,1.37e+02,0.00e+00,0.00e+00,0.00e+00
1768,9.54e+00,0.00e+00,2.13e+01,0.00e+00,6.15e+01,0.00e+00,3.09e+02,0.00e+00,1.38e+02,0.00e+00,0.00e+00,0.00e+00
1769,9.68e+00,0.00e+00,2.14e+01,0.00e+00,6.17e+01,0.00e+00,3.10e+02,0.00e+00,1.38e+02,0.00e+00,0.00e+00,0.00e+00
1770,9.83e+00,0.00e+00,2.15e+01,0.00e+00,6.18e+01,0.00e+00,3.10e+02,0.00e+00,1.38e+02,0.00e+00,0.00e+00,0.00e+00
1771,1.00e+01,0.00e+00,2.16e+01,0.00e+00,6.28e+01,0.00e+00,3.15e+02,0.00e+00,1.38e+02,0.00e+00,0.00e+00,0.00e+00
1772,1.02e+01,0.00e+00,2.17e+01,0.00e+00,6.29e+01,0.00e+00,3.19e+02,0.00e+00,1.38e+02,0.00e+00,0.00e+00,0.00e+00
