Year,AWEST_FIRE,AEAST_FIRE,ROEUR_FIRE,ASIA_FIRE,ROW_FIRE
1750,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1751,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1752,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1753,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1754,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1755,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1756,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1757,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1758,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1759,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1760,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1761,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1762,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1763,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1764,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1765,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1766,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1767,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1768,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1769,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1770,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1771,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1772,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1773,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1774,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1775,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1776,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1777,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1778,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1779,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1780,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1781,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1782,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1783,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1784,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1785,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1786,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1787,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1788,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1789,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1790,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1791,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1792,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1793,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1794,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1795,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1796,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1797,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1798,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1799,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1800,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1801,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1802,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1803,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1804,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1805,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1806,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1807,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1808,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1809,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1810,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1811,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1812,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1813,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1814,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1815,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1816,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1817,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1818,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1819,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1820,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1821,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1822,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1823,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1824,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1825,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1826,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1827,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1828,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1829,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1830,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1831,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1832,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1833,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1834,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1835,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1836,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1837,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1838,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1839,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1840,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1841,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1842,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1843,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1844,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1845,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1846,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1847,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1848,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1849,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1850,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1851,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1852,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1853,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1854,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1855,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1856,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1857,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1858,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1859,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1860,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1861,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1862,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1863,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1864,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1865,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1866,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1867,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1868,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1869,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1870,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1871,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1872,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1873,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1874,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1875,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1876,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1877,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1878,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1879,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1880,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1881,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1882,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1883,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1884,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1885,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1886,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1887,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1888,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1889,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1890,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1891,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1892,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1893,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1894,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1895,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1896,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1897,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1898,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1899,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1900,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1901,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1902,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1903,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1904,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1905,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1906,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1907,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1908,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1909,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1910,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1911,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1912,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1913,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1914,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1915,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1916,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1917,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1918,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1919,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1920,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1921,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1922,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1923,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1924,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1925,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1926,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1927,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1928,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1929,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1930,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1931,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1932,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1933,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
