Year,AWEST_FIRE,AEAST_FIRE,ROEUR_FIRE,ASIA_FIRE,ROW_FIRE
1750,7.02e+01,1.33e+02,1.95e+01,7.19e+01,1.29e+03
1751,7.00e+01,1.24e+02,1.87e+01,7.02e+01,1.27e+03
1752,6.99e+01,1.16e+02,1.94e+01,7.07e+01,1.27e+03
1753,6.98e+01,1.27e+02,1.97e+01,7.18e+01,1.27e+03
1754,6.97e+01,1.54e+02,2.03e+01,7.03e+01,1.27e+03
1755,6.96e+01,1.26e+02,1.94e+01,7.01e+01,1.29e+03
1756,6.95e+01,1.33e+02,1.97e+01,7.12e+01,1.25e+03
1757,6.94e+01,1.28e+02,2.13e+01,8.06e+01,1.33e+03
1758,6.93e+01,1.28e+02,1.93e+01,7.18e+01,1.31e+03
1759,6.92e+01,1.36e+02,1.98e+01,7.60e+01,1.29e+03
1760,6.90e+01,1.54e+02,2.01e+01,7.67e+01,1.28e+03
1761,6.90e+01,1.35e+02,2.04e+01,7.51e+01,1.31e+03
1762,6.89e+01,1.47e+02,2.10e+01,7.94e+01,1.26e+03
1763,6.88e+01,1.45e+02,2.10e+01,7.44e+01,1.27e+03
1764,6.87e+01,1.08e+02,1.92e+01,6.89e+01,1.27e+03
1765,6.86e+01,1.43e+02,1.99e+01,7.41e+01,1.28e+03
1766,6.86e+01,1.25e+02,1.97e+01,7.10e+01,1.29e+03
1767,6.85e+01,1.24e+02,2.02e+01,7.46e+01,1.29e+03
1768,6.84e+01,1.40e+02,1.96e+01,7.60e+01,1.34e+03
1769,6.83e+01,1.45e+02,2.07e+01,7.46e+01,1.29e+03
1770,6.82e+01,1.40e+02,1.93e+01,7.09e+01,1.30e+03
1771,6.81e+01,1.26e+02,1.84e+01,6.90e+01,1.28e+03
1772,6.80e+01,1.18e+02,1.93e+01,7.02e+01,1.26e+03
1773,6.79e+01,1.24e+02,1.91e+01,6.93e+01,1.26e+03
1774,6.78e+01,1.61e+02,2.00e+01,6.93e+01,1.28e+03
1775,6.77e+01,1.28e+02,1.87e+01,6.77e+01,1.30e+03
1776,6.76e+01,1.36e+02,1.93e+01,6.92e+01,1.25e+03
1777,6.74e+01,1.26e+02,2.05e+01,7.70e+01,1.30e+03
1778,6.73e+01,1.32e+02,1.92e+01,7.12e+01,1.33e+03
1779,6.72e+01,1.31e+02,1.91e+01,7.25e+01,1.28e+03
1780,6.71e+01,1.56e+02,2.01e+01,7.55e+01,1.28e+03
1781,6.72e+01,1.35e+02,2.05e+01,7.40e+01,1.30e+03
1782,6.74e+01,1.47e+02,2.03e+01,7.67e+01,1.25e+03
1783,6.75e+01,1.46e+02,2.05e+01,7.14e+01,1.25e+03
1784,6.76e+01,1.11e+02,1.92e+01,6.75e+01,1.27e+03
1785,6.77e+01,1.41e+02,1.90e+01,6.95e+01,1.27e+03
1786,6.79e+01,1.26e+02,1.96e+01,6.92e+01,1.27e+03
1787,6.80e+01,1.28e+02,1.99e+01,7.22e+01,1.29e+03
1788,6.81e+01,1.42e+02,1.97e+01,7.45e+01,1.34e+03
1789,6.82e+01,1.46e+02,2.02e+01,7.10e+01,1.29e+03
1790,6.84e+01,1.41e+02,1.90e+01,6.83e+01,1.30e+03
1791,6.88e+01,1.26e+02,1.83e+01,6.69e+01,1.27e+03
1792,6.91e+01,1.17e+02,1.89e+01,6.67e+01,1.27e+03
1793,6.95e+01,1.24e+02,1.90e+01,6.69e+01,1.26e+03
1794,6.99e+01,1.61e+02,2.00e+01,6.78e+01,1.28e+03
1795,7.03e+01,1.30e+02,1.88e+01,6.65e+01,1.30e+03
1796,7.07e+01,1.41e+02,1.97e+01,6.86e+01,1.23e+03
1797,7.11e+01,1.26e+02,2.05e+01,7.50e+01,1.30e+03
1798,7.15e+01,1.31e+02,1.93e+01,6.97e+01,1.32e+03
