Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,6.02e+03,0.00e+00,2.38e+03,0.00e+00,8.44e+03,0.00e+00,8.85e+03,0.00e+00,5.59e+03,0.00e+00,0.00e+00,0.00e+00
1850,6.02e+03,0.00e+00,2.38e+03,0.00e+00,8.44e+03,0.00e+00,8.85e+03,0.00e+00,5.59e+03,0.00e+00,0.00e+00,0.00e+00
1860,8.16e+03,0.00e+00,2.70e+03,0.00e+00,9.15e+03,0.00e+00,8.73e+03,0.00e+00,6.89e+03,0.00e+00,0.00e+00,0.00e+00
1870,9.20e+03,0.00e+00,2.83e+03,0.00e+00,1.10e+04,0.00e+00,1.20e+04,0.00e+00,1.00e+04,0.00e+00,0.00e+00,0.00e+00
1880,1.04e+04,0.00e+00,3.00e+03,0.00e+00,1.29e+04,0.00e+00,1.55e+04,0.00e+00,1.32e+04,0.00e+00,0.00e+00,0.00e+00
1890,1.16e+04,0.00e+00,3.18e+03,0.00e+00,1.48e+04,0.00e+00,1.91e+04,0.00e+00,1.66e+04,0.00e+00,0.00e+00,0.00e+00
1900,1.40e+04,0.00e+00,4.11e+03,0.00e+00,1.98e+04,0.00e+00,2.00e+04,0.00e+00,1.81e+04,0.00e+00,0.00e+00,0.00e+00
1910,1.85e+04,0.00e+00,4.50e+03,0.00e+00,2.10e+04,0.00e+00,2.02e+04,0.00e+00,2.18e+04,0.00e+00,0.00e+00,0.00e+00
1920,2.27e+04,0.00e+00,4.88e+03,0.00e+00,2.13e+04,0.00e+00,2.31e+04,0.00e+00,2.53e+04,0.00e+00,0.00e+00,0.00e+00
1930,2.09e+04,0.00e+00,6.64e+03,0.00e+00,2.62e+04,0.00e+00,2.45e+04,0.00e+00,2.94e+04,0.00e+00,0.00e+00,0.00e+00
1940,2.16e+04,0.00e+00,9.97e+03,0.00e+00,2.71e+04,0.00e+00,2.66e+04,0.00e+00,3.36e+04,0.00e+00,0.00e+00,0.00e+00
1950,2.44e+04,0.00e+00,1.21e+04,0.00e+00,2.82e+04,0.00e+00,2.83e+04,0.00e+00,4.71e+04,0.00e+00,0.00e+00,0.00e+00
1960,2.56e+04,0.00e+00,2.13e+04,0.00e+00,3.30e+04,0.00e+00,4.10e+04,0.00e+00,6.53e+04,0.00e+00,1.80e-01,4.45e+00
1970,3.16e+04,0.00e+00,3.08e+04,0.00e+00,3.47e+04,0.00e+00,4.36e+04,0.00e+00,9.24e+04,0.00e+00,3.20e-01,7.85e+00
1971,3.22e+04,0.00e+00,3.24e+04,0.00e+00,3.50e+04,0.00e+00,4.48e+04,0.00e+00,9.33e+04,0.00e+00,5.70e-01,1.39e+01
1972,3.26e+04,0.00e+00,3.35e+04,0.00e+00,3.49e+04,0.00e+00,4.55e+04,0.00e+00,9.51e+04,0.00e+00,5.90e-01,1.46e+01
1973,3.29e+04,0.00e+00,3.49e+04,0.00e+00,3.57e+04,0.00e+00,4.61e+04,0.00e+00,9.90e+04,0.00e+00,6.30e-01,1.54e+01
1974,3.28e+04,0.00e+00,3.63e+04,0.00e+00,3.60e+04,0.00e+00,4.67e+04,0.00e+00,9.85e+04,0.00e+00,5.90e-01,1.45e+01
1975,3.29e+04,0.00e+00,3.77e+04,0.00e+00,3.66e+04,0.00e+00,4.82e+04,0.00e+00,9.66e+04,0.00e+00,5.50e-01,1.35e+01
1976,3.26e+04,0.00e+00,3.89e+04,0.00e+00,3.68e+04,0.00e+00,4.88e+04,0.00e+00,1.01e+05,0.00e+00,5.70e-01,1.39e+01
1977,3.21e+04,0.00e+00,3.98e+04,0.00e+00,3.70e+04,0.00e+00,5.00e+04,0.00e+00,1.03e+05,0.00e+00,5.70e-01,1.40e+01
1978,3.19e+04,0.00e+00,4.09e+04,0.00e+00,3.74e+04,0.00e+00,5.10e+04,0.00e+00,1.03e+05,0.00e+00,5.70e-01,1.41e+01
1979,3.29e+04,0.00e+00,4.12e+04,0.00e+00,3.80e+04,0.00e+00,5.15e+04,0.00e+00,1.06e+05,0.00e+00,5.90e-01,1.46e+01
1980,3.33e+04,0.00e+00,4.16e+04,0.00e+00,3.81e+04,0.00e+00,5.21e+04,0.00e+00,1.06e+05,0.00e+00,5.90e-01,1.44e+01
1981,3.32e+04,0.00e+00,4.13e+04,0.00e+00,3.79e+04,0.00e+00,5.26e+04,0.00e+00,1.03e+05,0.00e+00,5.40e-01,1.33e+01
1982,3.31e+04,0.00e+00,4.11e+04,0.00e+00,3.80e+04,0.00e+00,5.34e+04,0.00e+00,1.04e+05,0.00e+00,4.90e-01,1.20e+01
1983,3.22e+04,0.00e+00,4.08e+04,0.00e+00,3.84e+04,0.00e+00,5.50e+04,0.00e+00,1.04e+05,0.00e+00,4.50e-01,1.12e+01
1984,3.33e+04,0.00e+00,4.04e+04,0.00e+00,3.73e+04,0.00e+00,5.66e+04,0.00e+00,1.06e+05,0.00e+00,4.60e-01,1.13e+01
1985,3.30e+04,0.00e+00,3.88e+04,0.00e+00,3.79e+04,0.00e+00,5.75e+04,0.00e+00,1.07e+05,0.00e+00,5.00e-01,1.23e+01
1986,3.27e+04,0.00e+00,3.94e+04,0.00e+00,3.80e+04,0.00e+00,5.90e+04,0.00e+00,1.10e+05,0.00e+00,5.30e-01,1.29e+01
1987,3.29e+04,0.00e+00,3.95e+04,0.00e+00,3.76e+04,0.00e+00,6.01e+04,0.00e+00,1.11e+05,0.00e+00,5.20e-01,1.28e+01
1988,3.35e+04,0.00e+00,3.90e+04,0.00e+00,3.73e+04,0.00e+00,6.19e+04,0.00e+00,1.15e+05,0.00e+00,5.50e-01,1.34e+01
1989,3.37e+04,0.00e+00,3.79e+04,0.00e+00,3.71e+04,0.00e+00,6.39e+04,0.00e+00,1.18e+05,0.00e+00,5.50e-01,1.34e+01
1990,3.43e+04,0.00e+00,3.58e+04,0.00e+00,3.74e+04,0.00e+00,6.40e+04,0.00e+00,1.21e+05,0.00e+00,6.10e-01,1.51e+01
1991,3.46e+04,0.00e+00,3.25e+04,0.00e+00,3.64e+04,0.00e+00,6.46e+04,0.00e+00,1.23e+05,0.00e+00,6.40e-01,1.58e+01
