Year,AWEST_FIRE,AEAST_FIRE,ROEUR_FIRE,ASIA_FIRE,ROW_FIRE
1750,8.47e+02,1.41e+03,1.46e+02,5.40e+02,8.39e+03
1751,8.46e+02,1.31e+03,1.39e+02,5.27e+02,8.30e+03
1752,8.44e+02,1.22e+03,1.45e+02,5.31e+02,8.25e+03
1753,8.43e+02,1.34e+03,1.47e+02,5.39e+02,8.24e+03
1754,8.41e+02,1.65e+03,1.52e+02,5.30e+02,8.21e+03
1755,8.40e+02,1.33e+03,1.45e+02,5.27e+02,8.41e+03
1756,8.38e+02,1.41e+03,1.47e+02,5.35e+02,8.17e+03
1757,8.37e+02,1.33e+03,1.60e+02,6.05e+02,8.61e+03
1758,8.35e+02,1.36e+03,1.44e+02,5.39e+02,8.46e+03
1759,8.34e+02,1.44e+03,1.48e+02,5.70e+02,8.43e+03
1760,8.32e+02,1.65e+03,1.50e+02,5.76e+02,8.37e+03
1761,8.31e+02,1.42e+03,1.52e+02,5.64e+02,8.51e+03
1762,8.31e+02,1.55e+03,1.57e+02,5.96e+02,8.22e+03
1763,8.30e+02,1.53e+03,1.57e+02,5.60e+02,8.24e+03
1764,8.29e+02,1.13e+03,1.44e+02,5.17e+02,8.29e+03
1765,8.28e+02,1.52e+03,1.49e+02,5.57e+02,8.37e+03
1766,8.27e+02,1.31e+03,1.47e+02,5.34e+02,8.41e+03
1767,8.26e+02,1.30e+03,1.51e+02,5.61e+02,8.40e+03
1768,8.25e+02,1.48e+03,1.46e+02,5.70e+02,8.74e+03
1769,8.24e+02,1.53e+03,1.55e+02,5.61e+02,8.39e+03
1770,8.23e+02,1.49e+03,1.44e+02,5.33e+02,8.46e+03
1771,8.22e+02,1.34e+03,1.37e+02,5.17e+02,8.29e+03
1772,8.21e+02,1.24e+03,1.45e+02,5.27e+02,8.19e+03
1773,8.19e+02,1.31e+03,1.43e+02,5.21e+02,8.18e+03
1774,8.18e+02,1.72e+03,1.50e+02,5.23e+02,8.28e+03
1775,8.17e+02,1.36e+03,1.40e+02,5.08e+02,8.46e+03
1776,8.16e+02,1.45e+03,1.45e+02,5.20e+02,8.14e+03
1777,8.15e+02,1.31e+03,1.54e+02,5.78e+02,8.48e+03
1778,8.13e+02,1.40e+03,1.43e+02,5.35e+02,8.58e+03
1779,8.12e+02,1.39e+03,1.43e+02,5.44e+02,8.38e+03
