Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,0.00e+00,0.00e+00,4.55e+01,0.00e+00,9.39e+03,0.00e+00,1.28e+00,0.00e+00,3.44e+01,0.00e+00,0.00e+00,0.00e+00
1751,0.00e+00,0.00e+00,4.58e+01,0.00e+00,9.39e+03,0.00e+00,1.28e+00,0.00e+00,3.44e+01,0.00e+00,0.00e+00,0.00e+00
1752,0.00e+00,0.00e+00,4.60e+01,0.00e+00,9.39e+03,0.00e+00,1.28e+00,0.00e+00,3.45e+01,0.00e+00,0.00e+00,0.00e+00
1753,0.00e+00,0.00e+00,4.63e+01,0.00e+00,9.39e+03,0.00e+00,1.29e+00,0.00e+00,3.46e+01,0.00e+00,0.00e+00,0.00e+00
1754,0.00e+00,0.00e+00,4.66e+01,0.00e+00,9.39e+03,0.00e+00,1.29e+00,0.00e+00,3.47e+01,0.00e+00,0.00e+00,0.00e+00
1755,0.00e+00,0.00e+00,4.68e+01,0.00e+00,9.40e+03,0.00e+00,1.29e+00,0.00e+00,3.48e+01,0.00e+00,0.00e+00,0.00e+00
1756,0.00e+00,0.00e+00,4.71e+01,0.00e+00,1.00e+04,0.00e+00,1.29e+00,0.00e+00,3.53e+01,0.00e+00,0.00e+00,0.00e+00
1757,0.00e+00,0.00e+00,4.74e+01,0.00e+00,1.00e+04,0.00e+00,1.30e+00,0.00e+00,3.54e+01,0.00e+00,0.00e+00,0.00e+00
1758,0.00e+00,0.00e+00,4.76e+01,0.00e+00,1.01e+04,0.00e+00,1.30e+00,0.00e+00,3.55e+01,0.00e+00,0.00e+00,0.00e+00
1759,0.00e+00,0.00e+00,4.79e+01,0.00e+00,1.01e+04,0.00e+00,1.30e+00,0.00e+00,3.56e+01,0.00e+00,0.00e+00,0.00e+00
1760,0.00e+00,0.00e+00,4.81e+01,0.00e+00,1.01e+04,0.00e+00,1.30e+00,0.00e+00,3.56e+01,0.00e+00,0.00e+00,0.00e+00
1761,0.00e+00,0.00e+00,4.84e+01,0.00e+00,1.10e+04,0.00e+00,1.31e+00,0.00e+00,3.64e+01,0.00e+00,0.00e+00,0.00e+00
1762,0.00e+00,0.00e+00,4.87e+01,0.00e+00,1.10e+04,0.00e+00,1.31e+00,0.00e+00,3.65e+01,0.00e+00,0.00e+00,0.00e+00
1763,0.00e+00,0.00e+00,4.90e+01,0.00e+00,1.10e+04,0.00e+00,1.31e+00,0.00e+00,3.66e+01,0.00e+00,0.00e+00,0.00e+00
1764,0.00e+00,0.00e+00,4.92e+01,0.00e+00,1.10e+04,0.00e+00,1.31e+00,0.00e+00,3.67e+01,0.00e+00,0.00e+00,0.00e+00
1765,0.00e+00,0.00e+00,4.95e+01,0.00e+00,1.10e+04,0.00e+00,1.32e+00,0.00e+00,3.68e+01,0.00e+00,0.00e+00,0.00e+00
1766,0.00e+00,0.00e+00,4.98e+01,0.00e+00,1.23e+04,0.00e+00,1.32e+00,0.00e+00,3.78e+01,0.00e+00,0.00e+00,0.00e+00
1767,0.00e+00,0.00e+00,5.00e+01,0.00e+00,1.23e+04,0.00e+00,1.32e+00,0.00e+00,3.79e+01,0.00e+00,0.00e+00,0.00e+00
1768,0.00e+00,0.00e+00,5.03e+01,0.00e+00,1.23e+04,0.00e+00,1.32e+00,0.00e+00,3.79e+01,0.00e+00,0.00e+00,0.00e+00
1769,0.00e+00,0.00e+00,5.06e+01,0.00e+00,1.23e+04,0.00e+00,1.33e+00,0.00e+00,3.80e+01,0.00e+00,0.00e+00,0.00e+00
1770,0.00e+00,0.00e+00,5.09e+01,0.00e+00,1.23e+04,0.00e+00,1.33e+00,0.00e+00,3.81e+01,0.00e+00,0.00e+00,0.00e+00
1771,0.00e+00,0.00e+00,5.12e+01,0.00e+00,1.37e+04,0.00e+00,1.33e+00,0.00e+00,3.92e+01,0.00e+00,0.00e+00,0.00e+00
1772,0.00e+00,0.00e+00,5.15e+01,0.00e+00,1.37e+04,0.00e+00,1.33e+00,0.00e+00,3.92e+01,0.00e+00,0.00e+00,0.00e+00
1773,0.00e+00,0.00e+00,5.18e+01,0.00e+00,1.37e+04,0.00e+00,1.34e+00,0.00e+00,3.93e+01,0.00e+00,0.00e+00,0.00e+00
1774,0.00e+00,0.00e+00,5.20e+01,0.00e+00,1.37e+04,0.00e+00,1.34e+00,0.00e+00,3.94e+01,0.00e+00,0.00e+00,0.00e+00
1775,0.00e+00,0.00e+00,5.23e+01,0.00e+00,1.37e+04,0.00e+00,1.34e+00,0.00e+00,3.95e+01,0.00e+00,0.00e+00,0.00e+00
1776,0.00e+00,0.00e+00,5.26e+01,0.00e+00,1.51e+04,0.00e+00,1.34e+00,0.00e+00,4.06e+01,0.00e+00,0.00e+00,0.00e+00
1777,0.00e+00,0.00e+00,5.29e+01,0.00e+00,1.51e+04,0.00e+00,1.35e+00,0.00e+00,4.07e+01,0.00e+00,0.00e+00,0.00e+00
1778,0.00e+00,0.00e+00,5.32e+01,0.00e+00,1.51e+04,0.00e+00,1.35e+00,0.00e+00,4.08e+01,0.00e+00,0.00e+00,0.00e+00
1779,0.00e+00,0.00e+00,5.35e+01,0.00e+00,1.51e+04,0.00e+00,1.35e+00,0.00e+00,4.09e+01,0.00e+00,0.00e+00,0.00e+00
1780,0.00e+00,0.00e+00,5.38e+01,0.00e+00,1.51e+04,0.00e+00,1.35e+00,0.00e+00,4.10e+01,0.00e+00,0.00e+00,0.00e+00
1781,0.00e+00,0.00e+00,5.41e+01,0.00e+00,1.69e+04,0.00e+00,1.36e+00,0.00e+00,4.24e+01,0.00e+00,0.00e+00,0.00e+00
1782,0.00e+00,0.00e+00,5.44e+01,0.00e+00,1.69e+04,0.00e+00,1.36e+00,0.00e+00,4.25e+01,0.00e+00,0.00e+00,0.00e+00
1783,0.00e+00,0.00e+00,5.47e+01,0.00e+00,1.69e+04,0.00e+00,1.36e+00,0.00e+00,4.26e+01,0.00e+00,0.00e+00,0.00e+00
