Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,2.01e+03,0.00e+00,5.16e+03,0.00e+00,2.12e+04,0.00e+00,2.81e+04,0.00e+00,1.13e+04,0.00e+00,0.00e+00,0.00e+00
1751,2.05e+03,0.00e+00,5.19e+03,0.00e+00,2.12e+04,0.00e+00,2.82e+04,0.00e+00,1.13e+04,0.00e+00,0.00e+00,0.00e+00
1752,2.08e+03,0.00e+00,5.21e+03,0.00e+00,2.12e+04,0.00e+00,2.83e+04,0.00e+00,1.14e+04,0.00e+00,0.00e+00,0.00e+00
1753,2.11e+03,0.00e+00,5.24e+03,0.00e+00,2.13e+04,0.00e+00,2.83e+04,0.00e+00,1.14e+04,0.00e+00,0.00e+00,0.00e+00
1754,2.15e+03,0.00e+00,5.26e+03,0.00e+00,2.13e+04,0.00e+00,2.84e+04,0.00e+00,1.14e+04,0.00e+00,0.00e+00,0.00e+00
1755,2.18e+03,0.00e+00,5.29e+03,0.00e+00,2.14e+04,0.00e+00,2.85e+04,0.00e+00,1.14e+04,0.00e+00,0.00e+00,0.00e+00
1756,2.22e+03,0.00e+00,5.32e+03,0.00e+00,2.14e+04,0.00e+00,2.85e+04,0.00e+00,1.14e+04,0.00e+00,0.00e+00,0.00e+00
1757,2.25e+03,0.00e+00,5.34e+03,0.00e+00,2.15e+04,0.00e+00,2.86e+04,0.00e+00,1.14e+04,0.00e+00,0.00e+00,0.00e+00
1758,2.29e+03,0.00e+00,5.37e+03,0.00e+00,2.15e+04,0.00e+00,2.87e+04,0.00e+00,1.15e+04,0.00e+00,0.00e+00,0.00e+00
1759,2.32e+03,0.00e+00,5.39e+03,0.00e+00,2.15e+04,0.00e+00,2.87e+04,0.00e+00,1.15e+04,0.00e+00,0.00e+00,0.00e+00
1760,2.35e+03,0.00e+00,5.42e+03,0.00e+00,2.16e+04,0.00e+00,2.88e+04,0.00e+00,1.15e+04,0.00e+00,0.00e+00,0.00e+00
1761,2.40e+03,0.00e+00,5.45e+03,0.00e+00,2.16e+04,0.00e+00,2.88e+04,0.00e+00,1.15e+04,0.00e+00,0.00e+00,0.00e+00
1762,2.44e+03,0.00e+00,5.47e+03,0.00e+00,2.17e+04,0.00e+00,2.89e+04,0.00e+00,1.15e+04,0.00e+00,0.00e+00,0.00e+00
1763,2.48e+03,0.00e+00,5.50e+03,0.00e+00,2.17e+04,0.00e+00,2.89e+04,0.00e+00,1.15e+04,0.00e+00,0.00e+00,0.00e+00
1764,2.52e+03,0.00e+00,5.52e+03,0.00e+00,2.18e+04,0.00e+00,2.90e+04,0.00e+00,1.16e+04,0.00e+00,0.00e+00,0.00e+00
1765,2.56e+03,0.00e+00,5.55e+03,0.00e+00,2.18e+04,0.00e+00,2.90e+04,0.00e+00,1.16e+04,0.00e+00,0.00e+00,0.00e+00
1766,2.60e+03,0.00e+00,5.57e+03,0.00e+00,2.19e+04,0.00e+00,2.90e+04,0.00e+00,1.16e+04,0.00e+00,0.00e+00,0.00e+00
1767,2.65e+03,0.00e+00,5.60e+03,0.00e+00,2.19e+04,0.00e+00,2.91e+04,0.00e+00,1.16e+04,0.00e+00,0.00e+00,0.00e+00
1768,2.69e+03,0.00e+00,5.62e+03,0.00e+00,2.20e+04,0.00e+00,2.91e+04,0.00e+00,1.16e+04,0.00e+00,0.00e+00,0.00e+00
1769,2.73e+03,0.00e+00,5.65e+03,0.00e+00,2.20e+04,0.00e+00,2.92e+04,0.00e+00,1.16e+04,0.00e+00,0.00e+00,0.00e+00
1770,2.77e+03,0.00e+00,5.67e+03,0.00e+00,2.20e+04,0.00e+00,2.92e+04,0.00e+00,1.16e+04,0.00e+00,0.00e+00,0.00e+00
1771,2.82e+03,0.00e+00,5.70e+03,0.00e+00,2.21e+04,0.00e+00,2.97e+04,0.00e+00,1.17e+04,0.00e+00,0.00e+00,0.00e+00
1772,2.87e+03,0.00e+00,5.73e+03,0.00e+00,2.22e+04,0.00e+00,3.02e+04,0.00e+00,1.17e+04,0.00e+00,0.00e+00,0.00e+00
1773,2.93e+03,0.00e+00,5.75e+03,0.00e+00,2.22e+04,0.00e+00,3.07e+04,0.00e+00,1.17e+04,0.00e+00,0.00e+00,0.00e+00
1774,2.98e+03,0.00e+00,5.78e+03,0.00e+00,2.22e+04,0.00e+00,3.11e+04,0.00e+00,1.17e+04,0.00e+00,0.00e+00,0.00e+00
