Year,AWEST_FIRE,AEAST_FIRE,ROEUR_FIRE,ASIA_FIRE,ROW_FIRE
1750,1.70e+04,2.85e+04,2.77e+03,1.17e+04,2.21e+05
1751,1.69e+04,2.64e+04,2.64e+03,1.15e+04,2.19e+05
1752,1.69e+04,2.45e+04,2.75e+03,1.15e+04,2.18e+05
1753,1.69e+04,2.69e+04,2.78e+03,1.17e+04,2.17e+05
1754,1.68e+04,3.32e+04,2.86e+03,1.15e+04,2.17e+05
1755,1.68e+04,2.69e+04,2.74e+03,1.14e+04,2.22e+05
1756,1.68e+04,2.84e+04,2.79e+03,1.16e+04,2.15e+05
1757,1.68e+04,2.68e+04,3.01e+03,1.31e+04,2.28e+05
1758,1.67e+04,2.73e+04,2.73e+03,1.17e+04,2.24e+05
1759,1.67e+04,2.90e+04,2.81e+03,1.24e+04,2.22e+05
1760,1.67e+04,3.32e+04,2.84e+03,1.25e+04,2.20e+05
1761,1.66e+04,2.87e+04,2.88e+03,1.22e+04,2.25e+05
1762,1.66e+04,3.12e+04,2.96e+03,1.29e+04,2.16e+05
1763,1.66e+04,3.09e+04,2.96e+03,1.21e+04,2.18e+05
1764,1.66e+04,2.27e+04,2.72e+03,1.12e+04,2.19e+05
1765,1.66e+04,3.07e+04,2.82e+03,1.21e+04,2.21e+05
1766,1.65e+04,2.65e+04,2.78e+03,1.16e+04,2.22e+05
1767,1.65e+04,2.62e+04,2.85e+03,1.22e+04,2.21e+05
1768,1.65e+04,2.99e+04,2.77e+03,1.24e+04,2.31e+05
1769,1.65e+04,3.09e+04,2.93e+03,1.22e+04,2.22e+05
1770,1.65e+04,3.01e+04,2.73e+03,1.16e+04,2.24e+05
1771,1.64e+04,2.69e+04,2.60e+03,1.13e+04,2.19e+05
1772,1.64e+04,2.50e+04,2.74e+03,1.14e+04,2.17e+05
1773,1.64e+04,2.64e+04,2.71e+03,1.13e+04,2.16e+05
1774,1.64e+04,3.48e+04,2.83e+03,1.13e+04,2.19e+05
1775,1.63e+04,2.74e+04,2.65e+03,1.10e+04,2.24e+05
1776,1.63e+04,2.92e+04,2.74e+03,1.13e+04,2.15e+05
1777,1.63e+04,2.64e+04,2.90e+03,1.26e+04,2.24e+05
1778,1.63e+04,2.82e+04,2.72e+03,1.16e+04,2.28e+05
1779,1.62e+04,2.80e+04,2.71e+03,1.18e+04,2.21e+05
1780,1.62e+04,3.35e+04,2.84e+03,1.23e+04,2.20e+05
1781,1.63e+04,2.86e+04,2.90e+03,1.21e+04,2.23e+05
1782,1.63e+04,3.14e+04,2.87e+03,1.25e+04,2.15e+05
1783,1.63e+04,3.12e+04,2.89e+03,1.16e+04,2.14e+05
1784,1.64e+04,2.33e+04,2.71e+03,1.10e+04,2.19e+05
1785,1.64e+04,3.03e+04,2.69e+03,1.13e+04,2.17e+05
1786,1.65e+04,2.67e+04,2.77e+03,1.13e+04,2.18e+05
1787,1.65e+04,2.72e+04,2.82e+03,1.18e+04,2.21e+05
1788,1.66e+04,3.04e+04,2.79e+03,1.21e+04,2.30e+05
1789,1.66e+04,3.12e+04,2.86e+03,1.16e+04,2.21e+05
1790,1.67e+04,3.04e+04,2.69e+03,1.12e+04,2.24e+05
1791,1.68e+04,2.72e+04,2.59e+03,1.09e+04,2.19e+05
1792,1.69e+04,2.48e+04,2.68e+03,1.09e+04,2.19e+05
