Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,2.71e+00,0.00e+00,1.07e+01,0.00e+00,7.16e+01,0.00e+00,6.14e+01,0.00e+00,4.56e+01,0.00e+00,0.00e+00,0.00e+00
1751,2.76e+00,0.00e+00,1.08e+01,0.00e+00,7.18e+01,0.00e+00,6.16e+01,0.00e+00,4.57e+01,0.00e+00,0.00e+00,0.00e+00
1752,2.81e+00,0.00e+00,1.08e+01,0.00e+00,7.20e+01,0.00e+00,6.17e+01,0.00e+00,4.58e+01,0.00e+00,0.00e+00,0.00e+00
1753,2.84e+00,0.00e+00,1.09e+01,0.00e+00,7.21e+01,0.00e+00,6.18e+01,0.00e+00,4.58e+01,0.00e+00,0.00e+00,0.00e+00
1754,2.89e+00,0.00e+00,1.09e+01,0.00e+00,7.23e+01,0.00e+00,6.20e+01,0.00e+00,4.59e+01,0.00e+00,0.00e+00,0.00e+00
1755,2.94e+00,0.00e+00,1.10e+01,0.00e+00,7.25e+01,0.00e+00,6.21e+01,0.00e+00,4.60e+01,0.00e+00,0.00e+00,0.00e+00
1756,2.99e+00,0.00e+00,1.11e+01,0.00e+00,7.34e+01,0.00e+00,6.23e+01,0.00e+00,4.61e+01,0.00e+00,0.00e+00,0.00e+00
1757,3.03e+00,0.00e+00,1.11e+01,0.00e+00,7.36e+01,0.00e+00,6.24e+01,0.00e+00,4.62e+01,0.00e+00,0.00e+00,0.00e+00
1758,3.08e+00,0.00e+00,1.12e+01,0.00e+00,7.38e+01,0.00e+00,6.26e+01,0.00e+00,4.62e+01,0.00e+00,0.00e+00,0.00e+00
1759,3.13e+00,0.00e+00,1.12e+01,0.00e+00,7.40e+01,0.00e+00,6.27e+01,0.00e+00,4.63e+01,0.00e+00,0.00e+00,0.00e+00
1760,3.17e+00,0.00e+00,1.13e+01,0.00e+00,7.42e+01,0.00e+00,6.28e+01,0.00e+00,4.64e+01,0.00e+00,0.00e+00,0.00e+00
1761,3.22e+00,0.00e+00,1.14e+01,0.00e+00,7.54e+01,0.00e+00,6.29e+01,0.00e+00,4.65e+01,0.00e+00,0.00e+00,0.00e+00
1762,3.28e+00,0.00e+00,1.14e+01,0.00e+00,7.56e+01,0.00e+00,6.30e+01,0.00e+00,4.66e+01,0.00e+00,0.00e+00,0.00e+00
