Year,AWEST_FIRE,AEAST_FIRE,ROEUR_FIRE,ASIA_FIRE,ROW_FIRE
1750,2.13e+02,3.90e+02,9.18e+01,3.68e+02,1.15e+04
1751,2.13e+02,3.62e+02,8.79e+01,3.61e+02,1.14e+04
1752,2.13e+02,3.47e+02,9.11e+01,3.62e+02,1.14e+04
1753,2.12e+02,3.75e+02,9.22e+01,3.67e+02,1.13e+04
1754,2.12e+02,4.46e+02,9.48e+01,3.56e+02,1.14e+04
1755,2.12e+02,3.72e+02,9.09e+01,3.58e+02,1.16e+04
1756,2.12e+02,3.91e+02,9.25e+01,3.63e+02,1.12e+04
1757,2.11e+02,3.87e+02,9.95e+01,4.11e+02,1.18e+04
1758,2.11e+02,3.76e+02,9.05e+01,3.68e+02,1.18e+04
1759,2.11e+02,3.98e+02,9.30e+01,3.90e+02,1.15e+04
1760,2.11e+02,4.45e+02,9.40e+01,3.92e+02,1.14e+04
1761,2.10e+02,3.99e+02,9.52e+01,3.83e+02,1.17e+04
1762,2.10e+02,4.31e+02,9.78e+01,4.05e+02,1.12e+04
1763,2.10e+02,4.28e+02,9.78e+01,3.77e+02,1.13e+04
1764,2.10e+02,3.27e+02,9.02e+01,3.52e+02,1.14e+04
1765,2.09e+02,4.18e+02,9.33e+01,3.79e+02,1.15e+04
1766,2.09e+02,3.71e+02,9.22e+01,3.62e+02,1.15e+04
1767,2.09e+02,3.72e+02,9.43e+01,3.81e+02,1.15e+04
1768,2.08e+02,4.06e+02,9.18e+01,3.90e+02,1.20e+04
1769,2.08e+02,4.26e+02,9.68e+01,3.79e+02,1.16e+04
1770,2.08e+02,4.07e+02,9.07e+01,3.62e+02,1.16e+04
1771,2.07e+02,3.66e+02,8.66e+01,3.54e+02,1.14e+04
1772,2.07e+02,3.52e+02,9.08e+01,3.59e+02,1.13e+04
1773,2.07e+02,3.66e+02,8.99e+01,3.54e+02,1.13e+04
1774,2.06e+02,4.62e+02,9.38e+01,3.51e+02,1.15e+04
1775,2.06e+02,3.73e+02,8.80e+01,3.46e+02,1.17e+04
1776,2.06e+02,3.97e+02,9.08e+01,3.53e+02,1.12e+04
1777,2.05e+02,3.77e+02,9.59e+01,3.93e+02,1.17e+04
1778,2.05e+02,3.85e+02,9.01e+01,3.65e+02,1.20e+04
1779,2.05e+02,3.83e+02,8.99e+01,3.72e+02,1.14e+04
1780,2.04e+02,4.48e+02,9.40e+01,3.86e+02,1.14e+04
1781,2.04e+02,4.00e+02,9.59e+01,3.76e+02,1.16e+04
1782,2.04e+02,4.28e+02,9.50e+01,3.92e+02,1.11e+04
1783,2.04e+02,4.26e+02,9.56e+01,3.62e+02,1.12e+04
1784,2.04e+02,3.33e+02,9.01e+01,3.45e+02,1.14e+04
1785,2.04e+02,4.05e+02,8.92e+01,3.56e+02,1.13e+04
1786,2.04e+02,3.72e+02,9.20e+01,3.53e+02,1.13e+04
1787,2.04e+02,3.79e+02,9.35e+01,3.69e+02,1.15e+04
1788,2.04e+02,4.11e+02,9.25e+01,3.82e+02,1.20e+04
1789,2.04e+02,4.24e+02,9.47e+01,3.61e+02,1.16e+04
1790,2.04e+02,4.06e+02,8.94e+01,3.50e+02,1.17e+04
1791,2.05e+02,3.66e+02,8.63e+01,3.44e+02,1.14e+04
1792,2.06e+02,3.45e+02,8.91e+01,3.41e+02,1.15e+04
1793,2.07e+02,3.64e+02,8.93e+01,3.42e+02,1.13e+04
1794,2.08e+02,4.59e+02,9.40e+01,3.43e+02,1.15e+04
1795,2.09e+02,3.76e+02,8.88e+01,3.40e+02,1.16e+04
1796,2.10e+02,4.09e+02,9.27e+01,3.49e+02,1.10e+04
1797,2.11e+02,3.76e+02,9.60e+01,3.83e+02,1.17e+04
1798,2.12e+02,3.81e+02,9.08e+01,3.57e+02,1.19e+04
1799,2.14e+02,4.02e+02,9.12e+01,3.67e+02,1.15e+04
1800,2.15e+02,4.47e+02,9.48e+01,3.77e+02,1.13e+04
1801,2.17e+02,3.96e+02,9.56e+01,3.65e+02,1.16e+04
1802,2.19e+02,4.35e+02,9.51e+01,3.81e+02,1.12e+04
1803,2.21e+02,4.17e+02,9.43e+01,3.48e+02,1.11e+04
1804,2.23e+02,3.43e+02,9.21e+01,3.43e+02,1.15e+04
1805,2.25e+02,3.99e+02,8.87e+01,3.47e+02,1.13e+04
1806,2.27e+02,3.76e+02,9.33e+01,3.51e+02,1.14e+04
1807,2.29e+02,3.80e+02,9.37e+01,3.61e+02,1.15e+04
1808,2.31e+02,4.03e+02,9.33e+01,3.74e+02,1.20e+04
1809,2.33e+02,4.24e+02,9.50e+01,3.51e+02,1.16e+04
1810,2.35e+02,4.08e+02,8.88e+01,3.39e+02,1.17e+04
1811,2.38e+02,3.67e+02,8.72e+01,3.38e+02,1.16e+04
1812,2.40e+02,3.44e+02,8.79e+01,3.31e+02,1.15e+04
1813,2.43e+02,3.71e+02,9.01e+01,3.40e+02,1.13e+04
1814,2.46e+02,4.59e+02,9.38e+01,3.38e+02,1.16e+04
1815,2.49e+02,3.78e+02,8.90e+01,3.34e+02,1.17e+04
1816,2.51e+02,4.07e+02,9.13e+01,3.42e+02,1.13e+04
1817,2.54e+02,3.75e+02,9.56e+01,3.77e+02,1.17e+04
1818,2.57e+02,3.81e+02,9.02e+01,3.50e+02,1.21e+04
1819,2.60e+02,3.89e+02,9.20e+01,3.66e+02,1.16e+04
1820,2.62e+02,4.42e+02,9.42e+01,3.74e+02,1.15e+04
1821,2.64e+02,3.93e+02,9.53e+01,3.64e+02,1.18e+04
1822,2.66e+02,4.40e+02,9.59e+01,3.81e+02,1.12e+04
1823,2.68e+02,4.10e+02,9.13e+01,3.32e+02,1.12e+04
1824,2.69e+02,3.51e+02,9.41e+01,3.46e+02,1.16e+04
1825,2.71e+02,3.93e+02,8.82e+01,3.38e+02,1.15e+04
1826,2.73e+02,3.76e+02,9.32e+01,3.46e+02,1.14e+04
1827,2.75e+02,3.69e+02,9.28e+01,3.58e+02,1.16e+04
1828,2.76e+02,4.08e+02,9.33e+01,3.75e+02,1.20e+04
1829,2.78e+02,4.21e+02,9.45e+01,3.49e+02,1.17e+04
1830,2.80e+02,4.03e+02,8.72e+01,3.32e+02,1.18e+04
1831,2.80e+02,3.67e+02,8.68e+01,3.32e+02,1.15e+04
1832,2.81e+02,3.47e+02,8.89e+01,3.31e+02,1.16e+04
1833,2.82e+02,3.75e+02,9.09e+01,3.38e+02,1.14e+04
1834,2.83e+02,4.49e+02,9.05e+01,3.24e+02,1.16e+04
1835,2.84e+02,3.72e+02,8.84e+01,3.25e+02,1.17e+04
1836,2.84e+02,4.14e+02,9.19e+01,3.43e+02,1.13e+04
1837,2.85e+02,3.72e+02,9.28e+01,3.62e+02,1.18e+04
1838,2.86e+02,3.86e+02,9.18e+01,3.50e+02,1.21e+04
1839,2.87e+02,3.91e+02,9.22e+01,3.59e+02,1.16e+04
1840,2.87e+02,4.42e+02,9.46e+01,3.63e+02,1.13e+04
1841,2.88e+02,4.02e+02,9.51e+01,3.57e+02,1.19e+04
1842,2.88e+02,4.28e+02,9.37e+01,3.66e+02,1.13e+04
1843,2.89e+02,4.09e+02,9.02e+01,3.25e+02,1.11e+04
1844,2.89e+02,3.50e+02,9.29e+01,3.34e+02,1.15e+04
1845,2.90e+02,3.94e+02,8.70e+01,3.28e+02,1.14e+04
