Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1751,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1752,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1753,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1754,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1755,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1756,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1757,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1758,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1759,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1760,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1761,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1762,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1763,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1764,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1765,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1766,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1767,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1768,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1769,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1770,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1771,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1772,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1773,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1774,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1775,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1776,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1777,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1778,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1779,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1780,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1781,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1782,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1783,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1784,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1785,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1786,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1787,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1788,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1789,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1790,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1791,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
