Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,1.00e+02,0.00e+00,2.14e+02,0.00e+00,5.44e+02,0.00e+00,8.85e+02,0.00e+00,4.85e+02,0.00e+00,0.00e+00,0.00e+00
1751,1.02e+02,0.00e+00,2.16e+02,0.00e+00,5.46e+02,0.00e+00,8.87e+02,0.00e+00,4.86e+02,0.00e+00,0.00e+00,0.00e+00
1752,1.04e+02,0.00e+00,2.17e+02,0.00e+00,5.47e+02,0.00e+00,8.89e+02,0.00e+00,4.86e+02,0.00e+00,0.00e+00,0.00e+00
1753,1.06e+02,0.00e+00,2.18e+02,0.00e+00,5.48e+02,0.00e+00,8.91e+02,0.00e+00,4.87e+02,0.00e+00,0.00e+00,0.00e+00
1754,1.07e+02,0.00e+00,2.19e+02,0.00e+00,5.50e+02,0.00e+00,8.93e+02,0.00e+00,4.88e+02,0.00e+00,0.00e+00,0.00e+00
1755,1.09e+02,0.00e+00,2.20e+02,0.00e+00,5.51e+02,0.00e+00,8.95e+02,0.00e+00,4.88e+02,0.00e+00,0.00e+00,0.00e+00
1756,1.11e+02,0.00e+00,2.21e+02,0.00e+00,5.53e+02,0.00e+00,8.97e+02,0.00e+00,4.89e+02,0.00e+00,0.00e+00,0.00e+00
1757,1.12e+02,0.00e+00,2.22e+02,0.00e+00,5.54e+02,0.00e+00,8.99e+02,0.00e+00,4.90e+02,0.00e+00,0.00e+00,0.00e+00
1758,1.14e+02,0.00e+00,2.23e+02,0.00e+00,5.55e+02,0.00e+00,9.01e+02,0.00e+00,4.90e+02,0.00e+00,0.00e+00,0.00e+00
1759,1.16e+02,0.00e+00,2.24e+02,0.00e+00,5.57e+02,0.00e+00,9.03e+02,0.00e+00,4.91e+02,0.00e+00,0.00e+00,0.00e+00
1760,1.17e+02,0.00e+00,2.25e+02,0.00e+00,5.58e+02,0.00e+00,9.05e+02,0.00e+00,4.92e+02,0.00e+00,0.00e+00,0.00e+00
1761,1.20e+02,0.00e+00,2.27e+02,0.00e+00,5.60e+02,0.00e+00,9.06e+02,0.00e+00,4.93e+02,0.00e+00,0.00e+00,0.00e+00
1762,1.22e+02,0.00e+00,2.28e+02,0.00e+00,5.61e+02,0.00e+00,9.07e+02,0.00e+00,4.93e+02,0.00e+00,0.00e+00,0.00e+00
1763,1.24e+02,0.00e+00,2.29e+02,0.00e+00,5.63e+02,0.00e+00,9.09e+02,0.00e+00,4.94e+02,0.00e+00,0.00e+00,0.00e+00
1764,1.26e+02,0.00e+00,2.30e+02,0.00e+00,5.64e+02,0.00e+00,9.10e+02,0.00e+00,4.95e+02,0.00e+00,0.00e+00,0.00e+00
1765,1.28e+02,0.00e+00,2.31e+02,0.00e+00,5.65e+02,0.00e+00,9.11e+02,0.00e+00,4.96e+02,0.00e+00,0.00e+00,0.00e+00
1766,1.30e+02,0.00e+00,2.32e+02,0.00e+00,5.68e+02,0.00e+00,9.13e+02,0.00e+00,4.96e+02,0.00e+00,0.00e+00,0.00e+00
1767,1.32e+02,0.00e+00,2.33e+02,0.00e+00,5.69e+02,0.00e+00,9.14e+02,0.00e+00,4.97e+02,0.00e+00,0.00e+00,0.00e+00
1768,1.34e+02,0.00e+00,2.34e+02,0.00e+00,5.70e+02,0.00e+00,9.15e+02,0.00e+00,4.98e+02,0.00e+00,0.00e+00,0.00e+00
1769,1.36e+02,0.00e+00,2.36e+02,0.00e+00,5.71e+02,0.00e+00,9.17e+02,0.00e+00,4.98e+02,0.00e+00,0.00e+00,0.00e+00
1770,1.38e+02,0.00e+00,2.37e+02,0.00e+00,5.73e+02,0.00e+00,9.18e+02,0.00e+00,4.99e+02,0.00e+00,0.00e+00,0.00e+00
1771,1.41e+02,0.00e+00,2.38e+02,0.00e+00,5.75e+02,0.00e+00,9.30e+02,0.00e+00,5.00e+02,0.00e+00,0.00e+00,0.00e+00
1772,1.44e+02,0.00e+00,2.39e+02,0.00e+00,5.77e+02,0.00e+00,9.41e+02,0.00e+00,5.01e+02,0.00e+00,0.00e+00,0.00e+00
1773,1.46e+02,0.00e+00,2.40e+02,0.00e+00,5.78e+02,0.00e+00,9.53e+02,0.00e+00,5.01e+02,0.00e+00,0.00e+00,0.00e+00
1774,1.49e+02,0.00e+00,2.41e+02,0.00e+00,5.79e+02,0.00e+00,9.65e+02,0.00e+00,5.02e+02,0.00e+00,0.00e+00,0.00e+00
1775,1.51e+02,0.00e+00,2.42e+02,0.00e+00,5.81e+02,0.00e+00,9.76e+02,0.00e+00,5.03e+02,0.00e+00,0.00e+00,0.00e+00
1776,1.54e+02,0.00e+00,2.44e+02,0.00e+00,5.83e+02,0.00e+00,9.88e+02,0.00e+00,5.03e+02,0.00e+00,0.00e+00,0.00e+00
1777,1.56e+02,0.00e+00,2.45e+02,0.00e+00,5.85e+02,0.00e+00,1.00e+03,0.00e+00,5.04e+02,0.00e+00,0.00e+00,0.00e+00
1778,1.59e+02,0.00e+00,2.46e+02,0.00e+00,5.86e+02,0.00e+00,1.01e+03,0.00e+00,5.05e+02,0.00e+00,0.00e+00,0.00e+00
1779,1.61e+02,0.00e+00,2.47e+02,0.00e+00,5.88e+02,0.00e+00,1.02e+03,0.00e+00,5.06e+02,0.00e+00,0.00e+00,0.00e+00
1780,1.64e+02,0.00e+00,2.51e+02,0.00e+00,5.91e+02,0.00e+00,1.03e+03,0.00e+00,5.06e+02,0.00e+00,0.00e+00,0.00e+00
1781,1.67e+02,0.00e+00,2.52e+02,0.00e+00,5.94e+02,0.00e+00,1.04e+03,0.00e+00,5.07e+02,0.00e+00,0.00e+00,0.00e+00
1782,1.70e+02,0.00e+00,2.53e+02,0.00e+00,5.96e+02,0.00e+00,1.04e+03,0.00e+00,5.08e+02,0.00e+00,0.00e+00,0.00e+00
1783,1.74e+02,0.00e+00,2.54e+02,0.00e+00,5.97e+02,0.00e+00,1.04e+03,0.00e+00,5.09e+02,0.00e+00,0.00e+00,0.00e+00
1784,1.77e+02,0.00e+00,2.56e+02,0.00e+00,5.99e+02,0.00e+00,1.05e+03,0.00e+00,5.09e+02,0.00e+00,0.00e+00,0.00e+00
