Year,AWEST_FIRE,AEAST_FIRE,ROEUR_FIRE,ASIA_FIRE,ROW_FIRE
1750,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1751,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1752,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1753,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1754,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1755,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1756,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1757,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1758,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1759,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1760,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1761,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1762,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1763,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1764,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1765,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1766,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1767,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1768,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1769,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1770,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1771,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1772,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1773,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1774,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1775,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1776,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1777,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1778,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1779,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1780,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1781,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1782,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1783,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1784,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1785,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1786,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1787,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1788,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1789,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
