Year,AWEST_FIRE,AEAST_FIRE,ROEUR_FIRE,ASIA_FIRE,ROW_FIRE
1750,1.20e+03,1.80e+03,8.63e+01,6.79e+02,9.47e+03
1751,1.20e+03,1.67e+03,8.30e+01,6.65e+02,9.36e+03
1752,1.19e+03,1.53e+03,8.58e+01,6.68e+02,9.33e+03
1753,1.19e+03,1.69e+03,8.67e+01,6.78e+02,9.30e+03
1754,1.19e+03,2.11e+03,8.90e+01,6.61e+02,9.27e+03
1755,1.19e+03,1.69e+03,8.56e+01,6.62e+02,9.49e+03
1756,1.18e+03,1.79e+03,8.69e+01,6.72e+02,9.21e+03
1757,1.18e+03,1.66e+03,9.30e+01,7.59e+02,9.75e+03
1758,1.18e+03,1.72e+03,8.52e+01,6.79e+02,9.58e+03
1759,1.18e+03,1.83e+03,8.74e+01,7.19e+02,9.49e+03
1760,1.17e+03,2.12e+03,8.83e+01,7.25e+02,9.44e+03
1761,1.17e+03,1.80e+03,8.93e+01,7.08e+02,9.63e+03
1762,1.17e+03,1.97e+03,9.16e+01,7.49e+02,9.26e+03
1763,1.17e+03,1.95e+03,9.16e+01,7.00e+02,9.32e+03
1764,1.17e+03,1.41e+03,8.49e+01,6.49e+02,9.34e+03
1765,1.17e+03,1.95e+03,8.76e+01,7.00e+02,9.47e+03
1766,1.17e+03,1.66e+03,8.66e+01,6.70e+02,9.46e+03
1767,1.16e+03,1.63e+03,8.85e+01,7.04e+02,9.49e+03
1768,1.16e+03,1.89e+03,8.63e+01,7.19e+02,9.87e+03
1769,1.16e+03,1.95e+03,9.06e+01,7.02e+02,9.50e+03
1770,1.16e+03,1.91e+03,8.53e+01,6.70e+02,9.57e+03
1771,1.16e+03,1.71e+03,8.17e+01,6.53e+02,9.36e+03
1772,1.15e+03,1.56e+03,8.54e+01,6.62e+02,9.27e+03
1773,1.15e+03,1.66e+03,8.46e+01,6.54e+02,9.25e+03
1774,1.15e+03,2.22e+03,8.81e+01,6.52e+02,9.35e+03
1775,1.15e+03,1.73e+03,8.30e+01,6.39e+02,9.55e+03
1776,1.15e+03,1.85e+03,8.54e+01,6.52e+02,9.18e+03
1777,1.14e+03,1.65e+03,8.99e+01,7.26e+02,9.60e+03
1778,1.14e+03,1.78e+03,8.48e+01,6.73e+02,9.73e+03
1779,1.14e+03,1.77e+03,8.47e+01,6.86e+02,9.44e+03
1780,1.14e+03,2.14e+03,8.83e+01,7.13e+02,9.42e+03
1781,1.14e+03,1.80e+03,8.99e+01,6.96e+02,9.54e+03
1782,1.15e+03,1.99e+03,8.92e+01,7.24e+02,9.22e+03
1783,1.15e+03,1.97e+03,8.97e+01,6.71e+02,9.17e+03
1784,1.15e+03,1.45e+03,8.49e+01,6.37e+02,9.33e+03
1785,1.16e+03,1.93e+03,8.42e+01,6.57e+02,9.32e+03
1786,1.16e+03,1.68e+03,8.65e+01,6.52e+02,9.30e+03
1787,1.16e+03,1.71e+03,8.79e+01,6.81e+02,9.47e+03
1788,1.17e+03,1.93e+03,8.71e+01,7.04e+02,9.84e+03
1789,1.17e+03,1.98e+03,8.90e+01,6.69e+02,9.47e+03
1790,1.17e+03,1.94e+03,8.44e+01,6.46e+02,9.58e+03
1791,1.18e+03,1.73e+03,8.16e+01,6.33e+02,9.35e+03
1792,1.19e+03,1.56e+03,8.41e+01,6.30e+02,9.34e+03
1793,1.20e+03,1.68e+03,8.43e+01,6.32e+02,9.23e+03
1794,1.20e+03,2.22e+03,8.84e+01,6.37e+02,9.35e+03
1795,1.21e+03,1.76e+03,8.39e+01,6.28e+02,9.53e+03
1796,1.22e+03,1.92e+03,8.73e+01,6.47e+02,9.07e+03
1797,1.22e+03,1.66e+03,9.02e+01,7.07e+02,9.57e+03
1798,1.23e+03,1.77e+03,8.56e+01,6.58e+02,9.69e+03
1799,1.24e+03,1.89e+03,8.60e+01,6.78e+02,9.43e+03
1800,1.25e+03,2.13e+03,8.91e+01,6.98e+02,9.36e+03
1801,1.25e+03,1.80e+03,8.99e+01,6.76e+02,9.51e+03
1802,1.26e+03,2.05e+03,8.95e+01,7.05e+02,9.21e+03
1803,1.27e+03,1.95e+03,8.87e+01,6.46e+02,9.09e+03
1804,1.28e+03,1.50e+03,8.68e+01,6.35e+02,9.37e+03
1805,1.29e+03,1.92e+03,8.38e+01,6.40e+02,9.34e+03
1806,1.29e+03,1.71e+03,8.79e+01,6.50e+02,9.37e+03
1807,1.30e+03,1.72e+03,8.83e+01,6.67e+02,9.47e+03
1808,1.31e+03,1.88e+03,8.79e+01,6.91e+02,9.88e+03
