Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1751,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1752,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1753,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1754,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1755,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1756,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1757,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1758,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1759,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1760,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1761,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1762,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1763,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1764,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1765,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1766,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1767,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1768,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1769,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1770,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1771,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1772,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1773,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1774,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1775,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1776,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1777,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1778,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1779,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
1780,2.39e+03,0.00e+00,2.51e+03,0.00e+00,2.64e+03,0.00e+00,1.98e+04,0.00e+00,1.73e+04,0.00e+00,4.04e+02,4.18e+03
