Year,AWEST_FIRE,AEAST_FIRE,ROEUR_FIRE,ASIA_FIRE,ROW_FIRE
1750,6.96e+01,1.08e+02,6.88e+00,4.34e+01,7.56e+02
1751,6.95e+01,1.00e+02,6.61e+00,4.25e+01,7.48e+02
1752,6.93e+01,9.20e+01,6.83e+00,4.27e+01,7.48e+02
1753,6.92e+01,1.02e+02,6.91e+00,4.34e+01,7.44e+02
1754,6.91e+01,1.26e+02,7.10e+00,4.23e+01,7.44e+02
1755,6.89e+01,1.02e+02,6.82e+00,4.24e+01,7.59e+02
1756,6.88e+01,1.07e+02,6.93e+00,4.30e+01,7.35e+02
1757,6.87e+01,1.00e+02,7.42e+00,4.86e+01,7.79e+02
1758,6.85e+01,1.03e+02,6.79e+00,4.34e+01,7.70e+02
1759,6.84e+01,1.10e+02,6.96e+00,4.60e+01,7.56e+02
1760,6.83e+01,1.26e+02,7.04e+00,4.63e+01,7.51e+02
1761,6.82e+01,1.08e+02,7.12e+00,4.53e+01,7.70e+02
1762,6.81e+01,1.18e+02,7.31e+00,4.79e+01,7.36e+02
1763,6.80e+01,1.17e+02,7.30e+00,4.48e+01,7.46e+02
1764,6.79e+01,8.48e+01,6.76e+00,4.16e+01,7.48e+02
1765,6.78e+01,1.16e+02,6.99e+00,4.48e+01,7.55e+02
1766,6.77e+01,9.95e+01,6.90e+00,4.29e+01,7.57e+02
1767,6.76e+01,9.82e+01,7.06e+00,4.51e+01,7.57e+02
1768,6.75e+01,1.13e+02,6.88e+00,4.60e+01,7.87e+02
1769,6.74e+01,1.17e+02,7.23e+00,4.49e+01,7.60e+02
1770,6.73e+01,1.14e+02,6.79e+00,4.28e+01,7.65e+02
1771,6.72e+01,1.02e+02,6.51e+00,4.17e+01,7.49e+02
1772,6.71e+01,9.37e+01,6.80e+00,4.24e+01,7.43e+02
1773,6.70e+01,9.97e+01,6.73e+00,4.19e+01,7.40e+02
1774,6.69e+01,1.33e+02,7.02e+00,4.18e+01,7.51e+02
1775,6.68e+01,1.04e+02,6.60e+00,4.09e+01,7.65e+02
1776,6.66e+01,1.11e+02,6.80e+00,4.18e+01,7.34e+02
1777,6.65e+01,9.90e+01,7.17e+00,4.65e+01,7.67e+02
1778,6.64e+01,1.07e+02,6.75e+00,4.31e+01,7.83e+02
1779,6.63e+01,1.06e+02,6.75e+00,4.38e+01,7.52e+02
1780,6.62e+01,1.28e+02,7.04e+00,4.56e+01,7.50e+02
1781,6.64e+01,1.08e+02,7.17e+00,4.46e+01,7.63e+02
1782,6.66e+01,1.19e+02,7.11e+00,4.63e+01,7.33e+02
1783,6.68e+01,1.18e+02,7.16e+00,4.30e+01,7.33e+02
1784,6.69e+01,8.73e+01,6.76e+00,4.08e+01,7.48e+02
1785,6.71e+01,1.15e+02,6.70e+00,4.20e+01,7.44e+02
1786,6.73e+01,1.01e+02,6.89e+00,4.18e+01,7.43e+02
1787,6.75e+01,1.02e+02,7.00e+00,4.36e+01,7.56e+02
1788,6.77e+01,1.15e+02,6.94e+00,4.50e+01,7.86e+02
1789,6.79e+01,1.18e+02,7.09e+00,4.28e+01,7.59e+02
1790,6.81e+01,1.16e+02,6.71e+00,4.13e+01,7.66e+02
1791,6.85e+01,1.03e+02,6.50e+00,4.05e+01,7.48e+02
1792,6.89e+01,9.34e+01,6.70e+00,4.03e+01,7.50e+02
1793,6.93e+01,1.00e+02,6.71e+00,4.04e+01,7.39e+02
1794,6.97e+01,1.33e+02,7.04e+00,4.08e+01,7.52e+02
1795,7.01e+01,1.05e+02,6.68e+00,4.02e+01,7.63e+02
1796,7.05e+01,1.15e+02,6.96e+00,4.14e+01,7.25e+02
1797,7.09e+01,9.98e+01,7.19e+00,4.53e+01,7.66e+02
1798,7.13e+01,1.06e+02,6.82e+00,4.21e+01,7.80e+02
1799,7.18e+01,1.13e+02,6.84e+00,4.34e+01,7.53e+02
1800,7.22e+01,1.27e+02,7.11e+00,4.47e+01,7.46e+02
1801,7.26e+01,1.08e+02,7.17e+00,4.33e+01,7.61e+02
1802,7.31e+01,1.23e+02,7.13e+00,4.51e+01,7.34e+02
1803,7.36e+01,1.17e+02,7.07e+00,4.14e+01,7.28e+02
1804,7.41e+01,9.05e+01,6.91e+00,4.06e+01,7.52e+02
1805,7.46e+01,1.14e+02,6.67e+00,4.10e+01,7.45e+02
1806,7.50e+01,1.02e+02,7.00e+00,4.16e+01,7.50e+02
1807,7.55e+01,1.03e+02,7.03e+00,4.27e+01,7.57e+02
1808,7.60e+01,1.13e+02,7.01e+00,4.42e+01,7.89e+02
1809,7.65e+01,1.19e+02,7.12e+00,4.17e+01,7.61e+02
1810,7.70e+01,1.18e+02,6.68e+00,4.01e+01,7.67e+02
1811,7.76e+01,1.04e+02,6.56e+00,3.98e+01,7.58e+02
1812,7.82e+01,9.48e+01,6.62e+00,3.91e+01,7.51e+02
1813,7.88e+01,1.03e+02,6.78e+00,4.02e+01,7.43e+02
1814,7.95e+01,1.34e+02,7.04e+00,4.01e+01,7.56e+02
1815,8.01e+01,1.07e+02,6.70e+00,3.94e+01,7.70e+02
1816,8.07e+01,1.16e+02,6.87e+00,4.05e+01,7.44e+02
1817,8.13e+01,1.01e+02,7.17e+00,4.45e+01,7.68e+02
1818,8.20e+01,1.07e+02,6.79e+00,4.13e+01,7.93e+02
1819,8.26e+01,1.09e+02,6.92e+00,4.31e+01,7.64e+02
1820,8.32e+01,1.27e+02,7.07e+00,4.41e+01,7.58e+02
1821,8.37e+01,1.08e+02,7.15e+00,4.31e+01,7.77e+02
1822,8.41e+01,1.25e+02,7.20e+00,4.50e+01,7.39e+02
1823,8.45e+01,1.18e+02,6.87e+00,3.94e+01,7.36e+02
1824,8.50e+01,9.31e+01,7.06e+00,4.10e+01,7.61e+02
1825,8.54e+01,1.14e+02,6.64e+00,3.98e+01,7.54e+02
1826,8.59e+01,1.03e+02,7.00e+00,4.10e+01,7.50e+02
1827,8.63e+01,1.01e+02,6.98e+00,4.23e+01,7.62e+02
1828,8.68e+01,1.16e+02,7.02e+00,4.43e+01,7.90e+02
1829,8.72e+01,1.20e+02,7.10e+00,4.14e+01,7.66e+02
1830,8.76e+01,1.19e+02,6.58e+00,3.92e+01,7.74e+02
1831,8.78e+01,1.05e+02,6.55e+00,3.91e+01,7.56e+02
1832,8.80e+01,9.61e+01,6.70e+00,3.90e+01,7.57e+02
1833,8.82e+01,1.05e+02,6.84e+00,3.99e+01,7.47e+02
1834,8.84e+01,1.34e+02,6.81e+00,3.84e+01,7.57e+02
1835,8.85e+01,1.06e+02,6.67e+00,3.83e+01,7.66e+02
1836,8.87e+01,1.19e+02,6.92e+00,4.06e+01,7.44e+02
1837,8.89e+01,1.03e+02,6.97e+00,4.27e+01,7.72e+02
1838,8.91e+01,1.09e+02,6.91e+00,4.13e+01,7.90e+02
1839,8.93e+01,1.11e+02,6.94e+00,4.23e+01,7.65e+02
1840,8.94e+01,1.28e+02,7.12e+00,4.29e+01,7.41e+02
1841,8.96e+01,1.13e+02,7.15e+00,4.22e+01,7.78e+02
1842,8.98e+01,1.23e+02,7.04e+00,4.33e+01,7.43e+02
1843,9.00e+01,1.19e+02,6.79e+00,3.84e+01,7.25e+02
1844,9.02e+01,9.45e+01,6.98e+00,3.96e+01,7.52e+02
1845,9.04e+01,1.16e+02,6.56e+00,3.86e+01,7.50e+02
1846,9.06e+01,1.05e+02,6.86e+00,3.94e+01,7.46e+02
1847,9.07e+01,1.06e+02,6.88e+00,4.14e+01,7.65e+02
1848,9.09e+01,1.18e+02,6.88e+00,4.31e+01,7.86e+02
1849,9.11e+01,1.18e+02,6.98e+00,4.05e+01,7.71e+02
1850,9.13e+01,1.24e+02,6.50e+00,3.84e+01,7.73e+02
1851,9.12e+01,1.06e+02,6.43e+00,3.78e+01,7.57e+02
1852,9.10e+01,9.75e+01,6.62e+00,3.81e+01,7.46e+02
1853,9.09e+01,1.04e+02,6.64e+00,3.78e+01,7.47e+02
1854,9.07e+01,1.32e+02,6.63e+00,3.71e+01,7.62e+02
1855,9.06e+01,1.05e+02,6.55e+00,3.70e+01,7.65e+02
1856,9.04e+01,1.19e+02,6.88e+00,3.96e+01,7.32e+02
1857,9.03e+01,1.04e+02,6.77e+00,4.07e+01,7.79e+02
1858,9.02e+01,1.07e+02,6.71e+00,3.93e+01,7.93e+02
1859,9.00e+01,1.14e+02,6.95e+00,4.17e+01,7.67e+02
1860,8.99e+01,1.28e+02,7.04e+00,4.19e+01,7.48e+02
1861,8.98e+01,1.08e+02,7.07e+00,4.09e+01,7.71e+02
1862,8.98e+01,1.22e+02,7.04e+00,4.23e+01,7.42e+02
