Year,AWEST_SURF,AWEST_FLAR,AEAST_SURF,AEAST_FLAR,ROEUR_SURF,ROEUR_FLAR,ASIA_SURF,ASIA_FLAR,ROW_SURF,ROW_FLAR,ARCTIC_SHIP,NONARC_SHIP
1750,1.79e+02,0.00e+00,4.64e+02,0.00e+00,1.79e+03,0.00e+00,2.75e+03,0.00e+00,1.24e+03,0.00e+00,0.00e+00,0.00e+00
1751,1.82e+02,0.00e+00,4.66e+02,0.00e+00,1.79e+03,0.00e+00,2.76e+03,0.00e+00,1.24e+03,0.00e+00,0.00e+00,0.00e+00
1752,1.85e+02,0.00e+00,4.69e+02,0.00e+00,1.80e+03,0.00e+00,2.77e+03,0.00e+00,1.24e+03,0.00e+00,0.00e+00,0.00e+00
1753,1.89e+02,0.00e+00,4.71e+02,0.00e+00,1.80e+03,0.00e+00,2.77e+03,0.00e+00,1.24e+03,0.00e+00,0.00e+00,0.00e+00
1754,1.92e+02,0.00e+00,4.73e+02,0.00e+00,1.80e+03,0.00e+00,2.78e+03,0.00e+00,1.24e+03,0.00e+00,0.00e+00,0.00e+00
1755,1.95e+02,0.00e+00,4.76e+02,0.00e+00,1.80e+03,0.00e+00,2.79e+03,0.00e+00,1.25e+03,0.00e+00,0.00e+00,0.00e+00
1756,1.98e+02,0.00e+00,4.78e+02,0.00e+00,1.81e+03,0.00e+00,2.79e+03,0.00e+00,1.25e+03,0.00e+00,0.00e+00,0.00e+00
1757,2.01e+02,0.00e+00,4.80e+02,0.00e+00,1.81e+03,0.00e+00,2.80e+03,0.00e+00,1.25e+03,0.00e+00,0.00e+00,0.00e+00
1758,2.04e+02,0.00e+00,4.83e+02,0.00e+00,1.81e+03,0.00e+00,2.80e+03,0.00e+00,1.25e+03,0.00e+00,0.00e+00,0.00e+00
1759,2.07e+02,0.00e+00,4.85e+02,0.00e+00,1.82e+03,0.00e+00,2.81e+03,0.00e+00,1.25e+03,0.00e+00,0.00e+00,0.00e+00
1760,2.10e+02,0.00e+00,4.87e+02,0.00e+00,1.82e+03,0.00e+00,2.82e+03,0.00e+00,1.25e+03,0.00e+00,0.00e+00,0.00e+00
