Year,AWEST_FIRE,AEAST_FIRE,ROEUR_FIRE,ASIA_FIRE,ROW_FIRE
1750,3.48e+03,5.86e+03,5.78e+02,2.32e+03,4.14e+04
1751,3.47e+03,5.44e+03,5.52e+02,2.27e+03,4.10e+04
1752,3.46e+03,5.05e+03,5.74e+02,2.29e+03,4.09e+04
1753,3.46e+03,5.54e+03,5.81e+02,2.32e+03,4.07e+04
1754,3.45e+03,6.83e+03,5.99e+02,2.28e+03,4.07e+04
1755,3.44e+03,5.53e+03,5.72e+02,2.27e+03,4.16e+04
1756,3.44e+03,5.84e+03,5.83e+02,2.30e+03,4.03e+04
1757,3.43e+03,5.52e+03,6.30e+02,2.60e+03,4.26e+04
1758,3.43e+03,5.62e+03,5.70e+02,2.32e+03,4.20e+04
1759,3.42e+03,5.96e+03,5.87e+02,2.46e+03,4.15e+04
1760,3.41e+03,6.83e+03,5.94e+02,2.48e+03,4.12e+04
1761,3.41e+03,5.90e+03,6.02e+02,2.43e+03,4.21e+04
1762,3.41e+03,6.42e+03,6.20e+02,2.57e+03,4.05e+04
1763,3.40e+03,6.36e+03,6.19e+02,2.41e+03,4.08e+04
1764,3.40e+03,4.67e+03,5.68e+02,2.23e+03,4.10e+04
1765,3.39e+03,6.32e+03,5.89e+02,2.40e+03,4.13e+04
1766,3.39e+03,5.44e+03,5.81e+02,2.30e+03,4.15e+04
1767,3.39e+03,5.39e+03,5.96e+02,2.41e+03,4.15e+04
1768,3.38e+03,6.14e+03,5.79e+02,2.46e+03,4.32e+04
1769,3.38e+03,6.35e+03,6.13e+02,2.41e+03,4.16e+04
1770,3.37e+03,6.20e+03,5.71e+02,2.29e+03,4.19e+04
1771,3.37e+03,5.54e+03,5.44e+02,2.23e+03,4.10e+04
1772,3.36e+03,5.14e+03,5.72e+02,2.27e+03,4.06e+04
1773,3.36e+03,5.44e+03,5.66e+02,2.24e+03,4.05e+04
1774,3.35e+03,7.15e+03,5.92e+02,2.25e+03,4.11e+04
1775,3.35e+03,5.63e+03,5.53e+02,2.19e+03,4.19e+04
1776,3.34e+03,6.00e+03,5.72e+02,2.24e+03,4.02e+04
1777,3.34e+03,5.44e+03,6.07e+02,2.49e+03,4.20e+04
1778,3.33e+03,5.79e+03,5.68e+02,2.30e+03,4.27e+04
1779,3.33e+03,5.76e+03,5.66e+02,2.34e+03,4.13e+04
1780,3.32e+03,6.89e+03,5.94e+02,2.44e+03,4.11e+04
1781,3.33e+03,5.89e+03,6.06e+02,2.39e+03,4.17e+04
1782,3.34e+03,6.46e+03,6.00e+02,2.48e+03,4.03e+04
1783,3.35e+03,6.41e+03,6.05e+02,2.31e+03,4.01e+04
1784,3.36e+03,4.80e+03,5.67e+02,2.18e+03,4.10e+04
1785,3.37e+03,6.23e+03,5.61e+02,2.25e+03,4.07e+04
1786,3.38e+03,5.50e+03,5.79e+02,2.24e+03,4.08e+04
1787,3.39e+03,5.59e+03,5.89e+02,2.34e+03,4.14e+04
1788,3.40e+03,6.25e+03,5.83e+02,2.41e+03,4.31e+04
1789,3.41e+03,6.42e+03,5.97e+02,2.30e+03,4.14e+04
1790,3.42e+03,6.26e+03,5.61e+02,2.21e+03,4.19e+04
1791,3.44e+03,5.59e+03,5.40e+02,2.16e+03,4.10e+04
1792,3.46e+03,5.10e+03,5.59e+02,2.16e+03,4.09e+04
1793,3.48e+03,5.46e+03,5.61e+02,2.16e+03,4.04e+04
1794,3.50e+03,7.14e+03,5.92e+02,2.20e+03,4.11e+04
1795,3.52e+03,5.71e+03,5.57e+02,2.15e+03,4.18e+04
1796,3.54e+03,6.23e+03,5.84e+02,2.22e+03,3.98e+04
1797,3.56e+03,5.47e+03,6.06e+02,2.42e+03,4.19e+04
1798,3.58e+03,5.74e+03,5.70e+02,2.25e+03,4.25e+04
1799,3.60e+03,6.13e+03,5.73e+02,2.32e+03,4.13e+04
1800,3.62e+03,6.88e+03,5.97e+02,2.39e+03,4.09e+04
1801,3.64e+03,5.87e+03,6.03e+02,2.32e+03,4.16e+04
1802,3.66e+03,6.64e+03,6.00e+02,2.41e+03,4.03e+04
1803,3.69e+03,6.33e+03,5.94e+02,2.22e+03,3.98e+04
1804,3.71e+03,4.97e+03,5.79e+02,2.18e+03,4.11e+04
1805,3.74e+03,6.17e+03,5.56e+02,2.19e+03,4.08e+04
1806,3.76e+03,5.58e+03,5.87e+02,2.23e+03,4.12e+04
1807,3.78e+03,5.64e+03,5.90e+02,2.29e+03,4.15e+04
1808,3.81e+03,6.11e+03,5.87e+02,2.36e+03,4.32e+04
1809,3.83e+03,6.46e+03,5.98e+02,2.24e+03,4.15e+04
1810,3.85e+03,6.36e+03,5.56e+02,2.14e+03,4.19e+04
1811,3.88e+03,5.63e+03,5.45e+02,2.13e+03,4.15e+04
1812,3.92e+03,5.16e+03,5.50e+02,2.09e+03,4.10e+04
1813,3.95e+03,5.61e+03,5.64e+02,2.15e+03,4.06e+04
1814,3.98e+03,7.20e+03,5.89e+02,2.16e+03,4.13e+04
1815,4.01e+03,5.78e+03,5.57e+02,2.11e+03,4.21e+04
1816,4.04e+03,6.28e+03,5.73e+02,2.17e+03,4.07e+04
1817,4.07e+03,5.51e+03,6.02e+02,2.38e+03,4.20e+04
1818,4.10e+03,5.81e+03,5.65e+02,2.21e+03,4.32e+04
1819,4.14e+03,5.90e+03,5.77e+02,2.30e+03,4.19e+04
1820,4.17e+03,6.86e+03,5.92e+02,2.36e+03,4.16e+04
1821,4.19e+03,5.88e+03,5.99e+02,2.31e+03,4.25e+04
1822,4.21e+03,6.77e+03,6.03e+02,2.41e+03,4.06e+04
1823,4.23e+03,6.35e+03,5.72e+02,2.11e+03,4.03e+04
1824,4.26e+03,5.10e+03,5.91e+02,2.20e+03,4.17e+04
1825,4.28e+03,6.12e+03,5.51e+02,2.13e+03,4.13e+04
1826,4.30e+03,5.63e+03,5.85e+02,2.20e+03,4.12e+04
1827,4.32e+03,5.50e+03,5.82e+02,2.26e+03,4.18e+04
1828,4.35e+03,6.26e+03,5.86e+02,2.36e+03,4.33e+04
1829,4.37e+03,6.47e+03,5.93e+02,2.22e+03,4.18e+04
1830,4.39e+03,6.37e+03,5.44e+02,2.09e+03,4.23e+04
1831,4.40e+03,5.68e+03,5.41e+02,2.08e+03,4.14e+04
1832,4.41e+03,5.22e+03,5.55e+02,2.09e+03,4.13e+04
1833,4.42e+03,5.71e+03,5.69e+02,2.14e+03,4.08e+04
1834,4.43e+03,7.16e+03,5.66e+02,2.06e+03,4.14e+04
1835,4.44e+03,5.74e+03,5.52e+02,2.05e+03,4.19e+04
1836,4.45e+03,6.43e+03,5.75e+02,2.17e+03,4.08e+04
1837,4.45e+03,5.59e+03,5.81e+02,2.28e+03,4.22e+04
1838,4.46e+03,5.90e+03,5.75e+02,2.21e+03,4.30e+04
1839,4.47e+03,5.99e+03,5.77e+02,2.26e+03,4.20e+04
1840,4.48e+03,6.89e+03,5.94e+02,2.30e+03,4.07e+04
1841,4.49e+03,6.10e+03,5.97e+02,2.26e+03,4.25e+04
1842,4.50e+03,6.65e+03,5.87e+02,2.31e+03,4.08e+04
1843,4.51e+03,6.39e+03,5.64e+02,2.06e+03,3.97e+04
1844,4.52e+03,5.16e+03,5.82e+02,2.12e+03,4.11e+04
1845,4.53e+03,6.20e+03,5.42e+02,2.06e+03,4.10e+04
1846,4.54e+03,5.68e+03,5.70e+02,2.11e+03,4.10e+04
1847,4.55e+03,5.76e+03,5.72e+02,2.21e+03,4.19e+04
1848,4.56e+03,6.36e+03,5.72e+02,2.30e+03,4.31e+04
1849,4.56e+03,6.39e+03,5.83e+02,2.17e+03,4.21e+04
1850,4.57e+03,6.62e+03,5.36e+02,2.05e+03,4.23e+04
1851,4.57e+03,5.70e+03,5.30e+02,2.02e+03,4.14e+04
1852,4.56e+03,5.29e+03,5.48e+02,2.04e+03,4.07e+04
1853,4.55e+03,5.60e+03,5.50e+02,2.02e+03,4.08e+04
1854,4.55e+03,7.03e+03,5.49e+02,1.99e+03,4.16e+04
1855,4.54e+03,5.64e+03,5.41e+02,1.98e+03,4.18e+04
1856,4.53e+03,6.43e+03,5.73e+02,2.12e+03,4.02e+04
1857,4.53e+03,5.64e+03,5.62e+02,2.17e+03,4.25e+04
1858,4.52e+03,5.76e+03,5.56e+02,2.10e+03,4.32e+04
1859,4.51e+03,6.16e+03,5.79e+02,2.23e+03,4.20e+04
1860,4.51e+03,6.90e+03,5.87e+02,2.24e+03,4.10e+04
1861,4.51e+03,5.84e+03,5.90e+02,2.19e+03,4.21e+04
1862,4.50e+03,6.57e+03,5.87e+02,2.26e+03,4.07e+04
1863,4.50e+03,6.29e+03,5.52e+02,1.97e+03,3.98e+04
1864,4.50e+03,5.23e+03,5.80e+02,2.06e+03,4.10e+04
1865,4.50e+03,6.24e+03,5.42e+02,2.04e+03,4.17e+04
1866,4.50e+03,5.71e+03,5.71e+02,2.06e+03,4.13e+04
